name,color,logoSize,logox,logoy,eventsx,y2scale
Indianapolis Colts,#003B7B,50,2015-01-18 23:45:00.000,0.12,15,1.0
New England Patriots,#D3D3D3,150,2015-01-19 01:20:00.000,0.65,0,1.0
