date,Indianapolis Colts,New England Patriots
2015-01-19 00:00:45.072,41.19072,5604.335
2015-01-19 00:01:01.033,0,2443.532
2015-01-19 00:01:17.418,117.6555,20558.69
2015-01-19 00:01:33.205,311.6486,47817.28
2015-01-19 00:01:49.224,149.8231,155945.8
2015-01-19 00:02:04.997,219.5632,13607.25
2015-01-19 00:02:20.845,373.3766,10125.12
2015-01-19 00:02:37.291,100.3289,48202.08
2015-01-19 00:02:53.603,584.8374,116755.7
2015-01-19 00:03:09.394,191.5739,28446.02
2015-01-19 00:03:25.705,56.31864,1621.212
2015-01-19 00:03:41.669,416.3635,16110.84
2015-01-19 00:03:58.039,7.330543,4407.636
2015-01-19 00:04:13.903,18.91038,16703.46
2015-01-19 00:04:29.699,27.53905,137.6193
2015-01-19 00:04:45.925,51.10267,2430.039
2015-01-19 00:05:01.849,127.6543,39314.26
2015-01-19 00:05:18.478,1433.177,6450.721
2015-01-19 00:05:34.758,546.4957,6534.326
2015-01-19 00:05:50.665,435.2088,3655.52
2015-01-19 00:06:07.103,802.7747,44272.92
2015-01-19 00:06:29.982,1051.191,15960.05
2015-01-19 00:06:46.199,2022.703,5256.407
2015-01-19 00:07:02.217,467.2978,1873.124
2015-01-19 00:07:19.813,198.3158,728.3742
2015-01-19 00:07:35.874,497.3866,15073.24
2015-01-19 00:07:53.197,258.4883,15601.01
2015-01-19 00:08:09.226,106.155,983.1319
2015-01-19 00:08:25.249,393.6795,1706.831
2015-01-19 00:08:41.459,1621.106,451.9523
2015-01-19 00:08:57.595,0,8543.334
2015-01-19 00:09:13.596,741.1927,34197.27
2015-01-19 00:09:30.355,939.5854,3085.48
2015-01-19 00:09:46.429,206.9344,4126.297
2015-01-19 00:10:03.253,1478.772,18356.94
2015-01-19 00:10:19.277,16.47513,2471.644
2015-01-19 00:10:35.623,193.81,1031.892
2015-01-19 00:10:51.601,422.7313,8706.568
2015-01-19 00:11:07.561,346.939,5589.106
2015-01-19 00:11:29.576,353.8425,20094.89
2015-01-19 00:11:45.859,12.19665,8589.939
2015-01-19 00:12:02.557,0,45497.41
2015-01-19 00:12:18.827,1115.077,531.0242
2015-01-19 00:12:35.411,312.2666,1283.473
2015-01-19 00:12:51.695,442.139,7975.966
2015-01-19 00:13:07.786,0,12783.12
2015-01-19 00:13:33.793,8.443644,16134.67
2015-01-19 00:13:57.417,434.7139,15399.73
2015-01-19 00:14:13.380,479.0908,4438.374
2015-01-19 00:14:30.144,165.3201,3887.759
2015-01-19 00:14:46.452,132.4464,6352.977
2015-01-19 00:15:02.614,81.34047,1243.421
2015-01-19 00:15:18.595,82.03564,15148.85
2015-01-19 00:15:35.014,4597.31,19042.94
2015-01-19 00:15:50.850,249.0418,3131.834
2015-01-19 00:16:07.472,33.24464,2059.507
2015-01-19 00:16:23.444,688.8664,8561.072
2015-01-19 00:16:39.383,327.9136,1396.277
2015-01-19 00:16:55.440,0,1494.679
2015-01-19 00:17:11.504,76.75344,3288.558
2015-01-19 00:17:28.847,20.75827,6205.857
2015-01-19 00:17:45.408,383.5485,13212.19
2015-01-19 00:18:01.354,115.216,59190.77
2015-01-19 00:18:17.147,49.5793,54754.77
2015-01-19 00:18:32.978,5158.858,36591.2
2015-01-19 00:18:48.949,889.8628,759.8736
2015-01-19 00:19:04.874,6817.701,2931.711
2015-01-19 00:19:21.024,14.86103,22.29155
2015-01-19 00:19:36.960,621.4619,2938.484
2015-01-19 00:19:53.055,658.6036,3175.925
2015-01-19 00:20:08.997,0,126.4567
2015-01-19 00:20:24.871,2991.602,202459.3
2015-01-19 00:20:41.186,294.8981,64603.51
2015-01-19 00:20:57.151,50.69996,44703.65
2015-01-19 00:21:13.580,0,34098.81
2015-01-19 00:21:30.181,58.87456,5962.052
2015-01-19 00:21:46.129,639.5024,2799.394
2015-01-19 00:22:02.086,522.4802,37900.06
2015-01-19 00:22:18.130,300.3048,31935.75
2015-01-19 00:22:34.059,1821.704,100510.2
2015-01-19 00:22:50.209,141.6555,151696.1
2015-01-19 00:23:05.979,2081.505,13899.01
2015-01-19 00:23:22.246,144.1818,5197.994
2015-01-19 00:23:38.446,124.3653,156950.4
2015-01-19 00:23:54.414,32.39037,76011.11
2015-01-19 00:24:10.324,245.4249,15797.4
2015-01-19 00:24:26.232,78.75251,16291.1
2015-01-19 00:24:48.000,39.52731,32000.44
2015-01-19 00:25:04.052,18.68881,56286.96
2015-01-19 00:25:20.028,354.9841,88710.63
2015-01-19 00:25:36.048,981.2484,87073.91
2015-01-19 00:25:52.079,251.5001,156692.5
2015-01-19 00:26:08.660,61.37187,1005.978
2015-01-19 00:26:24.919,95.91312,168480
2015-01-19 00:26:40.921,212.1066,12726.59
2015-01-19 00:26:57.009,438.6982,111839.2
2015-01-19 00:27:13.178,328.6038,44523.97
2015-01-19 00:27:29.807,133.6425,11666.27
2015-01-19 00:27:45.661,580.6577,20907.5
2015-01-19 00:28:01.667,250.6315,64806.28
2015-01-19 00:28:17.830,1177.062,7270.371
2015-01-19 00:28:34.364,972.644,11953.03
2015-01-19 00:28:50.323,338.4815,24373
2015-01-19 00:29:08.413,1151.897,10379.35
2015-01-19 00:29:24.238,377.4509,9005.132
2015-01-19 00:29:40.756,427.9736,8652.57
2015-01-19 00:29:56.702,184.6008,9868.465
2015-01-19 00:30:12.817,206.0354,4965.848
2015-01-19 00:30:30.048,101.7123,8275.922
2015-01-19 00:30:46.291,22.16372,2810.471
2015-01-19 00:31:02.203,976.3618,4055.178
2015-01-19 00:31:18.489,51.57903,2682.441
2015-01-19 00:31:34.619,163.7796,3173.114
2015-01-19 00:31:51.014,342.8505,1673.043
2015-01-19 00:32:06.787,458.7566,814.9966
2015-01-19 00:32:22.603,69.79998,830.9611
2015-01-19 00:32:39.264,275.7128,2132.309
2015-01-19 00:32:55.345,26.23039,140.965
2015-01-19 00:33:11.659,1017.491,1245.402
2015-01-19 00:33:27.696,1097.099,23893.31
2015-01-19 00:33:43.739,21.72895,15262.58
2015-01-19 00:34:05.930,205.594,1957.712
2015-01-19 00:34:26.211,95.94168,93360.13
2015-01-19 00:34:41.920,569.1579,15280.67
2015-01-19 00:34:57.829,105.1426,301.7005
2015-01-19 00:35:13.713,0,1901.228
2015-01-19 00:35:30.948,99.63331,296.5327
2015-01-19 00:35:46.932,0,156.7569
2015-01-19 00:36:02.724,519.7052,6564.441
2015-01-19 00:36:18.551,1537.298,4239.132
2015-01-19 00:36:35.027,0,728.3257
2015-01-19 00:36:50.903,19.95514,70.33431
2015-01-19 00:37:06.840,347.3254,14885.03
2015-01-19 00:37:22.735,30.1994,16077.9
2015-01-19 00:37:38.532,121.5421,1920.518
2015-01-19 00:37:54.420,135.4232,3974.366
2015-01-19 00:38:11.767,173.5613,38153.97
2015-01-19 00:38:27.565,183.3284,4279.258
2015-01-19 00:38:43.292,1776.719,26701.75
2015-01-19 00:38:59.400,2.495675,11815.34
2015-01-19 00:39:15.845,74.86481,21210.56
2015-01-19 00:39:32.280,208.5723,4132.31
2015-01-19 00:39:48.166,62.92336,80358.27
2015-01-19 00:40:03.973,170.9281,13879.57
2015-01-19 00:40:19.694,0,40923.6
2015-01-19 00:40:36.133,0,418.5613
2015-01-19 00:40:52.046,96.18865,40418.39
2015-01-19 00:41:07.926,5.780765,21619
2015-01-19 00:41:23.785,0,2849.734
2015-01-19 00:41:39.679,113.2499,5151.437
2015-01-19 00:41:55.531,150.911,8246.279
2015-01-19 00:42:11.548,0,0
2015-01-19 00:42:27.480,98.29144,6800.939
2015-01-19 00:42:45.237,37.27087,2377.733
2015-01-19 00:43:01.719,0,1775.603
2015-01-19 00:43:17.497,15.21123,14168.35
