date,Indianapolis Colts,New England Patriots
2015-01-19 00:05:01.849,15.80091,84.74143
2015-01-19 00:05:18.478,15.39481,84.74576
2015-01-19 00:05:34.758,15.15152,84.80581
2015-01-19 00:05:50.665,15.15152,85.24455
2015-01-19 00:06:07.103,15.15152,85.35348
2015-01-19 00:06:29.982,15.15152,84.76488
2015-01-19 00:06:46.199,15.15152,84.74578
2015-01-19 00:07:02.217,15.15152,84.88963
2015-01-19 00:07:19.813,15.15152,84.76244
2015-01-19 00:07:35.874,15.15152,84.75377
2015-01-19 00:07:53.197,15.15152,84.7482
2015-01-19 00:08:09.226,15.15152,84.74576
2015-01-19 00:08:25.249,15.15152,84.74576
2015-01-19 00:08:41.459,14.82335,84.97945
2015-01-19 00:08:57.595,14.82335,85.15723
2015-01-19 00:09:13.596,16.35165,83.62522
2015-01-19 00:09:30.355,16.32416,83.72732
2015-01-19 00:09:46.429,16.06361,84.06755
2015-01-19 00:10:03.253,16.12903,84.32824
2015-01-19 00:10:19.277,16.14087,84.72035
2015-01-19 00:10:35.623,16.12903,84.03361
2015-01-19 00:10:51.601,16.12903,84.03361
2015-01-19 00:11:07.561,16.12903,83.89136
2015-01-19 00:11:29.576,15.82706,84.84707
2015-01-19 00:11:45.859,16.66667,83.29511
2015-01-19 00:12:02.557,16.66667,82.56416
2015-01-19 00:12:18.827,17.85714,81.96721
2015-01-19 00:12:35.411,18.15264,81.96714
2015-01-19 00:12:51.695,17.85714,82.16695
2015-01-19 00:13:07.786,17.85714,81.3174
2015-01-19 00:13:33.793,17.85714,81.28936
2015-01-19 00:13:57.417,19.49317,79.70718
2015-01-19 00:14:13.380,20,80.00414
2015-01-19 00:14:30.144,18.96087,80.74899
2015-01-19 00:14:46.452,18.18182,82.39364
2015-01-19 00:15:02.614,17.99811,82.51607
2015-01-19 00:15:18.595,20.58602,79.04152
2015-01-19 00:15:35.014,20.89713,78.98145
2015-01-19 00:15:50.850,20.12498,80.00406
2015-01-19 00:16:07.472,19.60784,80.87378
2015-01-19 00:16:23.444,19.60784,80.76939
2015-01-19 00:16:39.383,19.13828,81.05899
2015-01-19 00:16:55.440,19.13828,83.33333
2015-01-19 00:17:11.504,16.61438,84.11781
2015-01-19 00:17:28.847,15.625,84.83272
2015-01-19 00:17:45.408,14.81642,84.7965
2015-01-19 00:18:01.354,13.88889,86.2069
2015-01-19 00:18:17.147,13.51351,86.46977
2015-01-19 00:18:32.978,13.51351,86.2095
2015-01-19 00:18:48.949,13.28316,86.22954
2015-01-19 00:19:04.874,13.16728,86.82672
2015-01-19 00:19:21.024,13.51351,86.2069
2015-01-19 00:19:36.960,13.40378,86.2069
2015-01-19 00:19:53.055,13.51351,86.95652
2015-01-19 00:20:08.997,13.51351,86.2069
2015-01-19 00:20:24.871,13.15789,86.95652
2015-01-19 00:20:41.186,13.15789,87.7193
2015-01-19 00:20:57.151,12.5,87.32344
2015-01-19 00:21:13.580,12.5,86.58703
2015-01-19 00:21:30.181,13.88889,86.70686
2015-01-19 00:21:46.129,13.67142,86.19912
2015-01-19 00:22:02.086,13.16223,87.04915
2015-01-19 00:22:18.130,13.16223,88.54957
2015-01-19 00:22:34.059,11.40116,88.51839
2015-01-19 00:22:50.209,11.55882,88.49945
2015-01-19 00:23:05.979,11.62505,88.49558
2015-01-19 00:23:22.246,11.62791,88.8869
2015-01-19 00:23:38.446,11.36364,89.24435
2015-01-19 00:23:54.414,11.42388,89.27684
2015-01-19 00:24:10.324,11.41026,88.88992
2015-01-19 00:24:26.232,11.11111,88.69405
2015-01-19 00:24:48.000,12.19512,88.05188
2015-01-19 00:25:04.052,13.15789,87.71761
2015-01-19 00:25:20.028,12.07531,88.45501
2015-01-19 00:25:36.048,10,90.09009
2015-01-19 00:25:52.079,9.477577,90.15166
2015-01-19 00:26:08.660,9.52381,90.66006
2015-01-19 00:26:24.919,9.961862,90.0972
2015-01-19 00:26:40.921,9.52381,90.90909
2015-01-19 00:26:57.009,9.090909,90.90909
2015-01-19 00:27:13.178,8.364448,91.70061
2015-01-19 00:27:29.807,9.068873,90.90909
2015-01-19 00:27:45.661,9.090909,91.63823
2015-01-19 00:28:01.667,9.090909,90.97386
2015-01-19 00:28:17.830,8.949777,90.90909
2015-01-19 00:28:34.364,8.967098,90.90909
2015-01-19 00:28:50.323,8.579515,91.53586
2015-01-19 00:29:08.413,8.695652,90.96652
2015-01-19 00:29:24.238,8.695652,91.08341
2015-01-19 00:29:40.756,8.695652,91.21913
2015-01-19 00:29:56.702,9.090909,90.95073
2015-01-19 00:30:12.817,9.090909,91.33265
2015-01-19 00:30:30.048,6.976472,91.18639
2015-01-19 00:30:46.291,9.090909,90.90909
2015-01-19 00:31:02.203,9.090909,90.986
2015-01-19 00:31:18.489,9.090909,90.90909
2015-01-19 00:31:34.619,9.090909,91.02161
2015-01-19 00:31:51.014,8.869616,91.09162
2015-01-19 00:32:06.787,9.003225,91.74312
2015-01-19 00:32:22.603,9.090909,90.9206
2015-01-19 00:32:39.264,9.745418,90.55375
2015-01-19 00:32:55.345,9.802008,90.09009
2015-01-19 00:33:11.659,12.12321,88.66934
2015-01-19 00:33:27.696,10.07559,90.00663
2015-01-19 00:33:43.739,10,90.89269
2015-01-19 00:34:05.930,10,90.09009
2015-01-19 00:34:26.211,9.428696,90.5104
2015-01-19 00:34:41.920,9.086363,90.90909
2015-01-19 00:34:57.829,8.698365,90.90909
2015-01-19 00:35:13.713,8.698365,90.90909
2015-01-19 00:35:30.948,8.783991,91.49665
2015-01-19 00:35:46.932,8.783991,91.74312
2015-01-19 00:36:02.724,8.865814,91.29339
2015-01-19 00:36:18.551,9.087242,91.74312
2015-01-19 00:36:35.027,9.087242,90.90909
2015-01-19 00:36:50.903,9.090909,90.90909
2015-01-19 00:37:06.840,8.679291,91.74312
2015-01-19 00:37:22.735,8.679291,92.59259
2015-01-19 00:37:38.532,7.692308,92.59259
2015-01-19 00:37:54.420,8,92.59259
2015-01-19 00:38:11.767,7.692308,92.58682
2015-01-19 00:38:27.565,7.692308,92.11457
2015-01-19 00:38:43.292,8.201329,92.05821
2015-01-19 00:38:59.400,8.328154,92.59043
2015-01-19 00:39:15.845,8.332318,92.55932
2015-01-19 00:39:32.280,8.294677,92.13622
2015-01-19 00:39:48.166,7.407407,92.59259
2015-01-19 00:40:03.973,7.614651,92.56412
2015-01-19 00:40:19.694,7.614651,93.15743
2015-01-19 00:40:36.133,7.614651,93.45794
2015-01-19 00:40:52.046,7.142857,93.45345
2015-01-19 00:41:07.926,6.666667,93.71151
2015-01-19 00:41:23.785,6.666667,94.22491
2015-01-19 00:41:39.679,6.666667,93.46381
2015-01-19 00:41:55.531,6.557027,94.22594
2015-01-19 00:42:11.548,6.557027,94.22594
2015-01-19 00:42:27.480,6.557027,94.33962
2015-01-19 00:42:45.237,6.557027,94.5719
2015-01-19 00:43:01.719,6.557027,93.46161
2015-01-19 00:43:17.497,6.451613,94.33962
2015-01-19 00:43:33.312,6.451613,94.63722
2015-01-19 00:43:49.128,6.451613,94.33962
2015-01-19 00:44:05.005,6.451613,94.34463
2015-01-19 00:44:20.761,5.714286,94.35627
2015-01-19 00:44:37.480,5.714286,94.35627
2015-01-19 00:44:53.270,5.714286,93.46388
2015-01-19 00:45:09.097,5.714286,93.45794
2015-01-19 00:45:24.914,6.248456,93.88323
2015-01-19 00:45:40.694,5.882353,94.33962
2015-01-19 00:45:56.642,5.714286,94.37816
2015-01-19 00:46:12.857,5.714286,94.33962
2015-01-19 00:46:29.194,5.850261,94.33962
2015-01-19 00:46:45.463,4.761905,94.94827
2015-01-19 00:47:01.286,5.067288,93.86296
2015-01-19 00:47:17.576,5.067288,92.4929
2015-01-19 00:47:33.299,9.090909,90.90909
2015-01-19 00:47:49.441,9.302326,90.90909
2015-01-19 00:48:05.336,9.090909,91.70147
2015-01-19 00:48:21.218,9.090909,90.96779
2015-01-19 00:48:36.985,9.090909,90.90909
2015-01-19 00:48:52.692,9.090909,91.08061
2015-01-19 00:49:08.772,8.699854,91.67579
2015-01-19 00:49:24.501,8.699854,91.67579
2015-01-19 00:49:41.017,8.695652,90.90909
2015-01-19 00:49:56.852,8.695652,90.92522
2015-01-19 00:50:12.715,8.695652,90.90909
2015-01-19 00:50:29.459,8.695652,90.90909
2015-01-19 00:50:45.341,9.12385,91.5834
2015-01-19 00:51:01.295,9.12385,90.09009
2015-01-19 00:51:17.113,10.85349,89.86267
2015-01-19 00:51:32.916,10.85349,89.86267
