date,Draw,France,Scotland
2015-02-07 17:15:34.030,1.921844,80.61716,17.54808
2015-02-07 17:15:49.784,2,80.64516,17.52313
2015-02-07 17:16:06.238,1.818182,81.2905,17.40486
2015-02-07 17:16:22.670,1.87436,81.9681,16.94915
2015-02-07 17:16:38.958,1.865305,82.11398,15.89667
2015-02-07 17:16:54.692,1.629956,82.51292,16.88881
2015-02-07 17:17:10.730,1.572506,86.00436,12.72202
2015-02-07 17:17:28.832,1.615586,86.33057,13.15789
2015-02-07 17:17:44.636,1.428571,86.05725,13.15789
2015-02-07 17:18:00.927,1.493009,85.24156,13.38994
2015-02-07 17:18:21.297,1.428571,85.51418,13.88889
2015-02-07 17:18:37.102,1.6,86.20519,13.88889
2015-02-07 17:18:53.049,1.312127,86.09479,12.73052
2015-02-07 17:19:09.700,1.535057,85.93001,13.59942
2015-02-07 17:19:25.533,1.428421,86.84498,12.53714
2015-02-07 17:19:41.503,1.538462,87.56572,12.53714
2015-02-07 17:19:57.416,1.424581,86.9343,12.82051
2015-02-07 17:20:13.580,1.406593,86.95652,11.79941
2015-02-07 17:20:29.289,1.346384,86.63992,11.83979
2015-02-07 17:20:45.297,1.426322,87.08303,11.44307
2015-02-07 17:21:01.184,1.511662,87.14803,11.72901
2015-02-07 17:21:16.987,1.560894,87.02513,12.35987
2015-02-07 17:21:33.025,1.538462,86.42126,12.69862
2015-02-07 17:21:48.850,1.538462,86.90042,12.10191
2015-02-07 17:22:04.953,1.428571,87.57798,11.96403
2015-02-07 17:22:21.044,1.336634,88.49558,10.51821
2015-02-07 17:22:36.914,1.42672,87.64625,11.11111
2015-02-07 17:22:52.657,1.44649,86.35857,12.00867
2015-02-07 17:23:08.730,1.443183,86.41123,12.48859
2015-02-07 17:23:25.345,1.53379,86.05018,12.5
2015-02-07 17:23:41.169,1.547969,86.23084,12.30093
2015-02-07 17:23:56.840,1.646825,86.90692,11.92787
2015-02-07 17:24:12.680,1.517241,87.17589,11.72486
2015-02-07 17:24:28.628,1.539249,86.89996,12.0926
2015-02-07 17:24:44.273,1.539249,86.69573,13.15789
2015-02-07 17:25:00.074,1.447903,86.20454,12.5803
2015-02-07 17:25:16.341,1.655545,86.8443,12.60849
2015-02-07 17:25:32.047,1.469194,85.86386,12.51804
2015-02-07 17:25:49.805,1.666667,84.74576,12.51804
2015-02-07 17:26:05.659,1.666667,84.18014,14.28571
2015-02-07 17:26:22.670,1.541011,84.04264,14.40032
2015-02-07 17:26:38.672,1.538462,84.79896,13.88889
2015-02-07 17:26:54.475,1.805054,83.90684,14.20845
2015-02-07 17:27:10.245,1.538462,84.3463,14.55259
2015-02-07 17:27:26.167,1.733916,84.4932,14.68176
2015-02-07 17:27:42.005,1.492537,84.27688,14.62973
2015-02-07 17:27:57.857,1.722198,83.15557,15.68113
2015-02-07 17:28:13.701,1.666667,80.76099,18.02737
2015-02-07 17:28:29.648,1.666667,79.70765,18.89342
