date,Draw,France,Scotland
2015-02-07 17:19:09.700,137.4672,3786.132,580.1369
2015-02-07 17:19:25.533,51.31213,9453.785,321.0987
2015-02-07 17:19:41.503,23.29261,2210.506,0
2015-02-07 17:19:57.416,38.4593,2451.403,7.541039
2015-02-07 17:20:13.580,19.00619,1024.775,59.39434
2015-02-07 17:20:29.289,12.87146,2559.664,645.6356
2015-02-07 17:20:45.297,101.8348,4229.161,90.44069
2015-02-07 17:21:01.184,98.15847,3375.42,186.1574
2015-02-07 17:21:16.987,85.35086,837.6002,52.24323
2015-02-07 17:21:33.025,3.292025,260.0326,71.75119
2015-02-07 17:21:48.850,13.23249,34012.28,103.7367
2015-02-07 17:22:04.953,46.12824,24777.2,555.1783
2015-02-07 17:22:21.044,20.1357,26197.56,188.0078
2015-02-07 17:22:36.914,62.42005,9183.573,9.451854
2015-02-07 17:22:52.657,50.76327,20331.72,439.491
2015-02-07 17:23:08.730,52.67246,3811.904,410.7034
2015-02-07 17:23:25.345,63.84537,4733.622,101.3293
2015-02-07 17:23:41.169,79.77913,2324.136,245.8972
2015-02-07 17:23:56.840,3.177775,1354.345,47.05404
2015-02-07 17:24:12.680,1.250064,4946.731,85.23165
2015-02-07 17:24:28.628,16.96739,173.3985,30.73694
2015-02-07 17:24:44.273,0,1172.668,7.670009
2015-02-07 17:25:00.074,4.063046,6334.327,160.6232
2015-02-07 17:25:16.341,38.43285,95.30756,204.2621
2015-02-07 17:25:32.047,1.184305,3833.136,120.6463
2015-02-07 17:25:49.805,155.4196,1094.695,0
2015-02-07 17:26:05.659,0,381.872,2.497875
2015-02-07 17:26:22.670,6.560356,23146.35,164.6085
2015-02-07 17:26:38.672,19.64812,2269.283,177.2455
2015-02-07 17:26:54.475,75.93057,1392.415,917.545
2015-02-07 17:27:10.245,7.952018,5555.645,118.5574
2015-02-07 17:27:26.167,178.6936,7207.207,305.5728
2015-02-07 17:27:42.005,42.80927,2053.632,275.722
2015-02-07 17:27:57.857,120.5167,466.3965,99.13101
2015-02-07 17:28:13.701,22.56973,3173.016,569.4691
2015-02-07 17:28:29.648,30.70081,1469.274,372.3978
2015-02-07 17:28:45.549,38.2628,1044.869,491.4543
2015-02-07 17:29:01.319,56.691,3077.636,1048.86
2015-02-07 17:29:17.122,25.96875,171.6823,163.8233
2015-02-07 17:29:33.357,102.3384,3168.425,336.9147
2015-02-07 17:29:49.299,193.4151,2002.462,404.5947
2015-02-07 17:30:05.035,4.956781,3231.211,197.2418
2015-02-07 17:30:29.793,68.72869,21109.89,219.3454
2015-02-07 17:30:51.334,184.9216,32051.57,1281.109
2015-02-07 17:31:09.561,323.2575,106420.6,2989.77
2015-02-07 17:31:25.701,134.234,9736.894,857.7076
2015-02-07 17:31:41.446,614.9833,44580.38,4175.088
2015-02-07 17:31:57.201,77.15882,1851.85,626.1061
2015-02-07 17:32:13.246,132.0413,8524.983,360.0752
2015-02-07 17:32:29.048,15.18795,4678.42,100.0506
2015-02-07 17:32:44.852,249.0788,4420.779,2497.812
2015-02-07 17:33:00.692,207.9564,27170.13,1648.765
2015-02-07 17:33:16.687,207.5111,11976.3,1514.846
2015-02-07 17:33:32.649,36.38773,88461.09,389.6645
2015-02-07 17:33:48.585,27.4843,19300.57,250.8602
2015-02-07 17:34:04.484,0,0,299.944
2015-02-07 17:34:20.528,74.9438,3907.25,924.1573
2015-02-07 17:34:36.401,19.95818,405.5895,1124.462
2015-02-07 17:34:52.266,81.95326,2845.068,918.9581
2015-02-07 17:35:08.082,18.93085,623.3143,270.9122
2015-02-07 17:35:23.866,38.01253,668.1843,983.3842
2015-02-07 17:35:39.965,24.71046,531.2562,326.3047
2015-02-07 17:35:55.663,118.0601,11892.66,737.6751
2015-02-07 17:36:11.481,18.81444,14650.08,167.1678
2015-02-07 17:36:27.631,13.52284,710.7663,145.3334
2015-02-07 17:36:43.618,33.9277,1338.343,213.4743
2015-02-07 17:36:59.439,41.75707,273.8672,13.08464
2015-02-07 17:37:15.249,62.61792,54934.55,541.702
2015-02-07 17:37:35.937,0.899069,1159.857,620.3576
2015-02-07 17:37:51.777,15.79525,3196.663,440.9412
2015-02-07 17:38:07.501,105.6602,886.2252,1772.031
2015-02-07 17:38:24.043,8.632592,54.40709,60.13797
2015-02-07 17:38:39.933,31.03829,388.1674,163.5363
2015-02-07 17:38:55.917,71.95822,3707.969,233.1416
2015-02-07 17:39:11.626,168.0207,3519.459,155.6455
2015-02-07 17:39:27.333,246.0034,1859.388,301.7743
2015-02-07 17:39:43.077,7.850616,4408.807,45.73174
2015-02-07 17:39:58.830,80.70849,12638.59,738.0313
2015-02-07 17:40:14.568,18.18531,10994.49,382.5777
2015-02-07 17:40:31.379,149.3701,5213.464,203.6573
2015-02-07 17:40:47.127,25.29823,22627.36,137.9972
2015-02-07 17:41:02.809,9.297074,4013.964,156.6346
2015-02-07 17:41:18.401,55.9919,6895.931,426.8853
2015-02-07 17:41:34.817,103.1387,4465.773,56.46678
2015-02-07 17:41:50.478,124.2828,854.0417,327.4874
2015-02-07 17:42:06.224,1.867242,2796.557,90.31354
2015-02-07 17:42:22.941,94.53783,5250.259,951.2645
2015-02-07 17:42:38.695,77.92413,37.85757,236.0576
2015-02-07 17:42:54.428,76.88061,4171.002,1379.961
2015-02-07 17:43:10.011,62.02764,1999.824,532.1055
2015-02-07 17:43:25.618,89.69529,6185.976,150.8634
2015-02-07 17:43:46.407,17.66268,940.0181,290.7704
2015-02-07 17:44:02.447,58.54302,1457.141,539.3439
2015-02-07 17:44:18.296,8.972256,2433.185,119.8572
