date,Draw,Scotland,Wales
2015-02-15 15:14:48.801,117.9385,934.2265,4895.043
2015-02-15 15:15:04.545,96.68794,3658.135,4055.748
2015-02-15 15:15:20.100,232.7089,3847.739,21621.64
2015-02-15 15:15:36.237,105.368,1252.295,3718.144
2015-02-15 15:15:51.996,192.8497,1446.849,8553.578
2015-02-15 15:16:07.784,379.6543,10930.93,21145.98
2015-02-15 15:16:23.592,46.98851,287.6623,3094.979
2015-02-15 15:16:39.382,143.8991,1925.064,2005.24
2015-02-15 15:16:55.167,77.693,427.0454,3073.397
2015-02-15 15:17:11.109,30.78815,523.1727,967.5683
2015-02-15 15:17:27.069,15.67631,1408.612,463.4473
2015-02-15 15:17:42.743,27.67543,473.315,6281.404
2015-02-15 15:17:58.379,25.71038,280.6652,7485.673
2015-02-15 15:18:14.107,434.5476,172.583,3189.391
2015-02-15 15:18:29.748,147.9976,1701.128,13970.2
2015-02-15 15:18:45.319,139.4091,861.9244,2707.843
2015-02-15 15:19:01.113,27.92299,395.1009,10439.78
2015-02-15 15:19:16.716,510.438,9301.17,17728.28
2015-02-15 15:19:32.387,219.1972,3559.61,7189.401
2015-02-15 15:19:48.130,256.0362,7934.417,2941.101
2015-02-15 15:20:03.754,415.1586,7143.025,3756.512
2015-02-15 15:20:19.448,485.4977,11318.3,2749.93
2015-02-15 15:20:35.629,794.97,12194.92,13658.93
2015-02-15 15:20:51.430,369.6422,3889.198,11940.64
2015-02-15 15:21:07.140,103.1212,0,196.4649
2015-02-15 15:21:23.011,159.1913,190.5683,5795.795
2015-02-15 15:21:38.771,48.73362,327.5813,4817.508
2015-02-15 15:21:57.238,135.511,783.8911,5204
2015-02-15 15:22:13.001,11.49535,1433.988,425.4802
2015-02-15 15:22:28.822,40.73278,1388.555,3658.858
2015-02-15 15:22:44.530,1076.115,3609.126,10160.92
2015-02-15 15:23:00.340,595.4181,543.0866,1526.304
2015-02-15 15:23:15.934,0,53.86705,988.1525
2015-02-15 15:23:31.592,1652.468,776.5319,4023.565
2015-02-15 15:23:47.385,44.60013,605.217,2479.6
2015-02-15 15:24:03.181,197.4532,1010.286,3502.762
2015-02-15 15:24:19.076,111.5025,652.7084,2231.106
2015-02-15 15:24:34.797,3.091465,137.2458,263.805
2015-02-15 15:24:50.620,172.951,1954.07,4895.754
2015-02-15 15:25:06.418,47.24596,912.827,8347.724
2015-02-15 15:25:22.141,64.98646,813.2275,1786.384
2015-02-15 15:25:37.845,30.90926,379.6222,506.0866
2015-02-15 15:25:53.933,64.03801,783.7477,1894.026
2015-02-15 15:26:09.633,189.8936,3268.547,19637.39
2015-02-15 15:26:25.381,634.5704,954.8465,1402.113
2015-02-15 15:26:41.653,18.95288,47.9353,10276.74
2015-02-15 15:27:08.255,114.9589,301.3019,3323.253
2015-02-15 15:27:23.873,148.4455,172.1107,1244.23
2015-02-15 15:27:39.520,57.01964,119.1009,26727.99
2015-02-15 15:27:55.095,54.35688,662.3757,5786.638
2015-02-15 15:28:10.713,100.538,375.3366,10704.7
