name,color,logoSize,logox,logoy,eventsx,y2scale
Dallas Cowboys,#0D254C,100,2015-01-11 19:15:00.000,0.32,15,1.0
Green Bay Packers,#313F36,100,2015-01-11 18:25:00.000,0.65,0,1.0
