date,Dallas Cowboys,Green Bay Packers
2015-01-11 18:29:49.988,82.17942,4436.167
2015-01-11 18:30:05.829,553.0386,6269.324
2015-01-11 18:30:21.626,1412.076,959.2223
2015-01-11 18:30:37.459,-187.8931,2899.724
2015-01-11 18:30:53.325,1064.345,44.24531
2015-01-11 18:31:09.037,157.5222,82.86622
2015-01-11 18:31:24.814,171.8123,2968.876
2015-01-11 18:31:40.628,1416.64,4648.813
2015-01-11 18:31:56.965,488.2028,20575.14
2015-01-11 18:32:12.810,971.9288,16745.22
2015-01-11 18:32:28.596,48.00264,3874.683
2015-01-11 18:32:44.463,224.5136,8796.343
2015-01-11 18:33:01.146,1118.678,31996.06
2015-01-11 18:33:16.813,951.5124,12473.79
2015-01-11 18:33:33.424,93.04423,8399.156
2015-01-11 18:33:49.272,5480.952,11343.83
2015-01-11 18:34:05.437,0,6191.916
2015-01-11 18:34:21.204,866.807,2865.014
2015-01-11 18:34:36.963,103.4818,4204.835
2015-01-11 18:34:52.598,212.9571,1840.665
2015-01-11 18:35:08.727,4001.911,8865.525
2015-01-11 18:35:24.367,1846.65,26709.71
2015-01-11 18:35:40.000,96.56451,11404.63
2015-01-11 18:35:56.216,14.80047,4465.671
2015-01-11 18:36:12.036,36.82675,12249.39
2015-01-11 18:36:27.819,372.5432,4753.841
2015-01-11 18:36:47.686,1455.834,953.7534
2015-01-11 18:37:14.628,1751.66,1705.026
2015-01-11 18:37:30.455,1568.919,7165.525
2015-01-11 18:37:46.246,576.5456,2178.251
2015-01-11 18:38:03.591,0,1339.069
2015-01-11 18:38:19.706,2086.444,8529.137
2015-01-11 18:38:35.410,15.28354,800.2464
2015-01-11 18:38:51.215,0,0
2015-01-11 18:39:07.009,289.0123,1833.716
2015-01-11 18:39:22.788,2118.517,2740.904
2015-01-11 18:39:38.673,6.420987,8202.395
2015-01-11 18:39:54.456,959.2757,1052.455
2015-01-11 18:40:10.235,19.01203,33832.94
2015-01-11 18:40:26.036,2102.275,16286.96
2015-01-11 18:40:41.855,239.9415,5934.171
2015-01-11 18:40:58.379,387.6227,10991.6
2015-01-11 18:41:15.726,488.1309,145.8893
2015-01-11 18:41:31.378,3066.743,8663.244
2015-01-11 18:41:47.025,352.3928,634.0003
2015-01-11 18:42:02.771,15.24246,562.599
2015-01-11 18:42:19.221,0,1969.486
2015-01-11 18:42:35.263,74.80504,128.4777
2015-01-11 18:42:51.013,41.29605,39189.61
2015-01-11 18:43:06.798,65.33839,154.1667
2015-01-11 18:43:22.644,56.26726,905.3122
2015-01-11 18:43:38.390,1975.053,4842.886
2015-01-11 18:43:54.238,0,840.5205
2015-01-11 18:44:10.333,157.65,1124.836
2015-01-11 18:44:26.042,276.0672,15021.98
2015-01-11 18:44:41.829,670.1029,1736.924
2015-01-11 18:44:57.672,0,142.4718
2015-01-11 18:45:13.417,564.7375,1819.24
2015-01-11 18:45:29.448,456.9078,4306.715
2015-01-11 18:45:45.502,105.2844,2184.997
2015-01-11 18:46:06.239,805.53,2818.487
2015-01-11 18:46:22.139,551.4066,860.8252
2015-01-11 18:46:37.800,349.4613,892.9444
2015-01-11 18:46:53.573,205.9351,2835.012
2015-01-11 18:47:09.420,161.8256,603.5708
2015-01-11 18:47:25.224,1489.931,8970.872
2015-01-11 18:47:41.221,134.0495,1530.805
2015-01-11 18:47:57.670,1302.321,20786.25
2015-01-11 18:48:13.429,90.19618,583.7813
2015-01-11 18:48:29.490,14.94314,4896.419
2015-01-11 18:48:45.205,238.7364,1228.96
2015-01-11 18:49:01.285,49.1802,572.6993
2015-01-11 18:49:17.062,242.6286,3050.047
