date,Dallas Cowboys,Green Bay Packers
2015-01-11 18:34:21.204,30.2716,69.9604
2015-01-11 18:34:36.963,30.23561,70.19873
2015-01-11 18:34:52.598,30.09358,70.15061
2015-01-11 18:35:08.727,29.85075,70.36988
2015-01-11 18:35:24.367,29.85075,70.70896
2015-01-11 18:35:40.000,29.85075,70.4618
2015-01-11 18:35:56.216,29.41176,70.51135
2015-01-11 18:36:12.036,29.41176,70.46462
2015-01-11 18:36:27.819,29.89628,70.42254
2015-01-11 18:36:47.686,29.74942,70.85741
2015-01-11 18:37:14.628,29.80361,70.42254
2015-01-11 18:37:30.455,29.49699,70.57095
2015-01-11 18:37:46.246,29.85075,70.42523
2015-01-11 18:38:03.591,29.85075,70.42254
2015-01-11 18:38:19.706,30.25395,70.19865
2015-01-11 18:38:35.410,29.85075,70.42254
2015-01-11 18:38:51.215,29.85075,70.42254
2015-01-11 18:39:07.009,30.00331,70.1119
2015-01-11 18:39:22.788,30.56231,69.82507
2015-01-11 18:39:38.673,30.30303,69.39155
2015-01-11 18:39:54.456,31.93052,68.59994
2015-01-11 18:40:10.235,29.85075,67.09714
2015-01-11 18:40:26.036,29.73012,71.19003
2015-01-11 18:40:41.855,29.41176,71.41553
2015-01-11 18:40:58.379,29.41176,70.63736
2015-01-11 18:41:15.726,29.44244,70.42254
2015-01-11 18:41:31.378,28.98551,70.91333
2015-01-11 18:41:47.025,29.31747,70.92199
2015-01-11 18:42:02.771,29.41176,70.92199
2015-01-11 18:42:19.221,29.41176,70.87838
2015-01-11 18:42:35.263,29.41176,70.42254
2015-01-11 18:42:51.013,29.68724,70.9212
2015-01-11 18:43:06.798,29.85075,70.42254
2015-01-11 18:43:22.644,30.08676,70.81135
2015-01-11 18:43:38.390,30.29772,69.99292
2015-01-11 18:43:54.238,30.29772,68.96552
2015-01-11 18:44:10.333,30.48279,68.53449
2015-01-11 18:44:26.042,32.30239,67.85549
2015-01-11 18:44:41.829,31.80166,68.26934
2015-01-11 18:44:57.672,31.80166,69.16357
2015-01-11 18:45:13.417,31.19583,68.60823
2015-01-11 18:45:29.448,31.25,68.58532
2015-01-11 18:45:45.502,30.54105,71.30312
2015-01-11 18:46:06.239,26.96911,72.61714
2015-01-11 18:46:22.139,26.52614,73.37359
2015-01-11 18:46:37.800,26.41972,73.46053
2015-01-11 18:46:53.573,27.06648,73.09673
2015-01-11 18:47:09.420,29.79145,70.91072
2015-01-11 18:47:25.224,27.24041,73.39256
2015-01-11 18:47:41.221,25.49052,74.34898
2015-01-11 18:47:57.670,25.62357,74.2987
2015-01-11 18:48:13.429,26.06419,74.12883
2015-01-11 18:48:29.490,27.02703,73.98142
2015-01-11 18:48:45.205,27.41708,73.26037
2015-01-11 18:49:01.285,28.57143,71.43555
2015-01-11 18:49:17.062,28.47197,71.5809
2015-01-11 18:49:32.790,31.54454,68.69428
2015-01-11 18:49:48.599,36.49635,63.29668
2015-01-11 18:50:04.449,37.134,61.98053
2015-01-11 18:50:20.574,38.42012,61.74256
2015-01-11 18:50:36.502,38.42012,60.97561
2015-01-11 18:50:52.195,39.37008,60.49661
2015-01-11 18:51:08.025,39.74326,59.92718
2015-01-11 18:51:24.217,40.42499,59.76751
2015-01-11 18:51:39.988,40,59.92905
2015-01-11 18:51:55.766,40.32135,60.01858
2015-01-11 18:52:11.780,40.042,59.88135
2015-01-11 18:52:27.502,40.32258,59.62842
2015-01-11 18:52:43.345,41.32231,59.48536
2015-01-11 18:53:05.138,41.32231,58.47953
2015-01-11 18:53:20.819,43.50758,56.3158
2015-01-11 18:53:36.621,44.24779,55.65614
2015-01-11 18:53:52.404,45.13545,54.89574
2015-01-11 18:54:08.628,47.27076,52.91005
2015-01-11 18:54:24.445,48.93703,52.88882
2015-01-11 18:54:40.189,47.41786,52.67941
2015-01-11 18:54:56.017,47.80774,52.33669
2015-01-11 18:55:11.881,48.1406,51.86055
2015-01-11 18:55:27.603,50,51.86055
2015-01-11 18:55:43.535,50,51.86055
2015-01-11 18:55:59.413,55.54376,45.45455
2015-01-11 18:56:15.241,54.7269,45.41391
2015-01-11 18:56:36.013,55.05697,44.99035
2015-01-11 18:56:51.804,55.10045,44.76133
2015-01-11 18:57:07.632,55.19532,45.0062
2015-01-11 18:57:33.637,55.04405,45.06714
2015-01-11 18:57:49.394,54.99621,45.21236
2015-01-11 18:58:05.222,54.7154,45.30601
2015-01-11 18:58:20.991,54.61552,45.45335
2015-01-11 18:58:36.817,54.85678,45.45455
2015-01-11 18:58:52.680,55.05111,45.15707
2015-01-11 18:59:09.154,55.4159,44.99104
2015-01-11 18:59:24.828,55.45405,45.0141
2015-01-11 18:59:40.597,55.5568,44.5892
2015-01-11 18:59:56.433,56.02363,43.8657
2015-01-11 19:00:12.227,57.22169,43.5713
2015-01-11 19:00:28.536,58.43016,42.02304
2015-01-11 19:00:44.204,58.18779,68.19696
2015-01-11 19:01:00.047,58.24943,42.03608
2015-01-11 19:01:15.818,55.58483,44.24779
2015-01-11 19:01:32.090,55.90961,44.57997
2015-01-11 19:01:47.766,57.46144,43.47826
2015-01-11 19:02:03.384,57.88871,43.03105
2015-01-11 19:02:19.445,58.78334,41.29656
2015-01-11 19:02:35.435,58.45658,41.36209
2015-01-11 19:02:51.345,58.19782,41.88043
2015-01-11 19:03:07.011,62.5,37.59398
2015-01-11 19:03:22.813,62.5,37.59398
2015-01-11 19:03:38.680,62.5,37.37896
2015-01-11 19:03:54.747,62.23503,37.37896
2015-01-11 19:04:10.408,61.15456,40
2015-01-11 19:04:26.237,61.12324,39.71262
2015-01-11 19:04:42.078,61.34617,39.5017
2015-01-11 19:04:58.731,60.93226,39.62255
2015-01-11 19:05:14.772,61.11771,39.0625
2015-01-11 19:05:30.399,61.44604,38.50022
2015-01-11 19:05:46.224,61.22781,38.51085
2015-01-11 19:06:02.052,61.29456,38.75969
2015-01-11 19:06:17.796,61.34969,38.75969
2015-01-11 19:06:33.636,61.35543,38.55621
2015-01-11 19:06:49.766,60.58556,38.78273
2015-01-11 19:07:05.388,59.96692,40.03318
2015-01-11 19:07:21.194,60.48065,38.91109
2015-01-11 19:07:37.042,61.73689,38.57524
2015-01-11 19:07:52.795,61.94437,37.64937
2015-01-11 19:08:08.601,61.73568,38.29019
2015-01-11 19:08:24.435,61.867,38.34562
2015-01-11 19:08:41.020,62.12403,38.16794
2015-01-11 19:08:57.982,62.98769,37.61779
2015-01-11 19:09:13.639,63.66646,37.61779
2015-01-11 19:09:29.441,63.71191,36.23188
2015-01-11 19:09:45.509,63.95514,36.23188
2015-01-11 19:10:01.242,64.51277,36.23188
2015-01-11 19:10:17.005,60.97462,38.46154
2015-01-11 19:10:32.844,60.02856,40.19557
2015-01-11 19:10:48.685,62.55585,36.68182
2015-01-11 19:11:09.408,64.51613,35.71429
2015-01-11 19:11:25.549,66.66667,35.71429
2015-01-11 19:11:41.271,65.78848,34.04706
2015-01-11 19:11:57.015,68.41939,31.74603
2015-01-11 19:12:12.775,68.42146,32.05168
2015-01-11 19:12:28.561,68.02611,32.05168
2015-01-11 19:12:44.965,67.56757,32.78689
2015-01-11 19:13:01.546,67.81726,32.481
2015-01-11 19:13:17.233,67.76125,32.25806
2015-01-11 19:13:32.996,68.071,32.25806
2015-01-11 19:13:48.818,68.86271,30.97061
2015-01-11 19:14:04.675,69.44444,30.76923
2015-01-11 19:14:20.388,69.44877,30.30303
2015-01-11 19:14:36.328,69.48948,30.49036
2015-01-11 19:14:51.986,70.5511,30.72975
2015-01-11 19:15:07.789,70.73394,29.85075
2015-01-11 19:15:23.630,71.00594,30.61205
2015-01-11 19:15:39.471,69.40259,31.20375
2015-01-11 19:15:55.199,69.86071,30.65646
2015-01-11 19:16:11.377,72.40855,28.57143
2015-01-11 19:16:27.074,71.47281,28.39746
2015-01-11 19:16:42.788,71.05764,28.16901
2015-01-11 19:16:59.162,71.30062,28.16901
2015-01-11 19:17:14.822,71.40905,28.57143
2015-01-11 19:17:30.614,71.2385,28.95907
2015-01-11 19:17:46.410,70.96712,28.57143
2015-01-11 19:18:08.715,70.01722,29.52826
2015-01-11 19:18:28.734,69.93007,29.52826
2015-01-11 19:18:44.401,69.15061,31.07337
2015-01-11 19:19:00.264,69.53917,30.36828
2015-01-11 19:19:16.526,69.93007,30.30303
2015-01-11 19:19:32.235,71.3683,29.52897
2015-01-11 19:19:48.086,69.93007,30.30303
2015-01-11 19:20:03.843,69.0438,30.3276
2015-01-11 19:20:19.589,65.78947,30.3276
2015-01-11 19:20:35.414,65.78947,30.3276
2015-01-11 19:20:51.599,64.51661,35.65885
2015-01-11 19:21:07.424,65.35723,34.3553
2015-01-11 19:21:23.374,65.34254,34.24658
2015-01-11 19:21:39.950,64.93506,34.24658
2015-01-11 19:21:55.586,65.7749,34.32404
2015-01-11 19:22:11.725,66.65462,33.33562
2015-01-11 19:22:27.432,66.75816,33.22368
2015-01-11 19:22:43.195,66.22517,33.33333
2015-01-11 19:22:59.450,65.88461,33.33333
2015-01-11 19:23:15.230,65.78947,34.24658
2015-01-11 19:23:32.318,64.05744,39.0625
2015-01-11 19:23:48.033,63.6912,37.31343
2015-01-11 19:24:03.782,63.64904,36.93818
2015-01-11 19:24:19.421,58.32721,42.16212
2015-01-11 19:24:35.227,58.97482,41.03244
2015-01-11 19:24:51.544,58.97019,40.98361
2015-01-11 19:25:07.314,58.73074,40.72765
2015-01-11 19:25:23.025,57.86042,42.37302
2015-01-11 19:25:39.290,57.09521,42.96514
2015-01-11 19:25:55.037,57.27012,42.68739
2015-01-11 19:26:10.849,57.42317,42.69086
2015-01-11 19:26:26.668,58.16291,42.28239
2015-01-11 19:26:42.777,58.17301,41.86788
2015-01-11 19:27:00.444,58.72971,41.68058
2015-01-11 19:27:16.421,58.82353,41.08503
2015-01-11 19:27:32.834,57.29741,42.93174
2015-01-11 19:27:48.675,57.02052,42.87243
2015-01-11 19:28:09.557,57.37419,42.425
2015-01-11 19:28:25.201,60.24096,40
2015-01-11 19:28:41.054,60.6525,39.37008
2015-01-11 19:28:56.823,60.60898,39.59676
2015-01-11 19:29:12.636,60.66931,39.56277
2015-01-11 19:29:28.428,60.12757,44.24779
2015-01-11 19:29:44.527,55.6473,44.29679
2015-01-11 19:30:00.224,56.25392,43.33593
2015-01-11 19:30:16.076,56.04001,43.10345
2015-01-11 19:30:32.344,55.52746,44.94591
2015-01-11 19:30:47.993,55.94711,73.42848
2015-01-11 19:31:04.872,55.58991,44.24779
2015-01-11 19:31:20.604,55.75566,44.38247
2015-01-11 19:31:36.500,55.95265,44.19565
2015-01-11 19:31:52.226,55.78905,44.24039
2015-01-11 19:32:07.995,53.98776,46.0358
2015-01-11 19:32:23.847,54.30875,45.56218
2015-01-11 19:32:40.057,54.11152,45.92644
2015-01-11 19:32:55.874,53.6569,46.64072
2015-01-11 19:33:11.629,53.68681,46.53922
2015-01-11 19:33:27.388,53.76344,45.90415
2015-01-11 19:33:43.249,54.03956,45.81452
2015-01-11 19:33:59.595,54.99685,45.86335
2015-01-11 19:34:15.413,54.02086,45.87642
2015-01-11 19:34:31.413,53.79299,46.074
2015-01-11 19:34:47.194,53.79299,47.16981
2015-01-11 19:35:03.108,53.50465,47.02178
2015-01-11 19:35:18.852,53.58813,46.75429
2015-01-11 19:35:34.617,52.86447,46.2963
2015-01-11 19:35:50.414,53.26724,46.72897
2015-01-11 19:36:06.708,53.47397,47.06254
2015-01-11 19:36:22.382,52.9159,47.16981
2015-01-11 19:36:38.376,53.525,47.16981
2015-01-11 19:36:54.015,53.48009,46.73332
2015-01-11 19:37:10.441,53.47594,46.72841
