date,Novak Djokovic,Roger Federer
2015-02-28 15:35:15.307,16985.76,519.4053
2015-02-28 15:35:31.510,15744.6,249.4428
2015-02-28 15:35:53.456,18996.63,589.2326
2015-02-28 15:36:09.627,27978.86,517.8886
2015-02-28 15:36:25.821,9117.624,0
2015-02-28 15:36:41.470,32051.89,3307.166
2015-02-28 15:36:57.249,17627.57,2920.062
2015-02-28 15:37:13.209,49138.7,10490.67
2015-02-28 15:37:28.971,26037.54,76.12859
2015-02-28 15:37:44.830,14654.14,258.7443
2015-02-28 15:38:00.768,15144.05,249.2246
2015-02-28 15:38:16.473,8615.108,259.6387
2015-02-28 15:38:32.497,22836.6,2761.145
2015-02-28 15:38:48.381,16551.22,189.505
2015-02-28 15:39:04.114,5481.989,680.5338
2015-02-28 15:39:19.857,14804.94,307.1319
2015-02-28 15:39:36.415,14919.71,1667.066
2015-02-28 15:39:52.097,58434.85,2087.742
2015-02-28 15:40:08.456,47007.29,1915.826
2015-02-28 15:40:25.893,11091.79,747.1928
2015-02-28 15:40:42.644,35011.69,597.6941
2015-02-28 15:40:58.563,5097.013,581.0674
2015-02-28 15:41:16.840,24887.55,163.0317
2015-02-28 15:41:32.707,65370.13,2159.282
2015-02-28 15:41:48.810,4799.228,1911.702
2015-02-28 15:42:04.700,53465.15,7936.705
2015-02-28 15:42:20.625,24449.68,2611.371
2015-02-28 15:42:36.823,9203.169,2694.334
2015-02-28 15:42:52.630,3986.546,974.5827
2015-02-28 15:43:08.453,30605.84,1202.618
2015-02-28 15:43:26.416,33153.79,1665.609
2015-02-28 15:43:43.893,32809.33,59.87249
2015-02-28 15:43:59.938,19395.73,335.3149
2015-02-28 15:44:16.651,6660.798,352.5428
2015-02-28 15:44:32.605,5081.347,1133.024
2015-02-28 15:44:48.370,2408.762,13.77719
2015-02-28 15:45:04.161,17693.38,326.8066
2015-02-28 15:45:20.337,51884.74,626.8594
2015-02-28 15:45:36.514,21131.82,2378.347
2015-02-28 15:45:52.432,36634.58,121.5276
2015-02-28 15:46:08.212,17975.38,1812.773
2015-02-28 15:46:24.071,31534.09,843.2323
2015-02-28 15:46:40.016,10365.64,626.442
2015-02-28 15:46:55.789,7255.646,0
2015-02-28 15:47:11.601,5313.284,325.1885
2015-02-28 15:47:27.694,27653.25,2803.832
2015-02-28 15:47:44.183,24092.04,7077.072
2015-02-28 15:47:59.982,7353.674,11462.46
2015-02-28 15:48:15.965,7625.11,50615.44
2015-02-28 15:48:32.158,9542.021,69242.85
2015-02-28 15:48:48.884,2115.499,30307.84
2015-02-28 15:49:05.008,1357.134,29152.35
2015-02-28 15:49:21.016,1238.95,30862.43
2015-02-28 15:49:37.161,1788.887,36310.34
2015-02-28 15:49:53.085,302.2968,20421.71
2015-02-28 15:50:09.285,662.2768,57567.15
2015-02-28 15:50:25.307,2705.228,50776.94
2015-02-28 15:50:41.217,2526.64,78364.35
2015-02-28 15:50:57.083,9556.991,155362.8
2015-02-28 15:51:13.545,32141,182238.8
2015-02-28 15:51:29.951,15391.15,105088.8
2015-02-28 15:51:45.714,14857.23,93718.34
2015-02-28 15:52:01.739,19318.56,56422.73
2015-02-28 15:52:17.951,6649.549,8197.373
2015-02-28 15:52:33.792,5663.32,73552.03
2015-02-28 15:52:49.879,7932.907,51803.6
2015-02-28 15:53:05.688,2529.604,11083.47
2015-02-28 15:53:21.541,2764.308,27050.6
2015-02-28 15:53:37.295,3540.659,61636.42
2015-02-28 15:53:53.057,1190.209,20191.16
2015-02-28 15:54:08.933,3111.778,35442.29
2015-02-28 15:54:24.672,8543.188,32661.62
2015-02-28 15:54:40.785,555.0816,36151.42
2015-02-28 15:54:56.432,1474.439,30286.92
2015-02-28 15:55:12.047,5947.62,8930.825
2015-02-28 15:55:27.863,4591.401,19105.99
2015-02-28 15:55:43.714,5771.605,31890.47
2015-02-28 15:55:59.445,1832.961,22416.12
2015-02-28 15:56:30.369,1369.09,11921.99
2015-02-28 15:56:46.031,2205.471,7830.382
2015-02-28 15:57:01.637,4664.331,26759.99
2015-02-28 15:57:17.431,567.9272,28146.4
2015-02-28 15:57:33.080,828.041,27238.86
2015-02-28 15:57:48.833,1014.802,2377.09
2015-02-28 15:58:07.710,978.1965,2520.185
2015-02-28 15:58:23.456,2411.812,26505.43
2015-02-28 15:58:39.213,6539.553,118941.2
2015-02-28 15:58:55.464,12806.79,229416.7
2015-02-28 15:59:11.298,617.3729,73078.66
2015-02-28 15:59:27.190,1912.057,37904.58
2015-02-28 15:59:42.889,6779.562,8621.488
2015-02-28 15:59:58.784,2370.965,24659.23
2015-02-28 16:00:15.249,29.44491,1948.502
2015-02-28 16:00:31.573,5036.593,21434.37
2015-02-28 16:00:47.433,3476.216,80901.88
2015-02-28 16:01:03.151,2765.524,31999.66
2015-02-28 16:01:18.880,126.5289,7465.131
2015-02-28 16:01:34.778,3742.397,12581.31
2015-02-28 16:01:50.541,552.7902,1469.374
2015-02-28 16:02:06.659,661.6359,5944.821
2015-02-28 16:02:22.617,201.7592,51924.11
2015-02-28 16:02:38.529,1773.936,8895.659
2015-02-28 16:02:57.264,476.5652,3991.926
2015-02-28 16:03:13.868,1069.839,23686.46
2015-02-28 16:03:29.708,477.806,25510.16
2015-02-28 16:03:46.044,1424.776,8248.656
2015-02-28 16:04:02.192,1341.765,34651.22
2015-02-28 16:04:18.021,2293.862,14541.01
2015-02-28 16:04:33.732,6993.974,40843.53
2015-02-28 16:04:49.496,1777.756,13009.18
2015-02-28 16:05:05.601,3812.35,13381.78
2015-02-28 16:05:21.308,1130.503,24769.64
2015-02-28 16:05:37.050,1136.93,16343.57
2015-02-28 16:05:52.928,967.1952,5966.417
2015-02-28 16:06:08.707,314.5479,3444.817
2015-02-28 16:06:24.455,828.02,32426.09
2015-02-28 16:06:40.260,3892.454,13764.69
2015-02-28 16:06:56.278,1032.384,6929.682
2015-02-28 16:07:12.359,173.2046,9789.565
2015-02-28 16:07:28.079,8046.878,29238.26
2015-02-28 16:07:43.875,631.3575,4027.644
2015-02-28 16:07:59.926,3177.845,26392.51
2015-02-28 16:08:15.921,2301.677,9419.848
2015-02-28 16:08:31.773,227.7796,21551.33
2015-02-28 16:08:47.522,925.0187,5048.286
2015-02-28 16:09:03.298,4878.406,21894.07
2015-02-28 16:09:19.154,1776.556,25119.33
2015-02-28 16:09:34.878,797.5129,25348.74
2015-02-28 16:09:50.715,319.8356,4187.376
2015-02-28 16:10:06.934,468.2224,8382.797
2015-02-28 16:10:22.712,2391.425,29532.11
2015-02-28 16:10:38.454,2284.892,14600.96
2015-02-28 16:10:54.230,7812.527,54405.86
2015-02-28 16:11:09.874,2498.872,9792.602
2015-02-28 16:11:25.676,2871.077,18517.17
2015-02-28 16:11:41.505,11528.62,62581.56
2015-02-28 16:11:57.242,1158.976,12818.51
2015-02-28 16:12:13.703,4556.048,80913.76
2015-02-28 16:12:29.627,1434.053,31974.53
2015-02-28 16:12:45.490,268.5885,18276.99
2015-02-28 16:13:01.220,186.2471,54415.13
2015-02-28 16:13:16.869,1208.962,6348.068
2015-02-28 16:13:32.681,215.3397,35929.28
2015-02-28 16:13:48.430,1399.055,25037.95
2015-02-28 16:14:04.054,1494.735,13728.58
2015-02-28 16:14:19.937,168.5195,10570.79
2015-02-28 16:14:35.639,8858.457,29888.98
2015-02-28 16:14:51.275,6480.156,16610.88
2015-02-28 16:15:07.089,1616.112,10715.72
2015-02-28 16:15:22.900,931.1379,10467.58
2015-02-28 16:15:38.711,484.38,7379.584
2015-02-28 16:15:54.981,5354.273,13264.21
2015-02-28 16:16:10.762,141.2535,8595.434
2015-02-28 16:16:27.263,398.1071,11436.97
2015-02-28 16:16:58.455,3116.235,12940.45
2015-02-28 16:17:15.527,10637.84,28361.69
2015-02-28 16:17:31.265,29.77489,5299.244
2015-02-28 16:17:47.049,358.8123,11777.89
2015-02-28 16:18:03.272,4614.067,31675.38
2015-02-28 16:18:19.038,15131.13,12808.9
2015-02-28 16:18:34.738,16480.64,9878.517
2015-02-28 16:18:50.492,14456.07,55158.51
2015-02-28 16:19:06.249,1890.518,22251.59
2015-02-28 16:19:22.241,4232.62,42356.62
2015-02-28 16:19:38.402,4424.622,13267.03
2015-02-28 16:19:54.141,4148.408,28380.01
2015-02-28 16:20:09.861,14488.96,45490.19
2015-02-28 16:20:25.713,2552.509,39438.57
2015-02-28 16:20:41.505,1211.723,5486.055
2015-02-28 16:20:57.263,657.9018,34120.24
2015-02-28 16:21:13.222,1.503857,6273.3
