date,Novak Djokovic,Roger Federer
2015-02-28 15:34:59.481,66.15179,33.46454
2015-02-28 15:35:15.307,65.80737,34.00857
2015-02-28 15:35:31.510,65.70371,34.23105
2015-02-28 15:35:53.456,65.47629,34.45445
2015-02-28 15:36:09.627,67.29048,32.90821
2015-02-28 15:36:25.821,65.17122,32.90821
2015-02-28 15:36:41.470,64.53859,35.03028
2015-02-28 15:36:57.249,60.61296,39.32323
2015-02-28 15:37:13.209,60.47561,39.49714
2015-02-28 15:37:28.971,64.05461,36.06541
2015-02-28 15:37:44.830,63.72294,35.38292
2015-02-28 15:38:00.768,66.54222,33.33333
2015-02-28 15:38:16.473,64.40907,36.23188
2015-02-28 15:38:32.497,62.5671,38.75969
2015-02-28 15:38:48.381,65.40362,34.64353
2015-02-28 15:39:04.114,65.71424,34.40298
2015-02-28 15:39:19.857,66.79803,33.33333
2015-02-28 15:39:36.415,66.75238,33.33333
2015-02-28 15:39:52.097,67.12937,33.27544
2015-02-28 15:40:08.456,65.8193,33.3255
2015-02-28 15:40:25.893,64.96588,35.21127
2015-02-28 15:40:42.644,63.5208,36.9542
2015-02-28 15:40:58.563,65.31883,34.75353
2015-02-28 15:41:16.840,67.21884,33.45317
2015-02-28 15:41:32.707,66.25919,32.78481
2015-02-28 15:41:48.810,65.83834,33.86642
2015-02-28 15:42:04.700,67.60264,33.25949
2015-02-28 15:42:20.625,68.68669,32.61353
2015-02-28 15:42:36.823,66.00184,33.62413
2015-02-28 15:42:52.630,65.23719,34.61844
2015-02-28 15:43:08.453,63.90791,36.05133
2015-02-28 15:43:26.416,63.76947,36.16884
2015-02-28 15:43:43.893,63.29114,36.86137
2015-02-28 15:43:59.938,63.31562,36.76471
2015-02-28 15:44:16.651,63.30918,36.63042
2015-02-28 15:44:32.605,63.37992,36.76471
2015-02-28 15:44:48.370,63.82101,36.49635
2015-02-28 15:45:04.161,64.33365,35.80063
2015-02-28 15:45:20.337,65.68659,34.27575
2015-02-28 15:45:36.514,64.3567,36.40848
2015-02-28 15:45:52.432,63.06081,36.81912
2015-02-28 15:46:08.212,61.71124,38.48131
2015-02-28 15:46:24.071,58.82879,40.65674
2015-02-28 15:46:40.016,61.77222,38.66652
2015-02-28 15:46:55.789,60.78894,38.66652
2015-02-28 15:47:11.601,58.62012,41.24765
2015-02-28 15:47:27.694,55.44348,44.64286
2015-02-28 15:47:44.183,54.73311,45.29229
2015-02-28 15:47:59.982,53.18738,45.29229
2015-02-28 15:48:15.965,42.95773,57.06749
2015-02-28 15:48:32.158,43.07011,57.28961
2015-02-28 15:48:48.884,42.23597,59.09813
2015-02-28 15:49:05.008,44.61995,55.75058
2015-02-28 15:49:21.016,41.99515,58.25306
2015-02-28 15:49:37.161,41.54289,58.83156
2015-02-28 15:49:53.085,38.62653,61.45258
2015-02-28 15:50:09.285,40.98361,59.2466
2015-02-28 15:50:25.307,39.5833,60.72416
2015-02-28 15:50:41.217,38.94013,61.01246
2015-02-28 15:50:57.083,39.74187,60.52102
2015-02-28 15:51:13.545,39.89407,60.46854
2015-02-28 15:51:29.951,39.63534,60.69208
2015-02-28 15:51:45.714,39.07941,60.90216
2015-02-28 15:52:01.739,39.7077,60.79576
2015-02-28 15:52:17.951,39.0807,60.53073
2015-02-28 15:52:33.792,40.01997,60.40433
2015-02-28 15:52:49.879,39.74242,60.96227
2015-02-28 15:53:05.688,41.12589,59.19653
2015-02-28 15:53:21.541,41.00956,58.99217
2015-02-28 15:53:37.295,38.96412,61.36535
2015-02-28 15:53:53.057,41.0056,58.73865
2015-02-28 15:54:08.933,41.28844,58.89586
2015-02-28 15:54:24.672,41.79889,58.20791
2015-02-28 15:54:40.785,42.65529,57.25873
2015-02-28 15:54:56.432,41.70904,57.51927
2015-02-28 15:55:12.047,41.32231,58.9057
2015-02-28 15:55:27.863,42.7078,57.16444
2015-02-28 15:55:43.714,42.68954,57.21494
2015-02-28 15:55:59.445,42.9893,57.17945
2015-02-28 15:56:30.369,42.73302,57.81955
2015-02-28 15:56:46.031,41.04641,59.24756
2015-02-28 15:57:01.637,39.51378,60.30073
2015-02-28 15:57:17.431,38.59515,61.38026
2015-02-28 15:57:33.080,39.01182,60.80395
2015-02-28 15:57:48.833,39.56969,60.37914
2015-02-28 15:58:07.710,41.18258,58.72474
2015-02-28 15:58:23.456,40.56835,60.05431
2015-02-28 15:58:39.213,39.67021,60.81951
2015-02-28 15:58:55.464,39.05142,61.54954
2015-02-28 15:59:11.298,41.23367,59.33662
2015-02-28 15:59:27.190,42.38745,57.84287
2015-02-28 15:59:42.889,43.363,56.88957
2015-02-28 15:59:58.784,43.43252,56.86605
2015-02-28 16:00:15.249,43.10345,57.27769
2015-02-28 16:00:31.573,43.44518,56.80303
2015-02-28 16:00:47.433,43.30166,56.98531
2015-02-28 16:01:03.151,42.83545,57.39774
2015-02-28 16:01:18.880,43.02227,57.4639
2015-02-28 16:01:34.778,42.59653,57.29494
2015-02-28 16:01:50.541,43.04506,57.38536
2015-02-28 16:02:06.659,43.10025,57.17954
2015-02-28 16:02:22.617,44.13917,56.61139
2015-02-28 16:02:38.529,46.20293,53.81404
2015-02-28 16:02:57.264,46.85349,53.81174
2015-02-28 16:03:13.868,43.2362,56.64182
2015-02-28 16:03:29.708,42.86845,57.51544
2015-02-28 16:03:46.044,40.51048,60.09139
2015-02-28 16:04:02.192,39.27181,60.7711
2015-02-28 16:04:18.021,38.73417,61.50707
2015-02-28 16:04:33.732,38.66059,61.39342
2015-02-28 16:04:49.496,40.34505,60.20714
2015-02-28 16:05:05.601,40.2149,60.28502
2015-02-28 16:05:21.308,40.88891,58.85987
2015-02-28 16:05:37.050,40.00388,60.16649
2015-02-28 16:05:52.928,39.82558,60.36195
2015-02-28 16:06:08.707,40.80167,58.84856
2015-02-28 16:06:24.455,41.47855,58.74394
2015-02-28 16:06:40.260,41.81426,58.11222
2015-02-28 16:06:56.278,41.67032,58.14085
2015-02-28 16:07:12.359,41.45353,58.45059
2015-02-28 16:07:28.079,41.6411,58.78335
2015-02-28 16:07:43.875,41.78306,58.39754
2015-02-28 16:07:59.926,40.83572,58.9768
2015-02-28 16:08:15.921,39.51918,60.46482
2015-02-28 16:08:31.773,39.89568,60.22949
2015-02-28 16:08:47.522,40,59.52424
2015-02-28 16:09:03.298,41.3351,58.42108
2015-02-28 16:09:19.154,40.21003,60.45689
2015-02-28 16:09:34.878,39.98622,60.18437
2015-02-28 16:09:50.715,39.25843,60.34779
2015-02-28 16:10:06.934,38.16794,61.98866
2015-02-28 16:10:22.712,38.47135,60.98687
2015-02-28 16:10:38.454,38.72741,61.23228
2015-02-28 16:10:54.230,38.16794,62.1118
2015-02-28 16:11:09.874,37.59897,62.74172
2015-02-28 16:11:25.676,37.31343,62.89308
2015-02-28 16:11:41.505,33.33333,66.98783
2015-02-28 16:11:57.242,33.33333,67.11409
2015-02-28 16:12:13.703,33.33333,75.15786
2015-02-28 16:12:29.627,23.49155,75.98076
2015-02-28 16:12:45.490,29.13074,71.31773
2015-02-28 16:13:01.220,29.29636,70.59259
2015-02-28 16:13:16.869,30.22618,70.83498
2015-02-28 16:13:32.681,33.27528,66.75899
2015-02-28 16:13:48.430,34.06246,64.56601
2015-02-28 16:14:04.054,37.95854,62.37431
2015-02-28 16:14:19.937,38.50789,62.00442
2015-02-28 16:14:35.639,39.53075,60.38314
2015-02-28 16:14:51.275,39.71913,60.4772
2015-02-28 16:15:07.089,39.7937,60.41699
2015-02-28 16:15:22.900,39.62995,60.42636
2015-02-28 16:15:38.711,39.68254,60.5265
2015-02-28 16:15:54.981,39.8559,60.63784
2015-02-28 16:16:10.762,39.77985,60.26374
2015-02-28 16:16:27.263,42.07891,59.22179
2015-02-28 16:16:58.455,44.99538,55.82174
2015-02-28 16:17:15.527,41.41309,59.12558
2015-02-28 16:17:31.265,42.73504,57.98061
2015-02-28 16:17:47.049,41.86734,54.21736
2015-02-28 16:18:03.272,48.41033,53.45859
2015-02-28 16:18:19.038,54.46347,45.8253
2015-02-28 16:18:34.738,52.44665,46.25391
2015-02-28 16:18:50.492,48.39434,54.04344
2015-02-28 16:19:06.249,43.31762,56.14876
2015-02-28 16:19:22.241,40.62371,59.6511
2015-02-28 16:19:38.402,38.22178,62.10607
2015-02-28 16:19:54.141,38.1988,61.99308
2015-02-28 16:20:09.861,37.39669,62.37238
2015-02-28 16:20:25.713,40.20918,59.43255
2015-02-28 16:20:41.505,39.52651,60.86604
2015-02-28 16:20:57.263,36.76471,63.29141
2015-02-28 16:21:13.222,37.76435,61.33768
2015-02-28 16:21:29.218,40.29136,60.19681
2015-02-28 16:21:44.963,40.43662,58.36916
