date,end,title,fill,description
2015-02-28 15:13:00.000,2015-02-28 15:13:00.000,First serve,gray,Federer gets the Dubai Duty free final underway
2015-02-28 15:48:00.000,2015-02-28 15:48:00.000,Break!,#ff6666,Federer breaks to go 5-3
2015-02-28 15:51:00.000,2015-02-28 15:51:00.000,Set,#ff6666,Federer takes the first set 6-3
2015-02-28 16:32:00.000,2015-02-28 16:32:00.000,Break,#ff6666,Federer breaks again to go 6-5
2015-02-28 16:38:00.000,2015-02-28 16:38:00.000,Federer wins,gray,Federer wins in 2 sets (6-3 7-5)
