date,AnaIvanovic,BethanieMattekSands
2015-07-01 18:19:13.027,55.71031,44.28969
2015-07-01 18:19:25.916,55.86592,44.13408
2015-07-01 18:19:38.716,55.40166,44.59834
2015-07-01 18:19:51.706,58.47953,41.52047
2015-07-01 18:20:04.650,59.70149,40.29851
2015-07-01 18:20:17.438,63.49206,36.50794
2015-07-01 18:20:30.235,63.29114,36.70886
2015-07-01 18:20:43.118,60.42296,39.57704
2015-07-01 18:20:55.881,60.24096,39.75904
2015-07-01 18:21:08.664,60.97561,39.02439
2015-07-01 18:21:21.646,56.81818,43.18182
2015-07-01 18:21:34.509,56.65722,43.34278
2015-07-01 18:21:47.331,57.63689,42.36311
2015-07-01 18:22:00.216,52.77045,47.22955
2015-07-01 18:22:13.046,53.90836,46.09164
2015-07-01 18:22:25.850,54.20054,45.79946
2015-07-01 18:22:38.919,57.97101,42.02899
2015-07-01 18:22:51.678,57.63689,42.36311
2015-07-01 18:23:04.400,53.33333,46.66667
2015-07-01 18:23:17.385,52.77045,47.22955
2015-07-01 18:23:30.361,52.77045,47.22955
2015-07-01 18:23:43.290,53.33333,46.66667
2015-07-01 18:23:56.236,50.12531,49.87469
2015-07-01 18:24:09.176,48.78049,51.21951
2015-07-01 18:24:22.088,48.78049,51.21951
2015-07-01 18:24:34.835,47.61905,52.38095
2015-07-01 18:24:47.742,47.61905,52.38095
2015-07-01 18:25:00.739,47.84689,52.15311
2015-07-01 18:25:13.555,48.54369,51.45631
2015-07-01 18:25:26.439,46.94836,53.05164
2015-07-01 18:25:39.248,46.94836,53.05164
2015-07-01 18:25:52.254,46.94836,53.05164
2015-07-01 18:26:05.024,49.26108,50.73892
2015-07-01 18:26:17.952,48.54369,51.45631
2015-07-01 18:26:30.840,46.2963,53.7037
2015-07-01 18:26:43.752,46.94836,53.05164
2015-07-01 18:26:56.718,47.39336,52.60664
2015-07-01 18:27:09.609,49.01961,50.98039
2015-07-01 18:27:22.574,49.26108,50.73892
2015-07-01 18:27:35.527,50.25126,49.74874
2015-07-01 18:27:48.348,49.50495,50.49505
2015-07-01 18:28:01.200,48.07692,51.92308
2015-07-01 18:28:13.816,47.16981,52.83019
2015-07-01 18:28:26.801,47.16981,52.83019
2015-07-01 18:28:39.669,41.841,58.159
2015-07-01 18:28:52.550,43.85965,56.14035
2015-07-01 18:29:05.617,41.49378,58.50622
2015-07-01 18:29:18.287,42.55319,57.44681
2015-07-01 18:29:31.062,43.47826,56.52174
2015-07-01 18:29:43.888,40.81633,59.18367
2015-07-01 18:29:56.711,41.66667,58.33333
2015-07-01 18:30:09.558,41.32231,58.67769
2015-07-01 18:30:22.903,41.32231,58.67769
2015-07-01 18:30:35.954,41.15226,58.84774
2015-07-01 18:30:48.864,41.49378,58.50622
2015-07-01 18:31:01.774,41.49378,58.50622
2015-07-01 18:31:15.039,41.49378,58.50622
2015-07-01 18:31:27.852,42.01681,57.98319
2015-07-01 18:31:40.696,42.37288,57.62712
2015-07-01 18:31:53.427,35.58719,64.41281
2015-07-01 18:32:06.196,40.65041,59.34959
2015-07-01 18:32:19.034,35.58719,64.41281
2015-07-01 18:32:31.990,37.03704,62.96296
2015-07-01 18:32:44.885,39.0625,60.9375
2015-07-01 18:32:57.676,38.31418,61.68582
2015-07-01 18:33:10.529,38.31418,61.68582
2015-07-01 18:33:23.317,38.02281,61.97719
2015-07-01 18:33:35.683,42.73504,57.26496
