date,England,France,Ireland,Italy,Scotland,Wales
2015-03-21 05:07:48.732,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 05:12:49.347,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 05:17:50.198,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 05:22:51.088,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 05:27:51.771,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 05:32:52.609,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 05:37:53.391,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 05:42:54.182,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 05:47:55.449,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 05:52:56.213,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 05:57:57.410,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 06:02:58.129,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 06:08:03.493,50.12531,0.3508772,36.36364,,,13.69863
2015-03-21 06:13:04.282,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 06:18:05.025,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 06:23:05.830,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 06:28:06.924,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 06:33:08.337,50.12531,0.3508772,36.10108,,,13.69863
2015-03-21 06:38:09.029,50.12531,0.3508772,36.36364,,,13.33333
2015-03-21 06:43:10.275,50.12531,0.3508772,36.23188,,,12.98701
2015-03-21 06:48:13.150,50.12531,0.3508772,36.23188,,,12.98701
2015-03-21 06:53:28.309,50.12531,0.3508772,36.23188,,,12.98701
2015-03-21 06:58:33.670,50.12531,0.3508772,36.23188,,,12.98701
2015-03-21 07:03:46.801,50.12531,0.3508772,36.23188,,,12.98701
2015-03-21 07:08:50.533,50.12531,0.3508772,36.23188,,,12.98701
2015-03-21 07:14:00.744,50.12531,0.3508772,36.23188,,,12.98701
2015-03-21 07:19:02.125,50.12531,0.3508772,36.36364,,,12.98701
2015-03-21 07:24:22.995,50.12531,0.3508772,36.36364,,,13.33333
2015-03-21 07:29:23.774,50.12531,0.3508772,36.36364,,,13.33333
2015-03-21 07:34:28.586,50.12531,0.3508772,36.36364,,,13.33333
2015-03-21 07:39:29.682,50.12531,0.3448276,36.90037,,,12.98701
2015-03-21 07:44:30.302,50.12531,0.3448276,36.90037,,,13.15789
2015-03-21 07:49:31.447,50.12531,0.3508772,36.90037,,,13.15789
2015-03-21 07:54:32.133,50.12531,0.3448276,36.90037,,,13.15789
2015-03-21 07:59:32.702,50.12531,0.3448276,36.90037,,,12.98701
2015-03-21 08:04:33.399,49.75124,0.3508772,36.90037,,,13.15789
2015-03-21 08:09:34.389,49.75124,0.3448276,36.90037,,,13.33333
2015-03-21 08:14:35.113,49.75124,0.3448276,36.90037,,,13.33333
2015-03-21 08:19:35.727,49.75124,0.3448276,36.90037,,,13.33333
2015-03-21 08:24:36.317,49.75124,0.3508772,36.90037,,,13.33333
2015-03-21 08:29:37.213,49.75124,0.3571429,36.90037,,,13.51351
2015-03-21 08:34:37.873,49.75124,0.3448276,36.90037,,,13.33333
2015-03-21 08:39:38.519,50.12531,0.3921569,36.76471,,,13.33333
2015-03-21 08:44:39.118,49.75124,0.3225806,36.90037,,,13.33333
2015-03-21 08:49:39.819,49.75124,0.3448276,37.17472,,,13.33333
2015-03-21 08:54:40.464,49.75124,0.3174603,37.17472,,,13.33333
2015-03-21 08:59:41.762,49.75124,0.3278689,36.90037,,,13.33333
2015-03-21 09:04:42.488,49.75124,0.3278689,36.90037,,,13.33333
2015-03-21 09:09:43.102,49.75124,0.2816901,36.90037,,,13.33333
2015-03-21 09:14:43.802,49.75124,0.2816901,36.90037,,,13.33333
2015-03-21 09:19:44.761,49.75124,0.3125,36.63004,,,13.33333
2015-03-21 09:24:45.578,49.75124,0.3125,36.63004,,,13.33333
2015-03-21 09:29:46.394,49.75124,0.3278689,36.36364,,,13.69863
2015-03-21 09:34:48.553,49.75124,0.3278689,36.36364,,,13.69863
2015-03-21 09:39:49.315,49.75124,0.3125,36.36364,,,14.08451
2015-03-21 09:44:50.135,49.26108,0.3125,36.36364,,,14.08451
2015-03-21 09:49:50.793,49.26108,0.3278689,36.36364,,,14.08451
2015-03-21 09:54:51.661,49.26108,0.3571429,36.10108,,,14.08451
2015-03-21 09:59:52.336,49.26108,0.3571429,36.10108,,,14.49275
2015-03-21 10:04:52.955,49.26108,0.3571429,35.84229,,,14.49275
