title,start,end,height,fill,stroke
England v France (Mar 21),2015-03-21 17:00:00.000,2015-03-21 18:50:00.000,-0.3,#e6e6e6,#004a93
Scotland v Ireland (Mar 21),2015-03-21 14:30:00.000,2015-03-21 16:20:00.000,-0.3,#0d3a63,#006946
Italy v Wales (Mar 21),2015-03-21 12:30:00.000,2015-03-21 14:20:00.000,-0.3,#0095d4,#e52713
