date,Golden State,New Orleans
2014-12-14 23:00:25.501,0.00780758,0.0006804285
2014-12-14 23:00:46.072,197.2584,-3.995919
2014-12-14 23:01:06.700,0,0
2014-12-14 23:01:27.519,0,0
2014-12-14 23:01:48.066,9.256939,0
2014-12-14 23:02:08.619,254.6838,0
2014-12-14 23:02:29.298,0,0
2014-12-14 23:02:50.472,1284.779,26.7497
2014-12-14 23:03:11.187,5345.509,36.84261
2014-12-14 23:03:31.716,0,0
2014-12-14 23:03:52.331,4271.743,0
2014-12-14 23:04:12.854,0,0
2014-12-14 23:04:33.473,0,0
2014-12-14 23:04:54.077,403.3115,0
2014-12-14 23:05:14.667,8740.675,0
2014-12-14 23:05:35.286,290.9904,0
2014-12-14 23:05:55.905,5882.376,0
2014-12-14 23:06:16.651,13.76643,0
2014-12-14 23:06:55.674,5.058618,29.27541
2014-12-14 23:07:16.452,656.1313,126.5945
2014-12-14 23:07:37.039,4.633824,1.777756
2014-12-14 23:07:57.634,1028.206,394.1283
2014-12-14 23:08:18.273,9.215631,3.54671
2014-12-14 23:08:38.907,1877.126,719.5512
2014-12-14 23:08:59.546,17.44294,0
2014-12-14 23:09:20.220,4.585501,0
2014-12-14 23:09:40.984,146.9368,0
2014-12-14 23:10:01.587,994.6055,0
2014-12-14 23:10:22.382,1611.719,0
2014-12-14 23:10:42.852,464.9343,0
2014-12-14 23:11:03.452,7.048488,0
2014-12-14 23:11:24.701,6734.726,0
2014-12-14 23:11:45.252,6024.552,68.78362
2014-12-14 23:12:06.008,605.5216,0
2014-12-14 23:12:26.451,5802.127,37.30393
2014-12-14 23:12:47.057,2501.086,0
2014-12-14 23:13:07.732,3023.586,0
2014-12-14 23:13:28.356,358.3264,115.3499
2014-12-14 23:13:48.850,618.6129,46.46184
2014-12-14 23:14:09.472,7139.008,0
2014-12-14 23:14:30.060,910.4604,0
2014-12-14 23:14:51.874,6485.189,0
2014-12-14 23:15:12.472,0,0
2014-12-14 23:15:33.055,0,0
2014-12-14 23:15:53.675,115.4061,0
2014-12-14 23:16:14.264,2340.597,0
2014-12-14 23:16:34.888,477.1076,116.3677
2014-12-14 23:16:55.469,55.47737,0
2014-12-14 23:17:16.067,2014.085,0
2014-12-14 23:17:36.687,1017.32,0
2014-12-14 23:17:57.307,0,0
2014-12-14 23:18:17.883,47.41596,13.35579
2014-12-14 23:18:38.496,1327.084,0
2014-12-14 23:18:59.048,6681.618,27.82171
2014-12-14 23:19:22.312,7549.711,0
2014-12-14 23:19:43.366,41.63495,3.334216
2014-12-14 23:20:03.932,87.93108,0
2014-12-14 23:20:24.463,155.3838,0
2014-12-14 23:20:45.077,36.9084,0
2014-12-14 23:21:05.722,23404.22,0
2014-12-14 23:21:26.251,6235.107,0
2014-12-14 23:21:46.854,251.4183,76.01085
2014-12-14 23:22:07.484,7888.586,0
2014-12-14 23:22:28.071,9.238665,0
2014-12-14 23:22:48.648,4865.619,0
2014-12-14 23:23:10.186,9544.892,0
2014-12-14 23:23:30.898,744.2906,0
2014-12-14 23:23:52.335,428.5056,15.86954
2014-12-14 23:24:13.095,1213.914,0
2014-12-14 23:24:33.663,135.3548,0
2014-12-14 23:24:54.279,1135.571,0
2014-12-14 23:25:14.859,9894.166,0
