date,Golden State,New Orleans
2014-12-14 23:44:54.409,67.11409,33.33333
2014-12-14 23:45:14.856,68.96552,33.33333
2014-12-14 23:45:35.732,67.11409,33.33333
2014-12-14 23:45:56.244,68.96133,33.33333
2014-12-14 23:46:16.852,68.96133,33.33333
2014-12-14 23:46:37.747,67.70552,32.78689
2014-12-14 23:46:58.678,67.4269,32.78689
2014-12-14 23:47:28.757,67.4269,32.78689
2014-12-14 23:47:49.340,66.66667,32.78689
2014-12-14 23:48:09.925,66.66667,32.78689
2014-12-14 23:48:30.509,68.96366,32.78689
2014-12-14 23:48:51.537,69.44444,32.78689
2014-12-14 23:49:12.085,69.58929,32.78689
2014-12-14 23:49:32.713,69.44515,32.78689
2014-12-14 23:49:53.348,70.82567,32.78689
2014-12-14 23:50:13.861,70.92199,32.78689
2014-12-14 23:50:34.619,71.86755,32.78689
2014-12-14 23:50:57.997,71.86755,32.78689
2014-12-14 23:51:18.580,71.42419,28.57143
2014-12-14 23:51:39.717,71.42419,28.57143
2014-12-14 23:52:00.645,71.52081,28.57143
2014-12-14 23:52:21.282,72.259,27.02703
2014-12-14 23:52:42.134,72.92205,27.02703
2014-12-14 23:53:04.379,77.67519,22.72727
2014-12-14 23:53:25.265,78.02054,22.72727
2014-12-14 23:53:46.155,78.36527,22.72727
2014-12-14 23:54:07.638,78.38711,22.72727
2014-12-14 23:54:28.315,78.74016,22.72727
2014-12-14 23:54:49.150,78.64301,21.2766
2014-12-14 23:55:10.701,78.64301,21.2766
2014-12-14 23:55:31.280,78.64301,21.2766
2014-12-14 23:55:53.071,77.56833,20.83333
2014-12-14 23:56:14.087,79.36508,20.83333
2014-12-14 23:56:34.664,79.95997,20.83333
2014-12-14 23:56:55.260,80,20.83333
2014-12-14 23:57:16.354,78.125,20.83333
2014-12-14 23:57:36.909,78.74016,20.83333
2014-12-14 23:57:57.761,79.49248,21.2766
2014-12-14 23:58:18.313,79.35917,21.2766
2014-12-14 23:58:38.858,78.74016,21.2766
2014-12-14 23:58:59.499,78.74016,21.2766
2014-12-14 23:59:20.244,78.74016,21.2766
2014-12-14 23:59:40.872,78.30136,21.2766
2014-12-15 00:00:01.522,78.74016,21.2766
2014-12-15 00:00:22.974,78.74016,21.2766
2014-12-15 00:00:43.897,78.125,22.22222
2014-12-15 00:01:04.499,79.69348,17.34481
2014-12-15 00:01:25.116,81.96721,17.34481
2014-12-15 00:01:45.775,83.06631,17.34481
2014-12-15 00:02:06.307,81.96721,17.34481
2014-12-15 00:02:26.868,81.92205,17.34481
2014-12-15 00:02:47.493,81.30081,18.86792
2014-12-15 00:03:08.043,81.30081,18.86792
2014-12-15 00:03:28.705,86.2069,18.86792
2014-12-15 00:03:49.316,84.60192,16.66667
2014-12-15 00:04:10.704,86.2069,16.66667
2014-12-15 00:04:31.453,87.61405,16.66667
2014-12-15 00:04:53.872,87.92765,16.66667
2014-12-15 00:05:14.680,90.90909,16.66667
2014-12-15 00:05:35.280,89.56621,16.66667
2014-12-15 00:05:55.835,88.91444,16.66667
2014-12-15 00:06:16.916,89.16819,11.62791
2014-12-15 00:06:37.600,87.88927,11.62791
2014-12-15 00:06:58.099,87.81807,11.62791
2014-12-15 00:07:19.189,87.7193,11.62791
2014-12-15 00:07:39.751,87.7193,11.62791
2014-12-15 00:08:13.250,87.87461,11.62791
2014-12-15 00:08:34.045,87.7193,11.62791
2014-12-15 00:08:55.007,87.7193,11.62791
2014-12-15 00:09:15.832,87.7193,11.62791
2014-12-15 00:09:36.875,87.7193,11.62791
2014-12-15 00:09:58.140,88.49558,11.62791
2014-12-15 00:10:18.971,87.7193,11.62791
2014-12-15 00:10:39.711,87.7193,12.19512
2014-12-15 00:11:00.336,88.35188,12.19512
2014-12-15 00:11:20.862,87.52453,12.19512
2014-12-15 00:11:41.663,87.46345,12.19512
2014-12-15 00:12:02.457,86.95652,12.19512
2014-12-15 00:12:23.463,87.19521,13.15789
2014-12-15 00:12:44.173,86.95652,13.15789
2014-12-15 00:13:04.668,87.68987,13.15789
2014-12-15 00:13:25.812,87.68987,13.15789
2014-12-15 00:13:46.339,87.38866,13.15789
2014-12-15 00:14:07.156,86.95652,13.15789
2014-12-15 00:14:28.393,87.7193,13.15789
2014-12-15 00:14:48.926,87.7193,13.15789
2014-12-15 00:15:09.547,87.7193,13.15789
2014-12-15 00:15:30.325,87.64357,13.15789
2014-12-15 00:15:56.436,87.7193,13.15789
2014-12-15 00:16:17.160,87.7193,13.15789
2014-12-15 00:16:37.885,86.95652,13.15789
2014-12-15 00:16:58.612,86.95652,13.15789
2014-12-15 00:17:19.575,86.95652,13.15789
2014-12-15 00:17:40.063,86.95652,13.15789
2014-12-15 00:18:00.736,87.69927,13.15789
2014-12-15 00:18:21.688,87.38969,13.15789
2014-12-15 00:18:42.625,88.1319,12.5
2014-12-15 00:19:03.967,88.1319,12.5
2014-12-15 00:19:24.759,86.95652,12.5
2014-12-15 00:19:45.322,88.48718,12.5
2014-12-15 00:20:05.928,86.95652,12.5
2014-12-15 00:20:26.500,88.49558,12.5
2014-12-15 00:20:47.132,88.49558,12.5
2014-12-15 00:21:07.736,88.49558,12.5
2014-12-15 00:21:28.351,88.49558,12.5
2014-12-15 00:21:49.191,86.95652,12.5
2014-12-15 00:22:09.701,86.95652,12.5
2014-12-15 00:22:30.372,86.95652,12.5
