date,end,title,fill,description
2014-12-14 23:01:00.000,2014-12-14 23:01:00.000,Tip-off,gray,
2014-12-14 23:37:00.000,2014-12-14 23:39:00.000,End of 1st quarter,gray,First quarter ends Golden State 28 - 31 Pelicans
2014-12-15 00:07:00.000,2014-12-15 00:19:00.000,Half-time,gray,Golden State lead at the end of the first half.  Golden State 60 - 51 Pelicans
2014-12-15 00:53:00.000,2014-12-15 00:56:00.000,End of 3rd quarter,gray,Third quarter ends Golden State 89 - 89 Pelicans
2014-12-15 01:29:00.000,2014-12-15 01:31:00.000,End of 4th quarter,gray,Regular time ends at a tie. Golden State 111 - 111 Pelicans
2014-12-15 01:44:00.000,2014-12-15 01:44:00.000,Full-time,gray,Golden State win.  Golden State 128 - 122 Pelicans
