date,Burnley,C Palace,The Draw
2015-01-17 15:26:55.586,280.6668,0,0
2015-01-17 15:27:11.389,238.4012,11.58024,22.78081
2015-01-17 15:27:28.810,13378.31,65.12715,7.508048
2015-01-17 15:28:08.569,560.6934,0,0
2015-01-17 15:28:24.325,1720.275,56.16837,125.0175
2015-01-17 15:28:40.549,9271.222,273.663,1072.426
2015-01-17 15:28:56.630,27674.56,2560.524,3059.002
2015-01-17 15:29:12.538,5506.898,103.9913,1267.773
2015-01-17 15:29:28.739,2295.229,392.1855,98.13895
2015-01-17 15:29:44.628,5173.25,363.9858,689.7944
2015-01-17 15:30:01.360,3316.255,1547.734,444.5149
2015-01-17 15:30:17.352,24919,1214.529,88.69228
2015-01-17 15:30:33.087,1828.568,102.9196,15.253
2015-01-17 15:30:48.887,82.93849,185.0926,0
2015-01-17 15:31:04.729,7259.057,349.5343,264.0538
2015-01-17 15:31:20.522,871.1034,87.03816,52.73198
2015-01-17 15:31:36.277,1114.913,21.02173,99.01538
2015-01-17 15:31:52.585,1227.312,108.5736,18.54324
2015-01-17 15:32:08.247,371.0734,157.8767,0
2015-01-17 15:32:24.095,254.4079,92.75289,650.406
2015-01-17 15:32:39.877,9521.02,655.075,0
2015-01-17 15:32:55.828,8690.255,145.0771,238.5478
2015-01-17 15:33:13.850,4079.597,148.7152,50.57049
2015-01-17 15:33:29.714,422.3913,40.77165,24.84877
2015-01-17 15:33:45.856,3717.059,153.0685,14.86824
2015-01-17 15:34:01.632,4464.251,384.6224,260.3703
2015-01-17 15:34:18.252,0,618.9813,0
2015-01-17 15:34:34.632,145.9348,86.19091,388.2437
2015-01-17 15:34:50.930,9343.786,89.2763,101.1307
2015-01-17 15:35:07.633,147.604,120.6983,18.17659
2015-01-17 15:35:23.955,1470.381,99.83885,0
2015-01-17 15:35:39.779,70.03138,761.8899,0
2015-01-17 15:35:55.535,51.44821,396.4673,126.964
2015-01-17 15:36:11.511,715.6116,165.326,102.1551
2015-01-17 15:36:27.300,58.52052,15.20014,113.165
2015-01-17 15:36:43.235,630.0774,405.8943,0
2015-01-17 15:36:59.424,415.1167,491.4685,19.68098
2015-01-17 15:37:15.591,150.4147,176.2075,222.6717
2015-01-17 15:37:31.502,106.9424,82.99725,0
2015-01-17 15:37:47.265,76.13011,1.294212,0
2015-01-17 15:38:03.071,5025.814,53.14224,15.1835
2015-01-17 15:38:20.110,93.98676,84.6902,8.240128
2015-01-17 15:38:36.507,117.8611,67.40146,0
2015-01-17 15:38:52.488,5305.777,112.6325,1.98984
2015-01-17 15:39:08.328,1000.093,60.60712,30.30356
2015-01-17 15:39:24.048,35.26815,210.4638,18.93182
2015-01-17 15:39:40.069,50655.84,0,100.3691
2015-01-17 15:39:56.246,163.1854,0,0
2015-01-17 15:40:13.414,0,59.06357,0
2015-01-17 15:40:29.060,0,107.3817,0
2015-01-17 15:40:45.015,0,42.94414,15.04173
2015-01-17 15:41:00.716,0,0,0
2015-01-17 15:41:16.536,2503.118,377.9708,0
2015-01-17 15:41:33.160,123.655,328.0864,180.4655
2015-01-17 15:41:48.888,161.0219,116.5034,71.41271
2015-01-17 15:42:04.826,162.0687,15.05864,0
2015-01-17 15:42:20.917,223.7322,0,59.06531
2015-01-17 15:42:43.250,12286.81,225.643,75.97551
2015-01-17 15:42:59.209,2912.541,349.3064,52.6347
2015-01-17 15:43:15.495,0,358.6919,0
2015-01-17 15:43:31.305,2861.362,6.110128,390.9723
2015-01-17 15:43:47.340,46.8844,103.6471,2.095392
2015-01-17 15:44:03.157,0,46.01432,0
2015-01-17 15:44:19.058,65.8824,37.73333,9.508799
2015-01-17 15:44:36.044,14.12892,7.06446,0
2015-01-17 15:44:51.944,0,635.0989,479.4752
2015-01-17 15:45:08.229,86.43639,151.4295,0
2015-01-17 15:45:24.337,44.69888,574.2316,14.89963
2015-01-17 15:45:40.346,532.271,0,11.43097
2015-01-17 15:45:56.608,7752.906,364.7094,415.0714
2015-01-17 15:46:12.545,2993.534,532.5562,0
2015-01-17 15:46:28.848,257.6184,0,0
2015-01-17 15:46:44.844,2116.285,142.536,15.00379
2015-01-17 15:47:00.954,334.9727,26.25703,121.7879
2015-01-17 15:47:19.645,99.70438,47.73355,0
2015-01-17 15:47:35.796,41.49464,5.163613,9.101332
2015-01-17 15:47:51.973,25006,74.18306,14.83661
2015-01-17 15:48:30.866,200.5627,299.8337,15.42672
2015-01-17 15:48:46.740,37.26938,85.57594,15.11942
2015-01-17 15:49:02.648,497.9433,11.50376,53.29449
2015-01-17 15:49:18.876,395.118,65.95775,0
2015-01-17 15:49:35.272,483.0633,21.95742,0
2015-01-17 15:49:51.147,33.07056,85.11418,0
2015-01-17 15:50:07.188,145.5028,106.4153,55.91946
2015-01-17 15:50:23.088,253.6867,0,0
2015-01-17 15:50:38.967,320.5712,375.7378,120.1197
2015-01-17 15:50:54.756,7626.054,865.7075,92.61322
2015-01-17 15:51:10.679,0,16.95681,93.9784
2015-01-17 15:51:31.716,856.117,112.6012,0
2015-01-17 15:51:47.640,21634,537.8819,0
2015-01-17 15:52:03.507,289.3948,104.3682,0
2015-01-17 15:52:20.905,0,127.5709,258.9355
2015-01-17 15:52:36.696,103.9583,125.0464,1.519859
2015-01-17 15:52:53.168,7.539716,72.8475,0
2015-01-17 15:53:09.064,0.2642235,115.2015,23.70463
2015-01-17 15:53:25.412,308.2969,50.79558,59.09023
2015-01-17 15:53:41.516,111.7353,214.0816,946.0427
2015-01-17 15:53:57.962,1154.032,295.6952,299.4164
2015-01-17 15:54:13.693,4697.435,23.83884,494.1697
2015-01-17 15:54:29.668,2789.676,169.3125,15.0233
2015-01-17 15:54:45.484,13323.93,164.7211,57.92931
2015-01-17 15:55:01.321,0,197.9172,449.1402
2015-01-17 15:55:17.124,0,39.71166,0
2015-01-17 15:55:38.447,533.3822,67.53454,104.2283
2015-01-17 15:55:54.974,1375.129,121.5464,225.34
2015-01-17 15:56:12.323,452.8039,0,0
2015-01-17 15:56:29.472,26.73076,226.1968,0
2015-01-17 15:56:46.140,0,194.4191,1158.883
2015-01-17 15:57:01.966,23.16449,219.2855,104.79
2015-01-17 15:57:18.312,630.6937,36.74336,201.8866
2015-01-17 15:57:34.284,229.1507,621.3365,0
2015-01-17 15:57:50.472,2684.913,65.27052,14.82578
2015-01-17 15:58:06.324,360.6299,206.4311,122.6323
2015-01-17 15:58:22.587,45.23124,110.7169,0
2015-01-17 15:58:40.765,334.0378,0,77.53506
2015-01-17 15:58:56.882,111.6825,0,26.28262
2015-01-17 15:59:12.836,0.3008596,147.8349,0
2015-01-17 15:59:28.796,28.19492,54.47259,0
2015-01-17 15:59:44.652,3067.686,15.13636,36.10022
2015-01-17 16:00:00.650,1797.061,150.0207,15.00207
2015-01-17 16:00:17.461,107.7886,148.2628,7.138315
2015-01-17 16:00:37.070,0.3365755,587.3855,292.5759
2015-01-17 16:00:53.530,83.4738,175.6959,561.3522
2015-01-17 16:01:09.428,260.4959,183.8795,0
2015-01-17 16:01:25.562,52.58309,16.47405,14.87499
2015-01-17 16:01:46.048,18.39326,150.1921,0.2928863
2015-01-17 16:02:02.247,474.0995,57.2253,40.55773
2015-01-17 16:02:18.730,4856.441,72.80311,11.13888
2015-01-17 16:02:36.146,1187.031,14.46926,0
2015-01-17 16:02:57.032,285.4078,165.5279,116.4613
2015-01-17 16:03:18.132,14665.07,546.8252,396.1995
2015-01-17 16:03:35.410,5179.36,107.5452,214.9168
2015-01-17 16:03:52.250,1628.146,12.47076,0
2015-01-17 16:04:08.066,22.76119,44.72573,0
2015-01-17 16:04:23.966,191.095,403.4355,0
2015-01-17 16:04:39.720,11.61605,0.1523416,148.7997
2015-01-17 16:04:55.887,61.16334,0,11.31967
2015-01-17 16:05:11.726,89.81666,21.9333,64.58768
2015-01-17 16:05:27.843,1342.261,680.4185,398.8776
2015-01-17 16:05:43.847,1686.577,590.6113,1056.712
2015-01-17 16:06:00.097,7277.468,2327.734,2604.278
2015-01-17 16:06:16.068,14058.87,2026.444,397.031
