date,Chelsea,Swansea,The Draw
2015-01-17 15:26:10.921,25129.82,29.94895,43.7629
2015-01-17 15:26:27.056,263165.3,14.87464,22.31196
2015-01-17 15:26:44.065,17180.15,28.22032,0
2015-01-17 15:27:01.802,727.7685,14.07231,33.82767
2015-01-17 15:27:17.484,105167,26.55246,0
2015-01-17 15:27:35.463,34302.61,0,20.35811
2015-01-17 15:28:09.567,20657.18,2.410255,168.7882
2015-01-17 15:28:25.680,41593.35,14.89441,22.34162
2015-01-17 15:28:41.857,4415.544,39.76197,153.8551
2015-01-17 15:28:57.710,8383.617,24.29782,7.758649
2015-01-17 15:29:13.608,9317.461,38.00381,13.88818
2015-01-17 15:29:29.566,1302.846,54.78187,68.58074
2015-01-17 15:29:45.901,4527.255,14.69244,84.00402
2015-01-17 15:30:02.568,1416.801,49.06624,151.8066
2015-01-17 15:30:18.335,2513.235,42.05025,0
2015-01-17 15:30:34.153,482.7847,69.18599,37.93091
2015-01-17 15:30:49.933,1331.186,76.16014,58.9357
2015-01-17 15:31:05.723,3086.753,15.19969,74.47848
2015-01-17 15:31:22.008,19513.02,0,477.6114
2015-01-17 15:31:37.766,4847.595,29.0893,10.88945
2015-01-17 15:31:53.533,332.4922,106.5558,44.1065
2015-01-17 15:32:09.374,101407.7,72.98683,128.5508
2015-01-17 15:32:25.047,801.7341,2.143776,82.65023
2015-01-17 15:32:40.873,2103.71,0,15.16515
2015-01-17 15:32:57.077,573115.2,28.25186,86.79207
2015-01-17 15:33:14.811,3585.336,0,15.49604
2015-01-17 15:33:30.622,4389.158,70.92508,22.76888
2015-01-17 15:33:46.764,6900.996,125.9673,137.2669
2015-01-17 15:34:02.421,379.4167,0,0
2015-01-17 15:34:19.954,148125.6,1.368858,6.844288
2015-01-17 15:34:35.642,2730.165,648.034,0
2015-01-17 15:34:51.961,11029.78,36.76753,134.9736
2015-01-17 15:35:08.862,7133.292,37.48871,142.3222
2015-01-17 15:35:24.777,1164.649,0,0
2015-01-17 15:35:40.573,1601.041,116.0042,0
2015-01-17 15:35:56.304,5848.041,11.63315,38.14147
2015-01-17 15:36:17.304,7945.105,62.97158,1.771433
2015-01-17 15:36:33.049,627.4737,7.621447,39.02181
2015-01-17 15:36:49.200,4719.019,0,109.3636
2015-01-17 15:37:05.003,4265.88,0,26.19806
2015-01-17 15:37:21.012,5154.698,0,100.2546
2015-01-17 15:37:36.669,18.20267,0,25.5987
2015-01-17 15:37:52.496,2224.181,0,22.70888
