date,VasekPospisil,AndyMurray
2015-07-08 13:00:00.000,0,0
2015-07-08 14:27:00.000,0,1
2015-07-08 15:50:00.000,0,2
2015-07-08 16:39:00.000,0,0
2015-07-08 16:50:00.000,0,4
