date,end,title,fill,description
2015-07-08 13:22:00.000,2015-07-08 13:22:00.000,Murray 2-1 Pospisil,gray,Murray breaks!
2015-07-08 14:27:00.000,2015-07-08 14:27:00.000,Murray 6-4 Pospisil,gray,Murray and Pospisil both hold serve for the rest of the set and Murray takes it 6-4
2015-07-08 15:50:00.000,2015-07-08 15:50:00.000,Murray 7-5 Pospisil,gray,Murray finally breaks Pospisil in the last game of the set, taking it 7-5
2015-07-08 16:30:00.000,2015-07-08 16:30:00.000,Murray 5-4 Pospisil,gray,Murray cracks a backhand left to right to break Posposil and serve for the match
2015-07-08 16:38:00.000,2015-07-08 16:38:00.000,Murray 6-4 Pospisil,gray,Murray takes the match to earn his place in the semi finals
