date,AndyMurray,VasekPospisil
2015-07-08 13:05:10.397,95.69378,3.921569
2015-07-08 13:05:22.222,95.69378,3.921569
2015-07-08 13:05:33.971,95.69378,3.921569
2015-07-08 13:05:45.799,95.69378,3.921569
2015-07-08 13:05:57.581,95.69378,3.921569
2015-07-08 13:06:09.392,95.69378,3.921569
2015-07-08 13:06:21.250,95.69378,3.921569
2015-07-08 13:06:32.982,95.69378,3.921569
2015-07-08 13:06:44.772,95.69378,3.921569
2015-07-08 13:06:56.600,95.69378,3.921569
2015-07-08 13:07:08.408,95.69378,3.921569
2015-07-08 13:07:20.242,95.69378,4.081633
2015-07-08 13:07:31.979,95.69378,3.921569
2015-07-08 13:07:43.814,95.69378,3.921569
2015-07-08 13:07:55.600,95.69378,3.921569
2015-07-08 13:08:07.343,95.69378,3.921569
2015-07-08 13:08:19.199,95.69378,3.921569
2015-07-08 13:08:31.004,95.69378,3.921569
2015-07-08 13:08:42.779,95.69378,3.921569
2015-07-08 13:08:54.606,95.69378,3.921569
2015-07-08 13:09:06.394,95.69378,3.921569
2015-07-08 13:09:18.179,95.69378,3.921569
2015-07-08 13:09:29.969,95.69378,3.921569
2015-07-08 13:09:41.868,95.69378,3.921569
2015-07-08 13:09:53.588,95.69378,3.921569
2015-07-08 13:10:05.418,95.69378,3.921569
2015-07-08 13:10:17.225,95.69378,3.921569
2015-07-08 13:10:28.984,95.69378,3.921569
2015-07-08 13:10:40.811,95.69378,3.921569
2015-07-08 13:10:52.597,95.69378,3.921569
2015-07-08 13:11:04.412,95.69378,4
2015-07-08 13:11:16.097,95.69378,4
2015-07-08 13:11:27.811,95.69378,3.921569
2015-07-08 13:11:39.563,95.69378,3.921569
2015-07-08 13:11:51.412,95.69378,3.921569
2015-07-08 13:12:03.206,95.69378,4.081633
2015-07-08 13:12:14.990,95.69378,4.081633
2015-07-08 13:12:26.793,95.69378,4.081633
2015-07-08 13:12:38.613,95.69378,4.081633
2015-07-08 13:12:50.410,95.69378,4.255319
2015-07-08 13:13:02.181,95.69378,4.255319
2015-07-08 13:13:14.029,95.69378,4.444444
2015-07-08 13:13:25.793,95.69378,4.651163
2015-07-08 13:13:37.608,95.69378,4.444444
2015-07-08 13:13:49.384,95.69378,4.651163
2015-07-08 13:14:01.189,95.69378,4.651163
2015-07-08 13:14:12.984,95.69378,4.651163
2015-07-08 13:14:24.832,95.69378,4.651163
2015-07-08 13:14:36.607,95.69378,4.651163
2015-07-08 13:14:48.434,95.69378,4.761905
2015-07-08 13:15:00.203,95.69378,4.761905
2015-07-08 13:15:12.031,95.69378,4.819277
2015-07-08 13:15:23.796,95.69378,4.444444
2015-07-08 13:15:35.599,95.69378,4.444444
2015-07-08 13:15:47.419,95.69378,4.444444
2015-07-08 13:15:59.168,95.69378,4.255319
2015-07-08 13:16:10.881,95.69378,4.255319
2015-07-08 13:16:22.592,95.69378,4.255319
2015-07-08 13:16:34.396,95.69378,4.255319
2015-07-08 13:16:46.190,95.69378,4.255319
2015-07-08 13:16:57.810,95.69378,4.255319
2015-07-08 13:17:09.387,95.69378,4.444444
2015-07-08 13:17:20.992,95.69378,4.444444
2015-07-08 13:17:32.834,95.69378,4.444444
2015-07-08 13:17:44.585,95.69378,4.444444
2015-07-08 13:17:56.402,95.69378,4.081633
2015-07-08 13:18:08.124,95.69378,4.081633
2015-07-08 13:18:19.816,95.69378,3.921569
2015-07-08 13:18:31.586,95.69378,4.444444
2015-07-08 13:18:43.411,95.69378,4.255319
2015-07-08 13:18:55.218,95.69378,4.255319
2015-07-08 13:19:07.012,95.69378,4.255319
2015-07-08 13:19:18.796,95.69378,4.255319
2015-07-08 13:19:30.593,96.61836,2.597403
2015-07-08 13:19:42.414,96.61836,3.773585
2015-07-08 13:19:54.200,96.61836,2.631579
2015-07-08 13:20:06.094,95.69378,3.389831
2015-07-08 13:20:17.776,95.69378,4.081633
2015-07-08 13:20:29.609,95.69378,4.166667
2015-07-08 13:20:41.410,96.61836,3.448276
2015-07-08 13:20:53.197,96.61836,3.333333
2015-07-08 13:21:05.016,96.61836,3.174603
2015-07-08 13:21:16.847,97.56098,1.6
2015-07-08 13:21:28.621,97.56098,2.439024
2015-07-08 13:21:40.400,97.56098,2.439024
2015-07-08 13:21:52.201,97.56098,2.439024
2015-07-08 13:22:03.998,97.56098,2.325581
2015-07-08 13:22:15.809,97.56098,2.325581
2015-07-08 13:22:27.609,97.56098,2.325581
2015-07-08 13:22:39.339,97.56098,2.325581
2015-07-08 13:22:51.216,97.56098,2.439024
2015-07-08 13:23:03.000,97.56098,2.325581
2015-07-08 13:23:14.813,97.56098,2.439024
2015-07-08 13:23:26.616,97.56098,2.222222
2015-07-08 13:23:38.417,97.56098,2.325581
2015-07-08 13:23:50.196,97.56098,2.222222
2015-07-08 13:24:02.006,97.56098,2.12766
2015-07-08 13:24:13.813,97.56098,2.12766
2015-07-08 13:24:25.592,97.56098,2.12766
2015-07-08 13:24:37.409,97.56098,2.12766
2015-07-08 13:24:49.187,97.56098,2.12766
2015-07-08 13:25:00.842,97.56098,2.222222
2015-07-08 13:25:12.580,97.56098,2.325581
2015-07-08 13:25:24.379,97.56098,2.222222
2015-07-08 13:25:36.275,97.56098,2.222222
2015-07-08 13:25:48.194,97.56098,2.222222
2015-07-08 13:26:00.050,97.56098,2.222222
2015-07-08 13:26:11.821,97.56098,2.325581
2015-07-08 13:26:23.592,97.56098,2.325581
2015-07-08 13:26:35.373,97.56098,2.325581
2015-07-08 13:26:47.163,97.56098,2.325581
