date,Houston,Oklahoma City
2015-01-16 01:30:58.529,10387.93,805.306
2015-01-16 01:31:14.795,5213.373,217.2977
2015-01-16 01:31:32.868,2573.524,24.89897
2015-01-16 01:31:48.756,6917.087,25.18889
2015-01-16 01:32:04.481,628.313,13.62165
2015-01-16 01:32:21.339,8914.23,16.51469
2015-01-16 01:32:37.010,290.8761,60.84008
2015-01-16 01:32:52.729,16060.59,317.1842
2015-01-16 01:33:08.797,12054.57,0
2015-01-16 01:33:24.519,3709.815,36.06542
2015-01-16 01:33:40.190,5979.735,1452.837
2015-01-16 01:33:55.779,181.092,11.89318
2015-01-16 01:34:11.414,7177.437,224.7926
2015-01-16 01:34:27.278,3872.172,28.97245
2015-01-16 01:34:43.035,2939.049,6.968361
2015-01-16 01:34:59.521,2482.522,89.31139
2015-01-16 01:35:15.192,9093.013,2148.728
2015-01-16 01:35:30.810,5604.685,394.0836
2015-01-16 01:35:46.376,16160.37,3179.697
2015-01-16 01:36:02.016,9130.012,336.0329
2015-01-16 01:36:17.594,6593.826,173.2025
2015-01-16 01:36:33.440,7055.861,650.698
2015-01-16 01:36:49.478,2218.338,263.5998
2015-01-16 01:37:05.189,2449.281,0
2015-01-16 01:37:21.234,1481.884,173.5453
2015-01-16 01:37:37.051,7227.502,1008.716
2015-01-16 01:37:52.806,8972.674,189.1966
2015-01-16 01:38:08.412,5075.969,922.6065
2015-01-16 01:38:24.006,0,0
2015-01-16 01:38:39.866,871.7056,67.52862
2015-01-16 01:38:55.586,27240.77,263.0921
2015-01-16 01:39:11.223,2338.133,79.73221
2015-01-16 01:39:26.820,1548.911,34.31425
2015-01-16 01:39:42.373,22119.98,84.94938
2015-01-16 01:39:58.404,28018.84,5275.03
2015-01-16 01:40:14.029,23147.59,206.5549
2015-01-16 01:40:29.919,1627.696,323.9154
2015-01-16 01:40:45.587,825.2567,26.38401
2015-01-16 01:41:01.200,9831.375,600.1438
2015-01-16 01:41:16.793,49048.94,30.20724
2015-01-16 01:41:32.388,10282.59,1268.375
2015-01-16 01:41:47.990,15189.4,217.3123
2015-01-16 01:42:03.594,4807.168,774.8547
2015-01-16 01:42:19.224,1370.788,541.0601
2015-01-16 01:42:35.099,4330.011,33.25981
2015-01-16 01:42:50.832,6563.933,274.627
2015-01-16 01:43:07.181,8198.911,1358.986
2015-01-16 01:43:22.823,1946.5,76.71844
2015-01-16 01:43:38.606,14144.45,121.7275
2015-01-16 01:43:54.193,8829.469,94.3437
2015-01-16 01:44:10.091,6206.684,693.7538
2015-01-16 01:44:25.825,4661.288,0
2015-01-16 01:44:41.378,1174.46,0
2015-01-16 01:44:56.989,5078.455,0
2015-01-16 01:45:12.590,5462.665,673.8001
2015-01-16 01:45:28.582,4838.18,0
2015-01-16 01:45:44.182,20483.67,4026.622
2015-01-16 01:45:59.812,13226.72,2736.702
2015-01-16 01:46:15.530,20064.75,381.9265
2015-01-16 01:46:31.201,282.5481,275.6567
2015-01-16 01:46:47.441,809.5727,156.173
2015-01-16 01:47:03.369,277.6269,565.0479
2015-01-16 01:47:19.071,13141.39,2675.912
2015-01-16 01:47:34.792,3158.029,33.24241
2015-01-16 01:47:50.639,2377.829,110.1776
2015-01-16 01:48:06.673,0,469.8054
2015-01-16 01:48:22.393,11445.33,83.93288
2015-01-16 01:48:38.029,5014.408,382.4678
2015-01-16 01:48:53.781,311.7691,0
2015-01-16 01:49:09.433,0,84.83026
2015-01-16 01:49:25.188,1695.774,0
2015-01-16 01:49:40.801,1435.876,185.8495
2015-01-16 01:49:56.544,816.837,19.05559
2015-01-16 01:50:12.372,1224.642,157.1269
2015-01-16 01:50:28.031,3223.627,155.0716
2015-01-16 01:50:43.839,4772.312,5.313829
2015-01-16 01:50:59.588,2343.258,40.0023
2015-01-16 01:51:15.672,7900.929,759.0562
2015-01-16 01:51:31.686,9499.126,200.3385
2015-01-16 01:51:47.413,12982.45,671.8819
2015-01-16 01:52:03.119,2078.603,164.5325
2015-01-16 01:52:18.792,2883.88,252.2869
2015-01-16 01:52:34.398,7409.076,29.41101
2015-01-16 01:52:50.017,13292.48,38.41501
2015-01-16 01:53:05.593,3528.082,0
2015-01-16 01:53:21.182,11957.56,299.9975
2015-01-16 01:53:36.793,5178.503,58.87938
2015-01-16 01:53:55.288,2866.4,86.42413
2015-01-16 01:54:11.137,752.6191,0
2015-01-16 01:54:26.811,3867.972,365.4325
2015-01-16 01:54:42.444,3292.027,0
2015-01-16 01:54:58.227,3933.633,0
2015-01-16 01:55:14.064,1439.265,23.41254
2015-01-16 01:55:29.905,7668.908,6.24982
2015-01-16 01:55:45.650,2349.808,235.0456
2015-01-16 01:56:01.405,3184.159,145.8216
2015-01-16 01:56:17.030,428.5836,0
2015-01-16 01:56:32.808,0,23.50017
2015-01-16 01:56:48.420,803.4721,52.96013
2015-01-16 01:57:04.276,1617.865,19.98019
2015-01-16 01:57:21.097,0,96.94592
2015-01-16 01:57:36.820,848.2711,580.2574
2015-01-16 01:57:52.440,62.84105,0
2015-01-16 01:58:08.232,5325.086,27.73522
2015-01-16 01:58:24.241,9543.635,0
2015-01-16 01:58:40.220,11753.87,183.2001
2015-01-16 01:58:55.825,2276.133,0
2015-01-16 01:59:11.450,1054.815,0
2015-01-16 01:59:27.192,173.0323,0
2015-01-16 01:59:42.818,113.8536,0
2015-01-16 01:59:58.442,9552.274,0
2015-01-16 02:00:14.438,4245.653,189.4634
2015-01-16 02:00:30.409,6263.912,782.928
2015-01-16 02:00:46.189,4958.846,23.27008
2015-01-16 02:01:01.957,7557.247,787.7095
2015-01-16 02:01:17.715,242.2414,79.92214
2015-01-16 02:01:33.483,2760.864,432.1947
2015-01-16 02:01:49.252,497.8425,63.61912
2015-01-16 02:02:05.594,1195.931,40.38694
2015-01-16 02:02:21.352,20286.11,75.19707
2015-01-16 02:02:37.118,6743.774,11.56978
2015-01-16 02:02:52.946,15350.14,0
2015-01-16 02:03:08.859,640.0644,38.95061
2015-01-16 02:03:24.637,10369.55,0
2015-01-16 02:03:40.512,44623.33,586.903
2015-01-16 02:03:56.350,874.5302,0
2015-01-16 02:04:12.075,58.45479,0
2015-01-16 02:04:28.404,9960.851,0
2015-01-16 02:04:44.138,2702.876,105.0964
2015-01-16 02:04:59.964,2738.666,440.6857
2015-01-16 02:05:15.600,606.5853,0
2015-01-16 02:05:31.610,1266.936,0
2015-01-16 02:05:47.377,3678.334,1504.47
2015-01-16 02:06:03.187,4622.128,1303.92
2015-01-16 02:06:18.912,9412.14,57.23336
2015-01-16 02:06:34.634,1833.731,546.0204
2015-01-16 02:06:50.573,43537.79,0
2015-01-16 02:07:06.312,1143.627,0
2015-01-16 02:07:23.007,12953.92,244.6686
2015-01-16 02:07:38.688,4498.788,7.308259
2015-01-16 02:07:54.434,38.67792,7.316415
2015-01-16 02:08:10.249,271.4125,61.00522
2015-01-16 02:08:26.255,2.286648,0
2015-01-16 02:08:42.132,2625.391,12.58374
2015-01-16 02:08:57.876,102.0996,33.91885
2015-01-16 02:09:13.812,8026.663,603.4587
2015-01-16 02:09:29.404,491.3222,0
2015-01-16 02:09:45.064,12597.56,39.84619
2015-01-16 02:10:00.818,17252.68,100.2049
2015-01-16 02:10:16.442,834.4208,14.70836
2015-01-16 02:10:32.200,13226.77,15.57336
2015-01-16 02:10:48.228,4417.284,256.7927
2015-01-16 02:11:04.036,3597.278,90.06858
2015-01-16 02:11:19.837,7560.964,0
2015-01-16 02:11:36.126,74.18644,0
2015-01-16 02:11:51.807,866.9169,25.17682
2015-01-16 02:12:08.188,5308.045,1583.344
2015-01-16 02:12:23.799,8806.879,0
2015-01-16 02:12:39.460,401.5572,4.40598
2015-01-16 02:12:55.267,171.875,45.54992
2015-01-16 02:13:11.108,1805.922,4.090595
2015-01-16 02:13:26.810,225.4056,38.21082
2015-01-16 02:13:42.459,8045.275,38.34041
2015-01-16 02:13:58.766,7083.96,2389.873
2015-01-16 02:14:20.199,3453.478,225.9656
2015-01-16 02:14:37.153,2599.041,901.8433
2015-01-16 02:14:52.838,5201.154,868.7909
2015-01-16 02:15:08.702,1004.114,1605.47
2015-01-16 02:15:24.750,50.92121,0
2015-01-16 02:15:41.401,1568.301,144.1354
2015-01-16 02:15:57.146,741.7559,172.1008
2015-01-16 02:16:12.922,741.1063,0
2015-01-16 02:16:28.741,308.33,107.4546
2015-01-16 02:16:44.503,8339.995,1.63689
2015-01-16 02:17:00.411,645.3081,18.70677
2015-01-16 02:17:16.069,1309.414,166.1532
2015-01-16 02:17:31.992,551.0433,95.21926
2015-01-16 02:17:47.713,3729.912,0
2015-01-16 02:18:03.555,9990.506,133.3885
2015-01-16 02:18:19.308,116.6237,29.13689
2015-01-16 02:18:35.115,3597.924,95.04681
2015-01-16 02:18:50.869,854.9817,96.32255
2015-01-16 02:19:06.926,365.4826,0
2015-01-16 02:19:22.598,2192.366,0
2015-01-16 02:19:38.233,2367.72,11.78085
2015-01-16 02:19:54.013,12907.83,1231.347
2015-01-16 02:20:09.698,8103.046,21.68912
2015-01-16 02:20:25.729,66.13249,8.608078
2015-01-16 02:20:41.461,227.1586,84.44075
2015-01-16 02:20:57.456,475.6014,0
2015-01-16 02:21:13.261,2129.101,10.89588
2015-01-16 02:21:29.114,1348.657,469.3711
2015-01-16 02:21:45.241,135.2417,0
2015-01-16 02:22:01.090,6056.979,0
2015-01-16 02:22:16.981,2988.976,0
2015-01-16 02:22:33.362,5814.062,129.4439
2015-01-16 02:22:49.636,8199.799,11.42937
2015-01-16 02:23:06.172,282.8281,485.9781
2015-01-16 02:23:22.024,2144.364,0
2015-01-16 02:23:37.956,498.229,606.4611
2015-01-16 02:23:53.896,6119.541,881.9261
2015-01-16 02:24:09.952,323.5,110.8353
2015-01-16 02:24:26.030,7719.223,0
2015-01-16 02:24:42.026,4566.142,0
2015-01-16 02:24:57.991,854.3135,38.29604
2015-01-16 02:25:13.727,550.5602,131.4344
2015-01-16 02:25:29.673,0,288.5313
2015-01-16 02:25:45.652,0,28.72533
