name,color,logoSize,logox,logoy,eventsx,y2scale
Houston,#aca89e,110,2015-01-16 02:20:00.000,0.33,15,1.0
Oklahoma City,#1e3160,70,2015-01-16 01:13:00.000,0.73,15,1.0
