name,color,logoSize,logox,logoy,eventsx,y2scale
Italy,#0095d4,28,2015-03-21 12:25:00.000,-0.12,20,1.1
Draw,#cccccc,120,2015-02-14 16:40:00.000,0,0,1.1
Wales,#e52713,70,2015-03-21 14:10:00.000,0.65,0,1.1
