date,Jo-Wilfried Tsonga,Stanislas Wawrinka
2014-11-21 13:34:09.280,17.1214,82.88002
2014-11-21 13:34:25.960,17.83549,81.40803
2014-11-21 13:34:41.608,18.51852,81.563
2014-11-21 13:34:57.425,18.18182,82.50551
2014-11-21 13:35:13.314,18.18182,82.63851
2014-11-21 13:35:29.070,18.51852,80.96447
2014-11-21 13:35:44.795,18.68584,81.08566
2014-11-21 13:36:00.618,18.18182,82.33215
2014-11-21 13:36:16.410,18.18182,82.46404
2014-11-21 13:36:32.188,18.18182,83.04311
2014-11-21 13:36:48.247,17.54386,83.32939
2014-11-21 13:37:03.979,17.24138,83.07934
2014-11-21 13:37:19.830,17.17398,82.67541
2014-11-21 13:37:35.671,17.09402,82.89794
2014-11-21 13:38:00.901,16.78795,83.51389
2014-11-21 13:38:16.588,16.66667,83.36229
2014-11-21 13:38:32.381,16.66667,83.35048
2014-11-21 13:38:48.399,16.1376,84.03361
2014-11-21 13:39:04.244,16.12903,84.05954
2014-11-21 13:39:20.059,15.75542,84.15323
2014-11-21 13:39:37.096,15.625,84.43952
2014-11-21 13:39:53.551,15.625,84.74576
2014-11-21 13:40:09.242,15.625,85.11287
2014-11-21 13:40:25.062,15.625,84.64335
2014-11-21 13:40:41.249,15.36496,84.63773
2014-11-21 13:40:57.304,14.70588,85.60103
2014-11-21 13:41:13.099,14.70588,86.08184
2014-11-21 13:41:28.999,14.70588,86.2069
2014-11-21 13:41:45.076,14.70588,86.2069
2014-11-21 13:42:00.844,10.86957,89.32585
2014-11-21 13:42:16.805,10.86957,87.15799
2014-11-21 13:42:32.551,10.86957,86.81061
2014-11-21 13:42:48.180,10.86957,85.42877
2014-11-21 13:43:04.055,14.55046,86.2099
2014-11-21 13:43:19.817,13.88889,86.88961
2014-11-21 13:43:35.572,13.82515,86.94558
2014-11-21 13:43:51.376,10.86957,89.27264
2014-11-21 13:44:07.311,10.86957,89.74749
2014-11-21 13:44:22.999,10.86957,87.6421
2014-11-21 13:44:39.390,13.15789,85.80495
2014-11-21 13:44:55.220,14.70588,85.40352
2014-11-21 13:45:11.004,15.06095,85.88781
2014-11-21 13:45:27.026,12.89495,87.32109
2014-11-21 13:45:42.832,12.82051,87.06457
2014-11-21 13:45:59.165,12.82051,85.43522
2014-11-21 13:46:14.804,14.97995,84.9916
2014-11-21 13:46:30.619,15.625,85.13573
2014-11-21 13:46:46.377,15.77084,84.07847
2014-11-21 13:47:07.709,15.73255,84.34149
2014-11-21 13:47:44.334,16.09403,84.47776
2014-11-21 13:48:00.364,15.7649,84.15225
2014-11-21 13:48:15.988,15.625,84.91576
2014-11-21 13:48:31.805,13.88889,85.59513
2014-11-21 13:48:47.620,13.88889,86.22624
2014-11-21 13:49:08.444,14.70588,86.18852
2014-11-21 13:49:24.207,13.91884,86.19573
2014-11-21 13:49:41.405,13.54589,86.64767
2014-11-21 13:49:57.186,13.25753,86.95222
2014-11-21 13:50:12.996,13.29886,86.91464
2014-11-21 13:50:28.871,13.66993,86.25845
2014-11-21 13:50:44.600,13.15789,87.52877
2014-11-21 13:51:00.395,13.15789,85.65982
2014-11-21 13:51:16.207,14.70588,86.18836
2014-11-21 13:51:32.033,15.15152,84.81168
2014-11-21 13:51:48.347,15.625,84.81866
2014-11-21 13:52:03.979,15.2159,85.46838
2014-11-21 13:52:19.787,14.69931,85.48562
2014-11-21 13:52:35.575,15.56578,84.77564
2014-11-21 13:52:51.380,14.70588,85.51955
2014-11-21 13:53:07.888,14.70588,85.51008
2014-11-21 13:53:23.599,15.14468,85.53158
2014-11-21 13:53:39.382,15.95297,84.73245
2014-11-21 13:53:55.300,15.84801,84.44767
2014-11-21 13:54:10.996,15.625,84.71998
2014-11-21 13:54:26.838,15.625,84.12269
2014-11-21 13:54:44.999,15.625,84.3437
2014-11-21 13:55:00.812,15.71254,84.07828
2014-11-21 13:55:16.601,16.01808,84.0554
2014-11-21 13:55:32.430,16.66667,82.64861
2014-11-21 13:55:48.497,17.49986,82.68744
2014-11-21 13:56:04.196,16.64475,83.92004
2014-11-21 13:56:20.131,15.81425,84.2321
2014-11-21 13:56:35.878,15.81425,85.4321
2014-11-21 13:56:51.612,14.70588,85.51462
2014-11-21 13:57:07.457,15.625,85.46403
2014-11-21 13:57:23.537,15.625,84.74484
2014-11-21 13:57:39.304,16.12903,84.74384
2014-11-21 13:57:55.255,16.66667,82.69239
2014-11-21 13:58:11.046,17.32496,82.64417
2014-11-21 13:58:26.850,17.32496,82.64463
2014-11-21 13:58:42.982,19.13419,80.71265
2014-11-21 13:59:04.181,20.19409,79.59369
2014-11-21 13:59:20.058,22.22222,78.907
2014-11-21 13:59:37.060,22.11144,81.05067
2014-11-21 13:59:52.850,18.18182,81.96721
2014-11-21 14:00:08.706,17.93076,81.82145
2014-11-21 14:00:25.087,21.2766,78.79333
2014-11-21 14:00:40.887,22.90548,78.89041
2014-11-21 14:00:57.090,26.37723,77.98691
2014-11-21 14:01:12.831,32.7617,68.41024
2014-11-21 14:01:28.625,29.85075,71.20666
2014-11-21 14:01:44.617,29.39552,70.38728
2014-11-21 14:02:00.494,31.25496,69.21292
2014-11-21 14:02:16.230,31.8844,67.88829
2014-11-21 14:02:32.043,32.20442,67.74233
2014-11-21 14:02:48.629,32.00339,68.21224
2014-11-21 14:03:04.999,33.33333,67.30675
2014-11-21 14:03:20.814,32.9392,67.41016
2014-11-21 14:03:36.726,32.55862,67.59269
2014-11-21 14:03:52.459,32.51745,67.83279
2014-11-21 14:04:08.237,32.16841,66.98967
2014-11-21 14:04:24.037,32.78689,67.17954
2014-11-21 14:04:40.169,32.28797,67.5761
2014-11-21 14:04:55.900,31.97526,68.29163
2014-11-21 14:05:11.716,31.74603,68.0908
2014-11-21 14:05:27.426,31.74603,68.03117
2014-11-21 14:05:43.735,32.08193,68.02588
2014-11-21 14:05:59.464,32.39372,67.63408
2014-11-21 14:06:15.330,32.39372,67.06604
2014-11-21 14:06:31.038,33.29232,67.01186
2014-11-21 14:06:46.876,32.78689,67.69566
2014-11-21 14:07:03.068,32.39968,67.89639
2014-11-21 14:07:18.851,33.87209,65.77857
2014-11-21 14:07:35.154,33.47429,66.0611
2014-11-21 14:08:03.966,33.2912,67.76928
2014-11-21 14:08:19.575,30.8879,69.24183
2014-11-21 14:08:35.381,30.6952,69.58961
2014-11-21 14:08:51.291,30.69703,69.70098
2014-11-21 14:09:07.024,30.30826,69.60873
2014-11-21 14:09:22.801,31.75826,68.3437
2014-11-21 14:09:38.660,32.14726,68.31459
2014-11-21 14:09:54.438,33.52984,66.2433
2014-11-21 14:10:10.220,33.51076,66.30062
2014-11-21 14:10:26.423,34.7598,65.28296
2014-11-21 14:10:42.838,35.13726,65.12964
2014-11-21 14:10:58.589,34.64297,65.49302
2014-11-21 14:11:14.399,34.64297,65.34692
2014-11-21 14:11:30.284,35.69035,63.97948
2014-11-21 14:11:46.024,36.58666,63.47929
2014-11-21 14:12:01.839,36.72717,63.3484
2014-11-21 14:12:17.646,36.52566,63.4301
2014-11-21 14:12:33.428,37.03308,63.19458
2014-11-21 14:12:49.459,37.18143,63.25722
2014-11-21 14:13:05.240,36.97293,62.97998
2014-11-21 14:13:21.323,37.02719,62.97405
2014-11-21 14:13:37.037,36.78713,63.60848
2014-11-21 14:13:52.782,35.96328,64.90827
2014-11-21 14:14:08.571,35.96328,64.93506
2014-11-21 14:14:24.413,35.41221,64.71087
2014-11-21 14:14:40.229,35.41221,64.42107
2014-11-21 14:14:56.024,35.71936,64.22614
2014-11-21 14:15:11.781,35.75656,64.50397
2014-11-21 14:15:27.560,35.87289,64.25915
2014-11-21 14:15:43.260,35.87289,64.10214
2014-11-21 14:15:58.999,36.12034,64.00093
2014-11-21 14:16:14.851,35.7152,64.434
2014-11-21 14:16:30.593,35.6306,64.91488
2014-11-21 14:16:46.398,35.75734,63.69809
2014-11-21 14:17:02.334,35.75734,62.41232
2014-11-21 14:17:18.175,37.02741,62.90056
2014-11-21 14:17:34.838,34.82244,64.84847
2014-11-21 14:17:50.597,34.72222,65.44416
2014-11-21 14:18:06.382,36.83488,63.334
2014-11-21 14:18:22.275,37.04614,62.88267
2014-11-21 14:18:38.009,38.78586,60.90539
2014-11-21 14:18:53.839,38.7735,60.99759
2014-11-21 14:19:09.641,38.86324,60.29911
2014-11-21 14:19:25.387,40.17617,59.83473
2014-11-21 14:19:41.231,40.43411,59.60842
