date,Boston,New Orleans
2015-01-13 01:03:00.408,0,194.2118
2015-01-13 01:03:16.185,0,0
2015-01-13 01:03:32.003,0,78.74955
2015-01-13 01:03:48.040,0,0
2015-01-13 01:04:04.332,0,0
2015-01-13 01:04:20.575,0,410.3568
2015-01-13 01:04:36.280,20.85926,337.7214
2015-01-13 01:04:52.002,0,245.7341
2015-01-13 01:05:07.992,137.2575,564.0765
2015-01-13 01:05:23.772,0,919.9148
2015-01-13 01:05:39.420,59.85507,76.64977
2015-01-13 01:05:55.257,59.10213,121.0457
2015-01-13 01:06:11.038,69.6162,457.1629
2015-01-13 01:06:26.784,11.43092,699.6864
2015-01-13 01:06:42.588,0,186.3725
2015-01-13 01:06:58.451,12.86037,0
2015-01-13 01:07:14.214,0,59.38034
2015-01-13 01:07:35.541,5.626593,4320.07
2015-01-13 01:07:51.263,40.18631,7554.11
2015-01-13 01:08:07.163,41.77162,473.3739
2015-01-13 01:08:22.772,0,43.20654
2015-01-13 01:08:38.407,0,1197.971
2015-01-13 01:08:54.540,16.40127,2006.31
2015-01-13 01:09:12.268,0,268.9951
2015-01-13 01:09:27.991,0,1317.939
2015-01-13 01:09:43.830,0,500.541
2015-01-13 01:09:59.614,0,1951.242
2015-01-13 01:10:15.623,0,1550.342
2015-01-13 01:10:31.386,0,209.3512
2015-01-13 01:10:47.213,0,2008.301
2015-01-13 01:11:03.014,0,1185.345
2015-01-13 01:11:18.788,36.02038,1820.95
2015-01-13 01:11:34.582,44.37213,1701.565
2015-01-13 01:11:50.205,155.7707,162.8372
2015-01-13 01:12:05.983,0,3507.897
2015-01-13 01:12:21.804,0,5700.623
2015-01-13 01:12:37.598,307.3436,3796.169
2015-01-13 01:12:53.457,17.70625,2943.172
2015-01-13 01:13:09.202,0,748.5085
2015-01-13 01:13:25.129,0,3456.036
2015-01-13 01:13:41.353,0,1689.582
2015-01-13 01:13:57.043,1231.463,82.55898
2015-01-13 01:14:12.773,0,1286.919
2015-01-13 01:14:28.408,0,0
2015-01-13 01:14:44.190,0,0
2015-01-13 01:15:00.011,0,0
2015-01-13 01:15:16.867,13.91817,137.2595
2015-01-13 01:15:32.580,76.36621,2838.99
2015-01-13 01:15:48.691,64.95047,2576.828
2015-01-13 01:16:04.444,22.85347,691.9269
2015-01-13 01:16:20.225,8.934278,3010.357
2015-01-13 01:16:35.976,0,11.88514
2015-01-13 01:16:51.987,7.494808,37.88625
2015-01-13 01:17:07.812,40.1146,176.5725
2015-01-13 01:17:23.938,209.9278,29.84085
2015-01-13 01:17:39.584,44.02398,46.09479
2015-01-13 01:17:57.643,98.21182,678.0137
2015-01-13 01:18:13.402,0,201.0175
2015-01-13 01:18:29.190,7.600973,49.1783
2015-01-13 01:18:45.059,101.8592,133.3925
2015-01-13 01:19:01.000,22.58295,1471.129
2015-01-13 01:19:18.789,105.8078,74.4061
2015-01-13 01:19:34.596,45.16904,70.52443
2015-01-13 01:19:50.397,6.34147,10.02484
2015-01-13 01:20:06.235,124.1831,2.310912
2015-01-13 01:20:22.970,0,2078.477
2015-01-13 01:20:38.597,0,42.42541
2015-01-13 01:20:54.383,5.891446,8.894183
2015-01-13 01:21:10.246,221.3438,1562.947
2015-01-13 01:21:26.011,739.5474,3321.455
2015-01-13 01:21:41.812,0,561.352
2015-01-13 01:21:57.929,16.30559,223.2153
2015-01-13 01:22:13.666,74.38698,730.3345
2015-01-13 01:22:29.388,27.36328,502.118
2015-01-13 01:22:45.197,0,0
2015-01-13 01:23:03.600,0,3386.652
2015-01-13 01:23:19.403,0,0
2015-01-13 01:23:35.226,6.105191,10.04892
2015-01-13 01:23:51.236,29.26754,1140.535
2015-01-13 01:24:06.997,0,201.9967
2015-01-13 01:24:22.824,0,36.27953
2015-01-13 01:24:38.689,68.07572,3929.18
2015-01-13 01:24:54.394,151.0562,857.8954
2015-01-13 01:25:10.198,1047.61,5918.881
2015-01-13 01:25:27.085,0,134.132
2015-01-13 01:25:42.817,0,37.68013
2015-01-13 01:25:59.257,2.33571,1939.077
2015-01-13 01:26:14.988,0,2879.759
2015-01-13 01:26:31.042,0,610.2468
2015-01-13 01:26:46.843,0.07594227,114.9386
2015-01-13 01:27:02.623,0,246.2794
2015-01-13 01:27:18.731,0,0
2015-01-13 01:27:34.481,0,0
2015-01-13 01:27:54.312,0,472.2241
2015-01-13 01:28:12.181,0,188.6781
2015-01-13 01:28:28.249,0,1225.493
2015-01-13 01:28:43.975,0,8.202722
2015-01-13 01:28:59.629,11.49893,106.0584
2015-01-13 01:29:15.405,0,0
2015-01-13 01:29:32.072,14.04006,2297.314
2015-01-13 01:29:47.817,298.2645,5217.095
2015-01-13 01:30:03.619,57.1448,428.6809
2015-01-13 01:30:19.411,127.2006,3257.37
2015-01-13 01:30:35.268,57.40154,52.48249
2015-01-13 01:30:51.332,48.70556,2298.947
2015-01-13 01:31:06.995,0,1708.518
2015-01-13 01:31:22.789,0,1002.15
2015-01-13 01:31:38.733,0,610.8959
2015-01-13 01:31:54.381,9.394463,968.3199
2015-01-13 01:32:10.019,33.53417,1016.231
2015-01-13 01:32:26.325,0,311.6991
2015-01-13 01:32:42.082,0,2032.045
2015-01-13 01:32:57.793,0,1175.514
2015-01-13 01:33:19.201,0,1056.288
2015-01-13 01:33:35.257,0,27.01747
2015-01-13 01:33:51.027,0,0
2015-01-13 01:34:06.957,0,27.57059
