date,Boston,New Orleans
2015-01-13 01:00:20.638,41.32231,60.24096
2015-01-13 01:00:36.386,40.27444,59.7697
2015-01-13 01:00:52.451,40.27444,59.01109
2015-01-13 01:01:08.339,40,60.03503
2015-01-13 01:01:24.005,40,61.35216
2015-01-13 01:01:39.856,40,62.1118
2015-01-13 01:01:55.640,40,63.29114
2015-01-13 01:02:11.398,35.97122,64.10256
2015-01-13 01:02:27.191,35.21127,64.93506
2015-01-13 01:02:44.646,33.89831,66.40313
2015-01-13 01:03:00.408,33.89831,67.01342
2015-01-13 01:03:16.185,33.89831,67.01342
2015-01-13 01:03:32.003,33.89831,66.66667
2015-01-13 01:03:48.040,33.89831,66.66667
2015-01-13 01:04:04.332,33.89831,66.66667
2015-01-13 01:04:20.575,33.89831,65.91849
2015-01-13 01:04:36.280,34.01361,65.78947
2015-01-13 01:04:52.002,34.01361,66.22517
2015-01-13 01:05:07.992,33.78378,66.45363
2015-01-13 01:05:23.772,33.78378,67.30862
2015-01-13 01:05:39.420,32.78689,67.11409
2015-01-13 01:05:55.257,32.78689,67.11409
2015-01-13 01:06:11.038,33.33333,66.77982
2015-01-13 01:06:26.784,31.74603,68.11841
2015-01-13 01:06:42.588,31.74603,69.99408
2015-01-13 01:06:58.451,31.74603,69.99408
2015-01-13 01:07:14.214,31.74603,72.46377
2015-01-13 01:07:35.541,27.77778,72.46377
2015-01-13 01:07:51.263,27.77778,72.63047
2015-01-13 01:08:07.163,26.66667,72.46377
2015-01-13 01:08:22.772,26.66667,71.42857
2015-01-13 01:08:38.407,26.66667,72.46377
2015-01-13 01:08:54.540,28.57143,71.88902
2015-01-13 01:09:12.268,28.57143,72.61816
2015-01-13 01:09:27.991,28.57143,73.07607
2015-01-13 01:09:43.830,28.57143,73.07607
2015-01-13 01:09:59.614,28.57143,76.85188
2015-01-13 01:10:15.623,28.57143,74.07406
2015-01-13 01:10:31.386,28.57143,73.49875
2015-01-13 01:10:47.213,28.57143,71.11938
2015-01-13 01:11:03.014,28.57143,67.56757
2015-01-13 01:11:18.788,32.25806,67.59886
2015-01-13 01:11:34.582,31.74603,68.38487
2015-01-13 01:11:50.205,31.35552,66.12601
2015-01-13 01:12:05.983,31.35552,65.78876
2015-01-13 01:12:21.804,31.35552,65.00654
2015-01-13 01:12:37.598,34.40978,63.8262
2015-01-13 01:12:53.457,34.72222,65.72393
2015-01-13 01:13:09.202,34.72222,65.78947
2015-01-13 01:13:25.129,34.72222,65.78947
2015-01-13 01:13:41.353,34.72222,65.78947
2015-01-13 01:13:57.043,34.49006,65.35948
2015-01-13 01:14:12.773,34.49006,65.36844
2015-01-13 01:14:28.408,34.49006,65.36844
