date,C Palace,Stoke,The Draw
2014-12-13 15:23:34.874,35.71429,31.25,33.55705
2014-12-13 15:23:56.118,35.49409,30.87185,33.55705
2014-12-13 15:24:17.053,35.46099,30.87185,33.55705
2014-12-13 15:24:38.165,35.46099,30.76923,33.78378
2014-12-13 15:24:58.912,35.46099,30.76923,33.78378
2014-12-13 15:25:19.620,34.96503,31.25,33.78378
2014-12-13 15:25:40.422,35.21127,31.09071,34.01361
2014-12-13 15:26:02.318,35.21127,31.1011,34.01361
2014-12-13 15:26:23.238,35.46099,31.2225,33.78378
2014-12-13 15:26:43.954,35.46099,31.2225,33.78378
2014-12-13 15:27:04.623,34.96503,30.46105,34.38842
2014-12-13 15:27:25.354,34.96503,31.20809,34.48276
2014-12-13 15:27:45.912,34.96503,31.20809,34.48276
2014-12-13 15:28:06.587,34.96503,29.85075,34.48276
2014-12-13 15:28:27.116,34.96503,29.85075,34.48276
2014-12-13 15:28:47.711,34.96503,31.23722,34.72222
2014-12-13 15:29:08.411,34.96503,30.30303,34.72222
2014-12-13 15:29:43.825,34.01361,30.76923,35.46261
2014-12-13 15:30:05.795,34.01361,30.03262,35.46261
2014-12-13 15:30:26.982,34.01361,30.03262,35.21127
2014-12-13 15:30:47.546,34.01361,30.03262,35.21127
2014-12-13 15:31:08.314,34.01361,30.76923,35.21127
2014-12-13 15:31:29.151,34.01361,30.76923,35.21127
2014-12-13 15:31:49.775,34.36959,30.76923,35.21127
2014-12-13 15:32:10.382,34.36959,30.76923,35.71429
2014-12-13 15:32:31.134,34.6563,29.85075,35.71429
2014-12-13 15:32:51.952,34.6563,29.85075,35.71429
2014-12-13 15:33:12.730,34.48276,29.85075,35.71429
2014-12-13 15:33:33.373,34.48276,29.85075,35.71429
2014-12-13 15:33:55.240,34.01361,30.2832,35.96807
2014-12-13 15:34:15.932,34.01361,30.2832,35.97122
2014-12-13 15:34:36.508,33.33333,29.74656,35.97122
2014-12-13 15:34:57.359,34.24658,28.99196,35.97122
2014-12-13 15:35:18.686,34.24658,28.99196,35.97122
2014-12-13 15:35:39.367,34.01361,29.41176,35.97122
2014-12-13 15:36:00.354,33.78378,29.41176,35.97122
2014-12-13 15:36:20.993,33.78378,29.41176,36.76471
2014-12-13 15:36:41.633,34.01361,29.41176,36.76471
2014-12-13 15:37:02.993,33.64867,29.41176,36.76471
2014-12-13 15:37:23.565,33.64867,29.41176,36.76471
2014-12-13 15:37:44.153,33.77221,29.41176,37.17683
2014-12-13 15:38:05.097,33.58035,29.04619,37.03704
2014-12-13 15:38:25.846,33.33822,28.87017,37.03704
2014-12-13 15:38:46.546,33.33333,29.41176,37.31343
2014-12-13 15:39:07.686,33.33333,29.36985,38.16794
2014-12-13 15:39:28.825,33.54549,28.57143,38.41463
2014-12-13 15:39:58.745,33.34647,28.57143,38.37814
2014-12-13 15:40:19.395,33.34647,27.77778,39.0625
2014-12-13 15:40:39.966,33.38483,28.57143,38.16794
2014-12-13 15:41:00.840,33.39246,28.57143,38.16794
2014-12-13 15:41:21.542,33.33603,27.77778,39.0625
2014-12-13 15:41:42.170,33.33333,27.77778,38.16794
2014-12-13 15:42:03.322,33.33333,27.77778,38.16794
2014-12-13 15:42:23.994,33.33333,28.06204,39.0625
2014-12-13 15:42:44.934,33.33333,27.39726,39.0625
2014-12-13 15:43:05.525,33.33333,27.39726,39.0625
2014-12-13 15:43:26.132,33.55705,27.39726,40
2014-12-13 15:43:46.950,33.55705,27.39726,40
2014-12-13 15:44:07.516,33.3359,27.39726,39.37008
2014-12-13 15:44:28.193,33.41737,27.39726,39.68254
2014-12-13 15:44:48.902,33.55418,27.39726,40
2014-12-13 15:45:09.763,33.33333,27.39726,39.5939
2014-12-13 15:45:30.438,33.33333,27.02703,39.68254
2014-12-13 15:45:51.250,33.33333,27.02703,39.68254
2014-12-13 15:46:13.346,32.79292,26.66667,40.32258
2014-12-13 15:46:34.087,32.79447,26.66667,40
2014-12-13 15:46:54.741,32.78689,26.66667,40
2014-12-13 15:47:15.930,33.04143,26.13851,40.32258
2014-12-13 15:47:36.609,32.78689,26.31579,40.32258
2014-12-13 15:47:57.469,32.98767,26.66667,40.32258
2014-12-13 15:48:18.491,32.98767,26.66667,41.13541
2014-12-13 15:48:39.196,32.25806,26.95399,41.32231
2014-12-13 15:49:01.476,32.341,26.95399,41.12574
2014-12-13 15:49:22.588,32.78689,26.31579,41.12574
2014-12-13 15:49:50.086,32.78689,26.01155,41.32231
2014-12-13 15:50:12.347,32.62118,26.31579,40.98361
2014-12-13 15:50:32.941,33.33333,26.6592,40.8186
2014-12-13 15:50:53.745,33.33333,26.31579,41.31773
2014-12-13 15:51:14.559,32.78689,26.31579,41.32231
2014-12-13 15:51:35.205,32.78689,25.97403,40.98361
2014-12-13 15:51:55.751,32.78689,25.97403,41.32231
2014-12-13 15:52:16.574,32.27021,26.16935,40.78682
2014-12-13 15:52:37.159,32.46377,25.97403,40.90172
2014-12-13 15:52:57.827,32.78689,26.31579,40.90172
2014-12-13 15:53:18.614,32.78689,26.02897,40.70479
2014-12-13 15:53:39.271,32.78689,26.31579,40.96953
2014-12-13 15:54:00.175,32.75,26.31579,40.98361
2014-12-13 15:54:21.589,32.63354,26.17305,40.98361
2014-12-13 15:54:42.181,32.43441,25.7138,41.1197
2014-12-13 15:55:02.784,32.78689,26.31579,40.98361
2014-12-13 15:55:24.266,32.78689,25.86651,40.98361
2014-12-13 15:55:45.083,32.78689,26.31579,41.20763
2014-12-13 15:56:06.409,32.30616,26.31579,40.98361
2014-12-13 15:56:26.953,32.4118,25.97403,40.98361
2014-12-13 15:56:47.683,32.25806,26.31579,40.98361
2014-12-13 15:57:08.373,32.78689,26.31579,40.98361
2014-12-13 15:57:28.920,32.78689,26.07717,40.98361
2014-12-13 15:57:49.494,32.78689,26.31579,40.67404
2014-12-13 15:58:10.163,32.78689,26.31579,40.65041
2014-12-13 15:58:30.748,32.78689,26.09207,40.98361
2014-12-13 15:58:51.335,32.78689,26.09207,40.98361
2014-12-13 15:59:11.946,32.74601,26.49121,40.65041
2014-12-13 15:59:32.782,32.78689,26.01303,40.65041
2014-12-13 15:59:54.039,32.78689,25.97403,40.96282
2014-12-13 16:00:22.398,32.25806,26.07705,41.2809
2014-12-13 16:00:43.354,32.25806,25.97403,41.32231
2014-12-13 16:01:03.907,32.78689,26.31579,41.32231
2014-12-13 16:01:24.521,32.78689,26.78052,41.32231
2014-12-13 16:01:45.134,32.30933,26.55785,40.98361
2014-12-13 16:02:06.222,32.52117,27.01991,41.00732
2014-12-13 16:02:27.126,32.40714,27.01991,41.00732
2014-12-13 16:02:47.810,32.78689,27.01991,41.32231
2014-12-13 16:03:08.475,32.78689,27.01991,41.32231
2014-12-13 16:03:29.519,32.25806,26.31579,40.98361
2014-12-13 16:03:50.331,32.78689,26.31579,40.98361
2014-12-13 16:04:11.154,32.78689,25.97403,41.5739
2014-12-13 16:04:32.735,33.33333,25.64103,41.32231
2014-12-13 16:04:53.451,33.33333,25.97403,41.36083
2014-12-13 16:05:14.191,33.33333,25.97403,41.32231
2014-12-13 16:05:35.918,33.33333,25.97403,41.66667
2014-12-13 16:05:56.589,33.33333,25.64103,41.42573
2014-12-13 16:06:17.265,32.78689,25.64103,42.00549
2014-12-13 16:06:38.193,32.78689,25,42.33738
2014-12-13 16:06:58.715,32.66558,25,42.33738
2014-12-13 16:07:19.446,32.55186,25,42.33738
2014-12-13 16:07:40.212,32.71071,25,42.73504
2014-12-13 16:08:00.948,32.25806,25,42.73504
2014-12-13 16:08:21.655,31.92942,25,43.47826
2014-12-13 16:08:42.476,31.74603,23.85039,43.16422
2014-12-13 16:09:03.510,31.74603,24.4822,44.14106
2014-12-13 16:09:24.750,31.74603,24.9485,44.64286
2014-12-13 16:09:45.664,31.74603,24.39024,44.87459
2014-12-13 16:10:09.185,30.76923,24.21475,44.87459
2014-12-13 16:10:29.811,30.76923,23.80952,44.87459
2014-12-13 16:10:50.452,30.07718,23.97319,46.2963
2014-12-13 16:11:11.307,30.09241,23.80952,46.2963
2014-12-13 16:11:32.137,30.09241,23.80952,46.2963
2014-12-13 16:11:53.333,30.09241,24.2245,47.16981
2014-12-13 16:12:14.019,29.85075,23.82597,46.2963
2014-12-13 16:12:34.924,28.57143,24.14158,46.87964
2014-12-13 16:12:55.877,28.57143,24.14158,46.72897
2014-12-13 16:13:16.546,29.85075,23.99136,46.72897
2014-12-13 16:13:37.145,29.65337,24.27184,46.72897
2014-12-13 16:13:57.764,29.19392,23.80952,46.78898
2014-12-13 16:14:18.412,29.85075,23.37776,47.61905
2014-12-13 16:14:39.204,29.81879,22.72727,47.61905
2014-12-13 16:14:59.787,29.47255,22.72727,47.61905
2014-12-13 16:15:20.386,29.18472,22.72727,48.54369
2014-12-13 16:15:41.356,29.18472,22.72727,48.22152
2014-12-13 16:16:01.963,28.88087,22.72727,48.54369
2014-12-13 16:16:22.570,28.57164,22.72727,48.94297
2014-12-13 16:16:43.507,28.98551,22.72727,48.94297
2014-12-13 16:17:04.415,28.84892,22.72727,48.94297
2014-12-13 16:17:24.986,28.57143,22.72727,49.01961
2014-12-13 16:17:46.165,27.77482,22.35632,49.22697
2014-12-13 16:18:07.206,28.2141,22.67075,49.01961
2014-12-13 16:18:27.784,28.16901,22.62539,49.01961
2014-12-13 16:18:48.532,27.39726,22.62539,50.50505
2014-12-13 16:19:09.425,27.96528,21.2766,50.76142
