DENI,School_name,age,School_type,Management_type,year,Address,Postcode,Town,Protestant,Catholic,Other,Protestant_number,Catholic_number,Other_number,Total,Percentage_Protestant,Percentage_Catholic,Percentage_Other
5032713,Derrychrin Primary School,Primary,Primary,RC Maintained,1998,,,Cookstown,<5,>=5,<5,4,151,4,159.0,2.51572327044,94.9685534591,2.51572327044
5032714,Aughamullan Primary School,Primary,Primary,RC Maintained,1998,,,Dungannon,<5,>=5,<5,4,57,4,65.0,6.15384615385,87.6923076923,6.15384615385
5032715,St John's Primary School,Primary,Primary,RC Maintained,1998,,,Dungannon,<5,>=5,<5,4,164,4,172.0,2.32558139535,95.3488372093,2.32558139535
5032717,St Patrick's Primary School,Primary,Primary,RC Maintained,1998,,,Cookstown,<5,>=5,<5,4,262,4,270.0,1.48148148148,97.037037037,1.48148148148
5032727,St Brigid's Primary School,Primary,Primary,RC Maintained,1998,,,Dungannon,<5,>=5,<5,4,75,4,83.0,4.81927710843,90.3614457831,4.81927710843
5032729,St John's Primary School,Primary,Primary,RC Maintained,1998,,,Dungannon,<5,>=5,<5,4,146,4,154.0,2.5974025974,94.8051948052,2.5974025974
5032734,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Dungannon,<5,>=5,<5,4,169,4,177.0,2.25988700565,95.4802259887,2.25988700565
5032735,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Dungannon,<5,>=5,<5,4,97,4,105.0,3.80952380952,92.380952381,3.80952380952
5032736,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Dungannon,<5,>=5,<5,4,58,4,66.0,6.06060606061,87.8787878788,6.06060606061
5033003,St Paul's Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,<5,>=5,<5,4,64,4,72.0,5.55555555556,88.8888888889,5.55555555556
5033004,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Banbridge,<5,>=5,<5,4,84,4,92.0,4.34782608696,91.3043478261,4.34782608696
5033006,St Michael's Primary School,Primary,Primary,RC Maintained,1998,,,Banbridge,<5,>=5,0,4,71,0,75.0,5.33333333333,94.6666666667,0.0
5033011,Dechomet Primary School,Primary,Primary,RC Maintained,1998,,,Banbridge,<5,>=5,0,4,77,0,81.0,4.93827160494,95.0617283951,0.0
5033025,St Patrick's Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,0,>=5,<5,0,271,4,275.0,0.0,98.5454545455,1.45454545455
5033035,St Colman's Primary School,Primary,Primary,RC Maintained,1998,,,Banbridge,<5,>=5,<5,4,33,4,41.0,9.75609756098,80.487804878,9.75609756098
5033324,St Patrick's Primary School,Primary,Primary,RC Maintained,1998,,,Craigavon,0,>=5,<5,0,138,4,142.0,0.0,97.1830985915,2.81690140845
5036000,St Colman's Primary School,Primary,Primary,RC Maintained,1998,,,Banbridge,<5,>=5,<5,4,83,4,91.0,4.3956043956,91.2087912088,4.3956043956
5036001,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,<5,>=5,<5,4,91,4,99.0,4.0404040404,91.9191919192,4.0404040404
5036006,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Craigavon,0,>=5,<5,0,121,4,125.0,0.0,96.8,3.2
5036009,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Craigavon,<5,>=5,<5,4,70,4,78.0,5.12820512821,89.7435897436,5.12820512821
5036021,All Saints Primary School,Primary,Primary,RC Maintained,1998,,,Banbridge,<5,>=5,<5,4,17,4,25.0,16.0,68.0,16.0
5036025,St Peter's Boys Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,<5,>=5,<5,4,252,4,260.0,1.53846153846,96.9230769231,1.53846153846
5036031,Loup Primary School,Primary,Primary,RC Maintained,1998,,,Cookstown,<5,>=5,<5,4,142,4,150.0,2.66666666667,94.6666666667,2.66666666667
5036033,St Joseph's Primary School,Primary,Primary,RC Maintained,1998,,,Dungannon,<5,>=5,<5,4,149,4,157.0,2.54777070064,94.9044585987,2.54777070064
5036043,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Banbridge,<5,>=5,<5,4,510,4,518.0,0.772200772201,98.4555984556,0.772200772201
5036047,St Patrick's Primary School,Primary,Primary,RC Maintained,1998,,,Dungannon,<5,>=5,<5,4,246,4,254.0,1.57480314961,96.8503937008,1.57480314961
5036057,St Malachy's Primary School,Primary,Primary,RC Maintained,1998,,,Cookstown,<5,>=5,<5,4,59,4,67.0,5.97014925373,88.0597014925,5.97014925373
5036061,St Colman's Primary School,Primary,Primary,RC Maintained,1998,,,Banbridge,<5,>=5,<5,4,104,4,112.0,3.57142857143,92.8571428571,3.57142857143
5036064,St Malachy's Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,<5,>=5,<5,4,253,4,261.0,1.53256704981,96.9348659004,1.53256704981
5036087,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,<5,>=5,<5,4,204,4,212.0,1.88679245283,96.2264150943,1.88679245283
5036099,St Patrick's Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,<5,>=5,<5,4,204,4,212.0,1.88679245283,96.2264150943,1.88679245283
5036101,St Brendan's Primary School,Primary,Primary,RC Maintained,1998,,,Craigavon,<5,414,>=5,4,414,20,438.0,0.913242009132,94.5205479452,4.56621004566
5036108,St Joseph's Primary School,Primary,Primary,RC Maintained,1998,,,Cookstown,<5,>=5,<5,4,106,4,114.0,3.50877192982,92.9824561404,3.50877192982
5036110,St Joseph's Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,<5,>=5,<5,4,385,4,393.0,1.01781170483,97.9643765903,1.01781170483
5036114,St Peter's Boys' Primary Sch,Primary,Primary,RC Maintained,1998,,,Craigavon,<5,>=5,<5,4,205,4,213.0,1.8779342723,96.2441314554,1.8779342723
5036115,Sacred Heart Girls Primary Sch,Primary,Primary,RC Maintained,1998,,,Craigavon,0,>=5,<5,0,202,4,206.0,0.0,98.0582524272,1.94174757282
5036118,St Mary's Boys' Primary School,Primary,Primary,RC Maintained,1998,,,Cookstown,<5,>=5,<5,4,237,4,245.0,1.63265306122,96.7346938776,1.63265306122
5036120,St Patrick's Primary School,Primary,Primary,RC Maintained,1998,,,Cookstown,<5,>=5,<5,4,118,4,126.0,3.1746031746,93.6507936508,3.1746031746
5036121,St Jarlath's Primary School,Primary,Primary,RC Maintained,1998,,,Armagh,0,>=5,<5,0,130,4,134.0,0.0,97.0149253731,2.98507462687
5036122,Jonesborough Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,<5,>=5,<5,4,131,4,139.0,2.87769784173,94.2446043165,2.87769784173
5036130,St Lawrence's Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,<5,>=5,<5,4,29,4,37.0,10.8108108108,78.3783783784,10.8108108108
5036135,St Joseph's Junior Primary Sch,Primary,Primary,RC Maintained,1998,,,Craigavon,<5,>=5,<5,4,350,4,358.0,1.11731843575,97.7653631285,1.11731843575
5036136,Rock Primary School,Primary,Primary,RC Maintained,1998,,,Cookstown,<5,>=5,<5,4,127,4,135.0,2.96296296296,94.0740740741,2.96296296296
5036173,St John The Baptist Primary,Primary,Primary,RC Maintained,1998,,,Craigavon,<5,>=5,<5,4,363,4,371.0,1.0781671159,97.8436657682,1.0781671159
5036180,St Oliver Plunkett Primary Sch,Primary,Primary,RC Maintained,1998,,,Armagh,<5,>=5,<5,4,94,4,102.0,3.92156862745,92.1568627451,3.92156862745
5036363,St Marys Primary School,Primary,Primary,RC Maintained,1998,,,Dungannon,<5,>=5,<5,4,45,4,53.0,7.54716981132,84.9056603774,7.54716981132
5036400,St Colmans Primary School,Primary,Primary,RC Maintained,1998,,,Banbridge,<5,>=5,0,4,114,0,118.0,3.38983050847,96.6101694915,0.0
5036409,St Ronan's Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,<5,>=5,<5,4,345,4,353.0,1.13314447592,97.7337110482,1.13314447592
5036433,St Malachy's Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,<5,>=5,<5,4,443,4,451.0,0.886917960089,98.2261640798,0.886917960089
5036457,St Francis' Prim,Primary,Primary,RC Maintained,1998,,,Banbridge,<5,>=5,<5,4,112,4,120.0,3.33333333333,93.3333333333,3.33333333333
5036463,St Joseph's Primary School,Primary,Primary,RC Maintained,1998,,,Dungannon,<5,>=5,<5,4,48,4,56.0,7.14285714286,85.7142857143,7.14285714286
5036504,St Patrick's Primary School,Primary,Primary,RC Maintained,1998,,,Dungannon,0,>=5,<5,0,625,4,629.0,0.0,99.3640699523,0.635930047695
5036545,St Colman's Primary,Primary,Primary,RC Maintained,1998,,,Newry Mourne,0,>=5,<5,0,328,4,332.0,0.0,98.7951807229,1.20481927711
5036567,Holy Trinity Primary School,Primary,Primary,RC Maintained,1998,,,Cookstown,0,>=5,<5,0,673,4,677.0,0.0,99.4091580502,0.590841949778
5036572,St Colmans-saval Primary School,Primary,Primary,RC Maintained,1998,,,Newry Mourne,<5,>=5,<5,4,121,4,129.0,3.1007751938,93.7984496124,3.1007751938
5036586,Presentation Primary School,Primary,Primary,RC Maintained,1998,,,Craigavon,<5,>=5,0,4,125,0,129.0,3.1007751938,96.8992248062,0.0
5036590,Primate Dixon Primary,Primary,Primary,RC Maintained,1998,,,Dungannon,<5,>=5,<5,4,571,4,579.0,0.690846286701,98.6183074266,0.690846286701
5036595,St Peter's Primary,Primary,Primary,RC Maintained,1998,,,Armagh,<5,>=5,<5,4,32,4,40.0,10.0,80.0,10.0
5036598,Our Lady's Primary School,Primary,Primary,RC Maintained,1998,,,Armagh,<5,>=5,<5,4,124,4,132.0,3.0303030303,93.9393939394,3.0303030303
5046137,Seagoe Primary School,Primary,Primary,Other Maintained,1998,,,Craigavon,>=5,0,<5,240,0,4,244.0,98.3606557377,0.0,1.6393442623
5046241,Drelincourt Infants Primary,Primary,Primary,Other Maintained,1998,,,Armagh,>=5,<5,<5,27,4,4,35.0,77.1428571429,11.4285714286,11.4285714286
5046597,Bunscoil An Iuir,Primary,Primary,Other Maintained,1998,,,Newry Mourne,0,0,55,0,0,55,55.0,0.0,0.0,100.0
5066540,Bridge Integrated Primary School,Primary,Primary,GM Integrated,1998,,,Banbridge,151,165,21,151,165,21,337.0,44.8071216617,48.9614243323,6.23145400593
5066553,Portadown Integrated Primary School,Primary,Primary,GM Integrated,1998,,,Craigavon,57,94,36,57,94,36,187.0,30.4812834225,50.2673796791,19.2513368984
5066554,Windmill Integrated Primary School,Primary,Primary,GM Integrated,1998,,,Dungannon,66,73,14,66,73,14,153.0,43.137254902,47.7124183007,9.15032679739
5066578,Saints And Scholars Integrated Pri,Primary,Primary,GM Integrated,1998,,,Armagh,73,94,6,73,94,6,173.0,42.1965317919,54.3352601156,3.46820809249
5410057,Lurgan College,Primary,Preparatory,Controlled,1998,,,Craigavon,21,>=5,<5,21,6,4,31.0,67.7419354839,19.3548387097,12.9032258065
5410067,Portadown College,Primary,Preparatory,Controlled,1998,,,Craigavon,35,<5,>=5,35,2,5,42.0,83.3333333333,4.7619047619,11.9047619048
5420260,The Royal School Dungannon,Primary,Preparatory,Voluntary,1998,,,Dungannon,>=5,0,<5,23,0,4,27.0,85.1851851852,0.0,14.8148148148
5420263,The Royal School Armagh,Primary,Preparatory,Voluntary,1998,,,Armagh,0,0,52,0,0,52,52.0,0.0,0.0,100.0
1210014,Ashfield Girls' High School,Post primary,Secondary,Controlled,2012,HOLYWOOD ROAD,BT42LY,Belfast,490,6,207,490,6,207,703.0,69.7012802276,0.853485064011,29.4452347084
1210015,Ashfield Boys' High School,Post primary,Secondary,Controlled,2012,HOLYWOOD ROAD,BT42LY,Belfast,528,7,114,528,7,114,649.0,81.3559322034,1.07858243451,17.5654853621
1210021,Belfast Model School For Girls,Post primary,Secondary,Controlled,2012,DUNKELD GARDENS,BT146NT,Belfast,868,6,25,868,6,25,899.0,96.5517241379,0.667408231368,2.7808676307
1210022,Belfast Boys' Model School,Post primary,Secondary,Controlled,2012,BALLYSILLAN ROAD,BT146RB,Belfast,773,<5,>=5,773,4,136,913.0,84.6659364732,0.438116100767,14.8959474261
1210266,Orangefield High School,Post primary,Secondary,Controlled,2012,CAMERONIAN DRIVE,BT56AW,Belfast,199,16,49,199,16,49,264.0,75.3787878788,6.06060606061,18.5606060606
1230026,St Patrick's College,Post primary,Secondary,RC Maintained,2012,619-629 ANTRIM ROAD,BT154DZ,Belfast,<5,>=5,<5,4,756,4,764.0,0.523560209424,98.9528795812,0.523560209424
1230053,St Louise's Comprehensive College,Post primary,Secondary,RC Maintained,2012,468 FALLS ROAD,BT126EN,Belfast,<5,1517,>=5,4,1517,9,1530.0,0.261437908497,99.1503267974,0.588235294118
1230089,Little Flower Girls' School,Post primary,Secondary,RC Maintained,2012,71A SOMERTON ROAD,BT154DE,Belfast,<5,>=5,<5,4,682,4,690.0,0.579710144928,98.8405797101,0.579710144928
1230104,Our Lady Of Mercy Girls' School,Post primary,Secondary,RC Maintained,2012,BALLYSILLAN ROAD,BT147QR,Belfast,<5,>=5,<5,4,376,4,384.0,1.04166666667,97.9166666667,1.04166666667
1230130,St Rose's High School,Post primary,Secondary,RC Maintained,2012,BEECHMOUNT AVENUE,BT127NA,Belfast,<5,398,>=5,3,398,5,406.0,0.738916256158,98.0295566502,1.2315270936
1230146,Christian Brothers School,Post primary,Secondary,RC Maintained,2012,GLEN ROAD,BT118BW,Belfast,0,523,5,0,523,5,528.0,0.0,99.053030303,0.94696969697
1230155,St Genevieve's High School,Post primary,Secondary,RC Maintained,2012,TRENCH HOUSE,BT119JP,Belfast,0,>=5,<5,0,1039,4,1043.0,0.0,99.6164908917,0.383509108341
1230173,St Gemma's High School,Post primary,Secondary,RC Maintained,2012,51 -59 ARDILEA STREET,BT147DG,Belfast,<5,>=5,<5,4,152,4,160.0,2.5,95.0,2.5
1230182,De La Salle College,Post primary,Secondary,RC Maintained,2012,EDENMORE DRIVE,BT118LT,Belfast,<5,1083,<5,3,1083,2,1088.0,0.275735294118,99.5404411765,0.183823529412
1230262,Corpus Christi College,Post primary,Secondary,RC Maintained,2012,ARD NA VA ROAD,BT126FF,Belfast,0,>=5,<5,0,472,4,476.0,0.0,99.1596638655,0.840336134454
1230275,St Joseph's College,Post primary,Secondary,RC Maintained,2012,518-572 RAVENHILL ROAD,BT60BY,Belfast,<5,507,>=5,4,507,39,550.0,0.727272727273,92.1818181818,7.09090909091
1240291,Colaiste Feirste,Post primary,Secondary,Other Maintained,2012,7 BEECHVIEW PARK,BT127PY,Belfast,0,510,40,0,510,40,550.0,0.0,92.7272727273,7.27272727273
1260269,Hazelwood College,Post primary,Secondary,GM Integrated,2012,70 WHITEWELL ROAD,BT367ES,Newtownabbey,425,273,166,425,273,166,864.0,49.1898148148,31.5972222222,19.212962963
1260294,Malone Integrated College,Post primary,Secondary,GM Integrated,2012,45 FINAGHY ROAD,BT100JB,Belfast,304,298,108,304,298,108,710.0,42.8169014085,41.9718309859,15.2112676056
1410079,Grosvenor Grammar School,Post primary,Grammar,Controlled,2012,CAMERONIAN DRIVE,BT56AX,Belfast,827,14,249,827,14,249,1090.0,75.871559633,1.28440366972,22.8440366972
1410270,Wellington College,Post primary,Grammar,Controlled,2012,18 CAROLAN ROAD,BT73HE,Belfast,554,36,193,554,36,193,783.0,70.7535121328,4.59770114943,24.6487867178
1420018,Bloomfield Collegiate,Post primary,Grammar,Voluntary,2012,ASTORIA GARDENS,BT56HW,Belfast,560,37,122,560,37,122,719.0,77.8859527121,5.14603616134,16.9680111266
1620020,Campbell College,Post primary,Grammar,Voluntary,2012,BELMONT ROAD,BT42ND,Belfast,611,66,219,611,66,219,896.0,68.1919642857,7.36607142857,24.4419642857
1420021,St Mary's Christian Brothers' Grammar School,Post primary,Grammar,Voluntary,2012,147A GLEN ROAD,BT118NR,Belfast,0,>=5,<5,0,1192,4,1196.0,0.0,99.6655518395,0.334448160535
1420022,Methodist College,Post primary,Grammar,Voluntary,2012,1 MALONE ROAD,BT96BY,Belfast,840,376,567,840,376,567,1783.0,47.1116096467,21.0880538418,31.8003365115
1620027,The Royal Belfast Academical Institution,Post primary,Grammar,Voluntary,2012,COLLEGE SQUARE EAST,BT16DL,Belfast,392,60,598,392,60,598,1050.0,37.3333333333,5.71428571429,56.9523809524
1620028,Belfast Royal Academy,Post primary,Grammar,Voluntary,2012,5-17 CLIFTONVILLE ROAD,BT146JL,Belfast,800,358,263,800,358,263,1421.0,56.2983814215,25.1935256861,18.5080928923
1420029,St Dominic's High School,Post primary,Grammar,Voluntary,2012,135-137 FALLS ROAD,BT126AE,Belfast,0,>=5,<5,0,996,4,1000.0,0.0,99.6,0.4
1420030,St Malachy's College,Post primary,Grammar,Voluntary,2012,36 ANTRIM ROAD,BT152AE,Belfast,>=5,1016,<5,5,1016,3,1024.0,0.48828125,99.21875,0.29296875
1420082,Dominican College,Post primary,Grammar,Voluntary,2012,38 FORTWILLIAM PARK,BT154AQ,Belfast,6,986,15,6,986,15,1007.0,0.595829195631,97.9145978153,1.48957298908
1620089,Strathearn School,Post primary,Grammar,Voluntary,2012,188 BELMONT ROAD,BT42AU,Belfast,461,28,277,461,28,277,766.0,60.182767624,3.65535248042,36.1618798956
1420095,Rathmore Grammar School,Post primary,Grammar,Voluntary,2012,KINGSWAY,BT100LF,Belfast,0,>=5,<5,0,1269,4,1273.0,0.0,99.6857816182,0.314218381775
1620264,Victoria College,Post primary,Grammar,Voluntary,2012,CRANMORE PARK,BT96JA,Belfast,505,182,182,505,182,182,869.0,58.1127733026,20.9436133487,20.9436133487
1420265,Hunterhouse College,Post primary,Grammar,Voluntary,2012,UPPER LISBURN ROAD,BT100LE,Belfast,488,108,122,488,108,122,718.0,67.9665738162,15.0417827298,16.991643454
1420277,Aquinas Diocesan Grammar School,Post primary,Grammar,Voluntary,2012,518 RAVENHILL ROAD,BT60BY,Belfast,<5,794,>=5,4,794,20,818.0,0.488997555012,97.0660146699,2.44498777506
2210065,Castlederg High School,Post primary,Secondary,Controlled,2012,16 CASTLEGORE ROAD,BT817RU,Castlederg,457,<5,>=5,457,4,12,473.0,96.6173361522,0.845665961945,2.53699788584
2210080,Lisnaskea High School,Post primary,Secondary,Controlled,2012,"CASTLEBALFOUR,DEMESNE",BT920LT,Enniskillen,123,<5,>=5,123,4,6,133.0,92.4812030075,3.00751879699,4.51127819549
2210125,Omagh High School,Post primary,Secondary,Controlled,2012,14 CREVENAGH ROAD,BT790EQ,Omagh,406,7,17,406,7,17,430.0,94.4186046512,1.62790697674,3.95348837209
2210302,Limavady High School,Post primary,Secondary,Controlled,2012,IRISH GREEN STREET,BT499AN,Limavady,632,49,76,632,49,76,757.0,83.4874504624,6.47291941876,10.0396301189
2210305,Devenish College,Post primary,Secondary,Controlled,2012,1 ALGEO DRIVE,BT746JL,Enniskillen,499,7,32,499,7,32,538.0,92.750929368,1.30111524164,5.94795539033
2210306,Lisneal College,Post primary,Secondary,Controlled,2012,70 Crescent Link Road,BT475FQ,Londonderry,725,8,97,725,8,97,830.0,87.3493975904,0.963855421687,11.686746988
2230077,St Mary's Limavady,Post primary,Secondary,RC Maintained,2012,IRISH GREEN STREET,BT499AN,Limavady,<5,>=5,<5,4,709,4,717.0,0.557880055788,98.8842398884,0.557880055788
2230081,St Mary's College,Post primary,Secondary,RC Maintained,2012,35 Northland Road,BT489QE,Londonderry,0,>=5,<5,0,867,4,871.0,0.0,99.5407577497,0.459242250287
2230085,St Mary's High School,Post primary,Secondary,RC Maintained,2012,BROLLAGH,BT933AH,Enniskillen,<5,126,<5,4,126,3,133.0,3.00751879699,94.7368421053,2.25563909774
2230099,St Fanchea's College,Post primary,Secondary,RC Maintained,2012,Coa Road,BT744AD,Enniskillen,0,316,7,0,316,7,323.0,0.0,97.8328173375,2.16718266254
2230100,St Joseph's College,Post primary,Secondary,RC Maintained,2012,CHANTERHILL ROAD,BT746DE,Enniskillen,<5,222,>=5,4,222,5,231.0,1.7316017316,96.1038961039,2.1645021645
2230109,St Mary's College,Post primary,Secondary,RC Maintained,2012,LISNARICK ROAD,BT941EL,Enniskillen,0,>=5,<5,0,157,4,161.0,0.0,97.5155279503,2.48447204969
2230111,St Eugene's High School,Post primary,Secondary,RC Maintained,2012,1 CAVAN ROAD,BT817TP,Castlederg,<5,>=5,<5,4,119,4,127.0,3.14960629921,93.7007874016,3.14960629921
2230122,St Patricks & St Brigids High School,Post primary,Secondary,RC Maintained,2012,55 MAIN STREET,BT474HR,Londonderry,<5,>=5,<5,4,504,4,512.0,0.78125,98.4375,0.78125
2230131,St Joseph's Boys' School,Post primary,Secondary,RC Maintained,2012,WESTWAY,BT489NX,Londonderry,<5,>=5,<5,4,884,4,892.0,0.448430493274,99.1031390135,0.448430493274
2230138,Dean Maguirc College,Post primary,Secondary,RC Maintained,2012,26 TERMON ROAD,BT799JR,Omagh,<5,>=5,0,4,460,0,464.0,0.862068965517,99.1379310345,0.0
2230144,St Patrick's College,Post primary,Secondary,RC Maintained,2012,9 CURRAGH ROAD,BT474SE,Londonderry,<5,>=5,<5,4,315,4,323.0,1.23839009288,97.5232198142,1.23839009288
2230148,St John's High School,Post primary,Secondary,RC Maintained,2012,37 OMAGH ROAD,BT783AL,Omagh,0,>=5,<5,0,143,4,147.0,0.0,97.2789115646,2.72108843537
2230166,St Aidan's High School,Post primary,Secondary,RC Maintained,2012,DERRYLIN,BT929LA,Enniskillen,<5,>=5,<5,4,162,4,170.0,2.35294117647,95.2941176471,2.35294117647
2230180,St Eugene's College,Post primary,Secondary,RC Maintained,2012,ROSLEA,BT927SE,Enniskillen,0,>=5,<5,0,170,4,174.0,0.0,97.7011494253,2.29885057471
2230181,St Peter's High School,Post primary,Secondary,RC Maintained,2012,SOUTHWAY,BT489SE,Londonderry,<5,>=5,<5,4,162,4,170.0,2.35294117647,95.2941176471,2.35294117647
2230188,St Cecilia's College,Post primary,Secondary,RC Maintained,2012,Bligh's Lane,BT480AN,Londonderry,<5,>=5,0,4,863,0,867.0,0.461361014994,99.538638985,0.0
2230190,St Comhghall's College,Post primary,Secondary,RC Maintained,2012,DERRYREE,BT920LA,Enniskillen,<5,366,<5,3,366,2,371.0,0.808625336927,98.6522911051,0.539083557951
2230225,St Brigid's College,Post primary,Secondary,RC Maintained,2012,GLENGALLIAGH ROAD,BT488DU,Londonderry,<5,>=5,<5,4,639,4,647.0,0.618238021638,98.7635239567,0.618238021638
2230254,Immaculate Conception College,Post primary,Secondary,RC Maintained,2012,TRENCH ROAD,BT472DS,Londonderry,0,>=5,<5,0,198,4,202.0,0.0,98.0198019802,1.9801980198
2230298,Sacred Heart College,Post primary,Secondary,RC Maintained,2012,KEVLIN ROAD,BT781LG,Omagh,0,>=5,<5,0,917,4,921.0,0.0,99.565689468,0.43431053203
2230301,Holy Cross College,Post primary,Secondary,RC Maintained,2012,35 Melmount Road,BT829EF,Strabane,0,1504,5,0,1504,5,1509.0,0.0,99.6686547382,0.331345261763
2260276,Oakgrove Integrated College,Post primary,Secondary,GM Integrated,2012,STRADREAGH,BT476TG,Londonderry,253,566,24,253,566,24,843.0,30.0118623962,67.1411625148,2.84697508897
2260280,Erne Integrated College,Post primary,Secondary,GM Integrated,2012,DRUMCOO,BT744FY,Enniskillen,150,219,55,150,219,55,424.0,35.3773584906,51.6509433962,12.9716981132
2260283,Drumragh College,Post primary,Secondary,GM Integrated,2012,1 DONAGHANIE ROAD,BT790NS,Omagh,188,371,99,188,371,99,658.0,28.5714285714,56.3829787234,15.0455927052
2410040,Collegiate Grammar School,Post primary,Grammar,Controlled,2012,1 COOPER CRESCENT,BT746DQ,Enniskillen,425,13,56,425,13,56,494.0,86.032388664,2.63157894737,11.3360323887
2410048,Limavady Grammar School,Post primary,Grammar,Controlled,2012,3 BALLYQUIN ROAD,BT499ET,Limavady,526,312,60,526,312,60,898.0,58.574610245,34.7438752784,6.68151447661
2410066,Omagh Academy,Post primary,Grammar,Controlled,2012,21-23 DUBLIN ROAD,BT781HF,Omagh,608,12,37,608,12,37,657.0,92.5418569254,1.82648401826,5.63165905632
2410311,Strabane Academy,Post primary,Grammar,Controlled,2012,Milltown House,BT829PX,Strabane,366,269,31,366,269,31,666.0,54.954954955,40.3903903904,4.65465465465
2420041,Mount Lourdes Grammar School,Post primary,Grammar,Voluntary,2012,BELMORE STREET,BT746AB,Enniskillen,>=5,759,<5,5,759,3,767.0,0.651890482399,98.9569752282,0.391134289439
2420042,Portora Royal School,Post primary,Grammar,Voluntary,2012,DERRYGONNELLY ROAD,BT747HA,Enniskillen,372,30,85,372,30,85,487.0,76.386036961,6.16016427105,17.453798768
2420043,St Michael's College,Post primary,Grammar,Voluntary,2012,CHANTERHILL ROAD,BT746DG,Enniskillen,0,733,10,0,733,10,743.0,0.0,98.6541049798,1.34589502019
2420052,Thornhill College,Post primary,Grammar,Voluntary,2012,142 CULMORE ROAD,BT488JF,Londonderry,<5,1395,>=5,3,1395,5,1403.0,0.213827512473,99.4297933001,0.356379187455
2420054,St Columb's College,Post primary,Grammar,Voluntary,2012,BUNCRANA ROAD,BT488NH,Londonderry,<5,1512,>=5,4,1512,7,1523.0,0.262639527249,99.2777413001,0.459619172685
2420064,Christian Brothers' Grammar School,Post primary,Grammar,Voluntary,2012,KEVLIN ROAD,BT781LD,Omagh,<5,>=5,<5,4,960,4,968.0,0.413223140496,99.173553719,0.413223140496
2420065,Loreto Grammar School,Post primary,Grammar,Voluntary,2012,JAMES STREET,BT781DL,Omagh,<5,>=5,<5,4,884,4,892.0,0.448430493274,99.1031390135,0.448430493274
2420229,Foyle & Londonderry College,Post primary,Grammar,Voluntary,2012,122 NORTHLAND ROAD,BT480AW,Londonderry,592,162,108,592,162,108,862.0,68.6774941995,18.7935034803,12.5290023202
2420287,Lumen Christi College,Post primary,Grammar,Voluntary,2012,BISHOP STREET,BT486UJ,Londonderry,5,830,13,5,830,13,848.0,0.589622641509,97.8773584906,1.53301886792
3210013,Garvagh High School,Post primary,Secondary,Controlled,2012,142 MAIN STREET,BT515AE,Coleraine,>=5,<5,<5,85,4,4,93.0,91.3978494624,4.30107526882,4.30107526882
3210035,Magherafelt High School,Post primary,Secondary,Controlled,2012,30 MONEYMORE ROAD,BT456AF,Magherafelt,541,<5,>=5,541,4,49,594.0,91.0774410774,0.673400673401,8.24915824916
3210038,Larne High School,Post primary,Secondary,Controlled,2012,20 SALLAGH PARK,BT401NT,Larne,463,9,34,463,9,34,506.0,91.5019762846,1.77865612648,6.71936758893
3210091,Carrickfergus College,Post primary,Secondary,Controlled,2012,110 NORTH ROAD,BT387QX,Carrickfergus,545,5,135,545,5,135,685.0,79.5620437956,0.729927007299,19.7080291971
3210124,Ballycastle High School,Post primary,Secondary,Controlled,2012,33 RATHLIN ROAD,BT546LD,Ballycastle,306,25,28,306,25,28,359.0,85.2367688022,6.96378830084,7.79944289694
3210133,Ballymoney High School,Post primary,Secondary,Controlled,2012,17 GARRYDUFF ROAD,BT537AN,Ballymoney,528,<5,>=5,528,4,111,643.0,82.1150855365,0.622083981337,17.2628304821
3210134,Ballyclare Secondary School,Post primary,Secondary,Controlled,2012,DOAGH ROAD,BT399BG,Ballyclare,853,11,166,853,11,166,1030.0,82.8155339806,1.06796116505,16.1165048544
3210172,Cullybackey High School,Post primary,Secondary,Controlled,2012,44 POTTINGER STREET,BT421BP,Ballymena,548,0,134,548,0,134,682.0,80.3519061584,0.0,19.6480938416
3210200,Monkstown Community School,Post primary,Secondary,Controlled,2012,BRIDGE ROAD,BT370EA,Newtownabbey,527,6,119,527,6,119,652.0,80.8282208589,0.920245398773,18.2515337423
