DENI,School_name,age,School_type,Management_type,year,Address,Postcode,Town,Protestant,Catholic,Other,Protestant_number,Catholic_number,Other_number,Total,Percentage_Protestant,Percentage_Catholic,Percentage_Other
2012638,Edwards Primary School,Primary,Primary,Controlled,1998,,,Strabane,213,6,11,213,6,11,230.0,92.6086956522,2.60869565217,4.78260869565
2012641,Killen Primary School,Primary,Primary,Controlled,1998,,,Strabane,>=5,<5,<5,68,4,4,76.0,89.4736842105,5.26315789474,5.26315789474
2012648,Gillygooley Primary School,Primary,Primary,Controlled,1998,,,Omagh,>=5,<5,<5,81,4,4,89.0,91.0112359551,4.49438202247,4.49438202247
2012653,Hutton Primary School,Primary,Primary,Controlled,1998,,,Omagh,>=5,<5,<5,30,4,4,38.0,78.9473684211,10.5263157895,10.5263157895
2012660,Denamona Primary School,Primary,Primary,Controlled,1998,,,Omagh,66,<5,>=5,66,3,5,74.0,89.1891891892,4.05405405405,6.75675675676
2012669,Queen Elizabeth 2 Primary Sch,Primary,Primary,Controlled,1998,,,Omagh,>=5,<5,<5,24,4,4,32.0,75.0,12.5,12.5
2012671,Langfield Primary School,Primary,Primary,Controlled,1998,,,Omagh,>=5,<5,<5,26,4,4,34.0,76.4705882353,11.7647058824,11.7647058824
2012672,Glenagoorland Primary School,Primary,Primary,Controlled,1998,,,Strabane,>=5,<5,<5,32,4,4,40.0,80.0,10.0,10.0
2012674,Bridgehill Primary School,Primary,Primary,Controlled,1998,,,Strabane,>=5,<5,<5,75,4,4,83.0,90.3614457831,4.81927710843,4.81927710843
2012691,Omagh Primary School,Primary,Primary,Controlled,1998,,,Omagh,323,<5,>=5,323,4,30,357.0,90.4761904762,1.12044817927,8.40336134454
2012695,Sandville Primary School,Primary,Primary,Controlled,1998,,,Strabane,47,8,5,47,8,5,60.0,78.3333333333,13.3333333333,8.33333333333
2012707,Dromore Primary School,Primary,Primary,Controlled,1998,,,Omagh,>=5,<5,<5,56,4,4,64.0,87.5,6.25,6.25
2012708,Strabane Primary School,Primary,Primary,Controlled,1998,,,Strabane,115,85,16,115,85,16,216.0,53.2407407407,39.3518518519,7.40740740741
2012709,Trillick Primary School,Primary,Primary,Controlled,1998,,,Omagh,>=5,<5,<5,25,4,4,33.0,75.7575757576,12.1212121212,12.1212121212
2012710,Sixmilecross Primary School,Primary,Primary,Controlled,1998,,,Omagh,>=5,<5,<5,54,4,4,62.0,87.0967741935,6.45161290323,6.45161290323
2012711,Donemana Primary School,Primary,Primary,Controlled,1998,,,Strabane,>=5,<5,<5,63,4,4,71.0,88.7323943662,5.6338028169,5.6338028169
2016003,Jones Memorial Primary School,Primary,Primary,Controlled,1998,,,Fermanagh,224,7,21,224,7,21,252.0,88.8888888889,2.77777777778,8.33333333333
2016029,Drumachose Primary School,Primary,Primary,Controlled,1998,,,Limavady,421,>=5,<5,421,33,4,458.0,91.9213973799,7.20524017467,0.873362445415
2016068,Artigarvan Primary School,Primary,Primary,Controlled,1998,,,Strabane,142,<5,>=5,142,3,5,150.0,94.6666666667,2.0,3.33333333333
2016071,Greenhaw Primary School,Primary,Primary,Controlled,1998,,,Derry,<5,>=5,<5,4,256,4,264.0,1.51515151515,96.9696969697,1.51515151515
2016089,Gibson Primary School,Primary,Primary,Controlled,1998,,,Omagh,449,39,39,449,39,39,527.0,85.1992409867,7.40037950664,7.40037950664
2016102,Tempo Primary School,Primary,Primary,Controlled,1998,,,Fermanagh,>=5,<5,<5,110,4,4,118.0,93.2203389831,3.38983050847,3.38983050847
2016124,Ashlea Primary School,Primary,Primary,Controlled,1998,,,Derry,147,0,5,147,0,5,152.0,96.7105263158,0.0,3.28947368421
2016127,Maguiresbridge Primary School,Primary,Primary,Controlled,1998,,,Fermanagh,>=5,<5,<5,92,4,4,100.0,92.0,4.0,4.0
2016151,Irvinestown Primary School,Primary,Primary,Controlled,1998,,,Fermanagh,>=5,<5,0,143,4,0,147.0,97.2789115646,2.72108843537,0.0
2016152,Enniskillen Model Primary Sch,Primary,Primary,Controlled,1998,,,Fermanagh,356,13,59,356,13,59,428.0,83.1775700935,3.03738317757,13.785046729
2016184,Lack Primary School,Primary,Primary,Controlled,1998,,,Fermanagh,>=5,<5,0,61,4,0,65.0,93.8461538462,6.15384615385,0.0
2016203,Lisnagelvin Primary School,Primary,Primary,Controlled,1998,,,Derry,551,13,21,551,13,21,585.0,94.188034188,2.22222222222,3.58974358974
2016218,Lisbellaw Primary School,Primary,Primary,Controlled,1998,,,Fermanagh,226,0,6,226,0,6,232.0,97.4137931034,0.0,2.58620689655
2016262,Newtownstewart Model Primary,Primary,Primary,Controlled,1998,,,Strabane,>=5,0,<5,87,0,4,91.0,95.6043956044,0.0,4.3956043956
2016372,Cumber Claudy Primary,Primary,Primary,Controlled,1998,,,Derry,152,0,7,152,0,7,159.0,95.5974842767,0.0,4.40251572327
2016376,Ardstraw Primary School,Primary,Primary,Controlled,1998,,,Strabane,>=5,<5,<5,66,4,4,74.0,89.1891891892,5.40540540541,5.40540540541
2016395,Gortin Primary School,Primary,Primary,Controlled,1998,,,Omagh,>=5,<5,<5,59,4,4,67.0,88.0597014925,5.97014925373,5.97014925373
2016426,Limavady Central Primary Sch,Primary,Primary,Controlled,1998,,,Limavady,537,0,56,537,0,56,593.0,90.5564924115,0.0,9.44350758853
2016442,Sion Mills Primary School,Primary,Primary,Controlled,1998,,,Strabane,132,212,0,132,212,0,344.0,38.3720930233,61.6279069767,0.0
2016564,Fountain Prim,Primary,Primary,Controlled,1998,,,Derry,>=5,<5,0,139,4,0,143.0,97.2027972028,2.7972027972,0.0
2016592,Maydown / Strathfoyle Prim,Primary,Primary,Controlled,1998,,,Derry,>=5,<5,60,51,4,60,115.0,44.347826087,3.47826086957,52.1739130435
2030364,Rosemount Primary School,Primary,Primary,RC Maintained,1998,,,Derry,<5,>=5,<5,4,389,4,397.0,1.00755667506,97.9848866499,1.00755667506
2030373,Nazareth House Convent Primary,Primary,Primary,RC Maintained,1998,,,Derry,<5,>=5,<5,4,368,4,376.0,1.06382978723,97.8723404255,1.06382978723
2030381,Holy Child Primary School,Primary,Primary,RC Maintained,1998,,,Derry,<5,>=5,<5,4,374,4,382.0,1.04712041885,97.9057591623,1.04712041885
2031828,Mullanaskea Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,0,>=5,<5,0,150,4,154.0,0.0,97.4025974026,2.5974025974
2031863,Tattygar Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,45,4,53.0,7.54716981132,84.9056603774,7.54716981132
2031868,St Tierney's Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,121,4,129.0,3.1007751938,93.7984496124,3.1007751938
2031869,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,172,4,180.0,2.22222222222,95.5555555556,2.22222222222
2031874,St Patrick's Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,145,4,153.0,2.61437908497,94.7712418301,2.61437908497
2031876,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,92,4,100.0,4.0,92.0,4.0
2031880,St Ninnidh's Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,125,4,133.0,3.00751879699,93.984962406,3.00751879699
2031884,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,43,4,51.0,7.8431372549,84.3137254902,7.8431372549
2031886,Corranny Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,63,4,71.0,5.6338028169,88.7323943662,5.6338028169
2031887,St John The Baptist Primary,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,48,4,56.0,7.14285714286,85.7142857143,7.14285714286
2031888,St Eugene's Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,83,4,91.0,4.3956043956,91.2087912088,4.3956043956
2031890,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,88,4,96.0,4.16666666667,91.6666666667,4.16666666667
2031891,St Michael's Boys Primary Sch,Primary,Primary,RC Maintained,1998,,,Fermanagh,0,>=5,<5,0,370,4,374.0,0.0,98.9304812834,1.06951871658
2031892,Cornagague Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,45,4,53.0,7.54716981132,84.9056603774,7.54716981132
2031895,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,106,4,114.0,3.50877192982,92.9824561404,3.50877192982
2031897,Killyhommon Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,<5,>=5,<5,4,65,4,73.0,5.47945205479,89.0410958904,5.47945205479
2031898,St Paul's Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,0,286,5,0,286,5,291.0,0.0,98.2817869416,1.71821305842
2031901,St Ronan's Primary School,Primary,Primary,RC Maintained,1998,,,Fermanagh,0,>=5,<5,0,261,4,265.0,0.0,98.4905660377,1.50943396226
2032212,Glendermott Primary School,Primary,Primary,RC Maintained,1998,,,Derry,<5,>=5,<5,4,122,4,130.0,3.07692307692,93.8461538462,3.07692307692
2032263,St Canice's Primary School,Primary,Primary,RC Maintained,1998,,,Limavady,<5,>=5,<5,4,113,4,121.0,3.30578512397,93.3884297521,3.30578512397
2032265,St Anthony's Primary School,Primary,Primary,RC Maintained,1998,,,Limavady,<5,>=5,<5,4,82,4,90.0,4.44444444444,91.1111111111,4.44444444444
2032277,Craigbrack Primary School,Primary,Primary,RC Maintained,1998,,,Derry,12,97,0,12,97,0,109.0,11.0091743119,88.9908256881,0.0
2032278,Broadbridge Primary School,Primary,Primary,RC Maintained,1998,,,Derry,<5,>=5,<5,4,215,4,223.0,1.79372197309,96.4125560538,1.79372197309
2032286,St Matthew's Primary School,Primary,Primary,RC Maintained,1998,,,Limavady,<5,>=5,<5,4,79,4,87.0,4.59770114943,90.8045977011,4.59770114943
2032287,Termoncanice Primary School,Primary,Primary,RC Maintained,1998,,,Limavady,0,>=5,<5,0,693,4,697.0,0.0,99.4261119082,0.573888091822
2032294,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Derry,<5,>=5,<5,4,143,4,151.0,2.64900662252,94.701986755,2.64900662252
