date,England,France,Ireland,Italy,Scotland,Wales
2015-02-17 07:16:16.407,51.94805,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 07:21:17.192,51.94805,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 07:26:18.001,51.94805,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 07:31:18.788,51.94805,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 07:36:19.817,51.94805,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 07:41:20.650,51.94805,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 07:46:21.475,51.94805,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 07:51:22.210,51.94805,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 07:56:23.012,51.94805,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 08:01:25.136,51.94805,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 08:06:29.420,51.94805,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 08:11:32.267,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 08:16:32.992,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 08:21:33.776,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 08:26:34.594,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 08:31:35.424,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 08:36:36.214,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 08:41:36.972,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 08:46:37.784,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 08:51:38.590,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 08:56:39.440,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 09:01:40.187,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 09:06:41.444,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 09:11:43.044,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 09:16:43.991,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 09:21:45.802,52.08333,3.571429,37.17472,0,0.2222222,6.349206
2015-02-17 09:26:47.662,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 09:31:49.980,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 09:36:50.829,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 09:41:51.597,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 09:46:52.389,52.08333,3.703704,37.17472,0,0.2222222,6.349206
2015-02-17 09:51:53.639,52.08333,3.703704,37.17472,0,0.2222222,6.349206
2015-02-17 09:56:54.375,52.08333,3.703704,37.17472,0,0.2222222,6.349206
2015-02-17 10:01:55.197,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 10:06:55.980,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 10:11:56.821,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 10:16:57.707,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 10:22:02.664,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 10:26:10.679,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 10:31:12.936,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 10:36:13.801,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 10:41:17.480,52.08333,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 10:46:20.894,55.55556,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 10:51:21.543,55.40166,3.636364,37.17472,0,0.2222222,6.349206
2015-02-17 10:56:22.282,54.49591,3.571429,37.17472,0,0.2197802,5.405405
2015-02-17 11:01:23.292,54.49591,3.571429,37.17472,0,0.2173913,5.405405
2015-02-17 11:06:23.868,54.49591,3.571429,37.17472,0,0.2173913,5.405405
2015-02-17 11:11:24.503,54.49591,3.571429,37.17472,0,0.2173913,5.405405
2015-02-17 11:16:25.581,54.64481,3.571429,37.17472,0,0.2173913,5.405405
2015-02-17 11:21:26.408,54.64481,3.571429,37.17472,0,0.2173913,5.405405
2015-02-17 11:26:27.452,54.49591,3.636364,37.17472,0,0.2173913,5.555556
2015-02-17 11:31:28.376,54.49591,3.636364,37.17472,0,0.2173913,5.555556
2015-02-17 11:36:29.276,54.34783,3.636364,37.17472,0,0.2173913,5.555556
2015-02-17 11:41:29.899,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 11:46:30.504,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 11:51:31.081,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 11:56:31.760,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 12:01:32.555,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 12:06:33.369,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 12:11:34.105,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 12:16:34.775,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 12:21:35.489,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 12:26:36.164,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 12:31:36.948,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 12:36:37.753,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 12:41:38.916,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 12:46:39.517,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 12:51:40.091,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 12:56:40.761,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 13:01:41.513,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 13:06:42.119,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 13:11:42.911,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 13:16:43.545,54.34783,3.636364,37.17472,0,0.2173913,5.633803
2015-02-17 13:21:44.372,54.34783,3.636364,37.17472,0,0.2173913,5.633803
