date,Aston Villa,The Draw,Tottenham
2014-11-02 16:47:47.834,19017.83,653.186,11460.35
2014-11-02 16:48:18.787,10263.59,3747.743,19655.23
2014-11-02 16:48:49.604,3111.909,3007.298,10525.27
2014-11-02 16:49:20.267,5608.473,4601.4,26393.7
2014-11-02 16:49:50.941,4556.42,211.5903,4512.701
2014-11-02 16:50:21.911,5466.817,413.9658,5932.219
2014-11-02 16:50:52.695,1043.075,123.4726,689.3415
2014-11-02 16:51:23.581,14323.79,1074.009,879.8191
2014-11-02 16:51:54.276,13044.99,5141.393,5506.883
2014-11-02 16:52:24.824,2233.486,1718.497,3120.85
2014-11-02 16:52:55.478,2754.7,806.2925,397.969
2014-11-02 16:53:26.252,1394.001,19.49706,2110.03
2014-11-02 16:53:56.863,5977.073,111.5058,387.0655
2014-11-02 16:54:27.538,8549.413,472.1573,2451.231
2014-11-02 16:54:58.271,5264.646,149.5494,1206.293
2014-11-02 16:55:28.824,1799.191,67.75099,1428.937
2014-11-02 16:55:59.545,2352.598,231.1818,1403.946
2014-11-02 16:56:30.277,770.217,735.7183,820.7643
2014-11-02 16:57:01.460,3514.796,54.39497,628.5919
2014-11-02 16:57:32.120,2881.32,484.0001,2259.359
2014-11-02 16:58:03.828,7025.211,431.7064,2357.336
2014-11-02 16:58:34.584,1760.807,336.5744,1591.067
2014-11-02 16:59:05.917,2373.989,795.6382,1532.507
2014-11-02 16:59:36.828,703.1279,8076.46,263.2848
2014-11-02 17:00:07.609,2518.512,1977.872,5664.621
2014-11-02 17:00:43.705,1381.559,1389.073,1943.541
2014-11-02 17:01:14.482,50124.54,3846.371,734.5731
2014-11-02 17:01:45.972,40474.99,1044.583,3398.062
2014-11-02 17:02:16.693,30567.42,1141.117,4042.572
2014-11-02 17:02:47.642,13427.2,1117.736,1186.772
2014-11-02 17:03:18.743,3509.856,1437.72,1705.5
2014-11-02 17:03:49.604,15914.33,237.6005,564.8479
2014-11-02 17:04:20.554,13571.31,1434.417,2904.64
2014-11-02 17:04:51.324,11371.25,312.2867,2424.917
2014-11-02 17:05:22.102,41197.63,259.3751,6634.212
2014-11-02 17:05:53.261,33049.8,1257.4,18555.03
2014-11-02 17:06:23.940,6456.07,1677.398,5297.334
2014-11-02 17:06:54.931,13679.34,696.5056,1746.549
2014-11-02 17:07:25.615,16865.97,1411.022,5133.855
2014-11-02 17:07:56.395,34380.17,1072.822,4319.925
2014-11-02 17:08:27.014,14597.94,1831.924,5105.468
2014-11-02 17:08:57.637,26564.01,1010.116,4216.567
2014-11-02 17:09:28.245,8876.1,908.1521,3014.915
2014-11-02 17:09:59.056,15380.52,934.4953,3370.01
2014-11-02 17:10:29.739,6254.925,1216.745,7744.75
2014-11-02 17:11:00.625,7065.77,1756.982,2303.474
2014-11-02 17:11:31.249,8133.815,445.3978,2844.998
2014-11-02 17:12:01.819,28474.51,2273.806,3616.759
2014-11-02 17:12:32.509,15833.34,1613.629,18493.93
2014-11-02 17:13:03.276,28328.78,1676.939,2556.547
2014-11-02 17:13:33.895,20187.93,1757.654,2302.349
2014-11-02 17:14:04.826,35003.55,2051.987,5113.674
2014-11-02 17:14:35.642,38344.96,1303.1,6806.491
2014-11-02 17:15:06.229,51550.36,2150.99,7876.828
2014-11-02 17:15:36.865,24891.37,2111.811,2428.221
2014-11-02 17:16:07.588,9064.007,607.2903,3449.267
2014-11-02 17:16:38.342,0,148.7414,302.9845
2014-11-02 17:17:09.321,0,0,0
2014-11-02 17:17:40.430,13772.62,319.1878,6263.498
2014-11-02 17:18:11.989,27612.55,781.4757,5504.475
2014-11-02 17:18:42.958,13717.63,2720.583,2290.102
2014-11-02 17:19:13.946,29638.07,2372.992,6322.246
2014-11-02 17:19:44.840,23539.55,1852.277,4054.527
2014-11-02 17:20:15.713,25372.07,1605.745,3497.346
2014-11-02 17:20:46.801,7306.973,196.9589,1348.855
2014-11-02 17:21:22.860,0,0,0
2014-11-02 17:21:53.557,0,0,0
2014-11-02 17:22:24.218,0,0,30.76152
2014-11-02 17:22:54.853,34421.29,3257.227,2316.51
2014-11-02 17:23:25.480,29998.27,3435.028,4780.848
2014-11-02 17:23:56.459,38871.42,1088.925,5269.735
2014-11-02 17:24:27.008,28072.28,4484.613,1131.916
