date,Denver Broncos,Indianapolis Colts
2015-01-11 22:01:09.572,2082.316,34.25353
2015-01-11 22:01:25.249,7331.573,131.5422
2015-01-11 22:01:41.102,6064.489,0
2015-01-11 22:01:56.875,5366.072,387.736
2015-01-11 22:02:12.682,2982.028,18.97882
2015-01-11 22:02:58.312,13730.12,684.7307
2015-01-11 22:03:14.066,8379.294,321.1174
2015-01-11 22:03:29.977,22609.64,542.1036
2015-01-11 22:03:45.708,14901.58,218.7062
2015-01-11 22:04:01.560,38935.72,0
2015-01-11 22:04:17.605,7417.709,831.1077
2015-01-11 22:04:33.505,3510.499,0
2015-01-11 22:04:49.295,2429.835,255.5761
2015-01-11 22:05:05.107,6683.602,191.3222
2015-01-11 22:05:20.846,4670.461,197.4363
2015-01-11 22:05:36.672,1325.308,228.1575
2015-01-11 22:05:52.885,6625.22,92.51653
2015-01-11 22:06:08.976,16312.27,391.5259
2015-01-11 22:06:24.674,3867.517,431.1596
2015-01-11 22:06:41.017,5356.634,22.9076
2015-01-11 22:06:56.856,1412.446,525.7561
2015-01-11 22:07:12.624,23472.97,355.6494
2015-01-11 22:07:29.040,5685.091,28.91009
2015-01-11 22:07:44.904,2242.547,484.3332
2015-01-11 22:08:00.674,1336.534,386.5521
2015-01-11 22:08:16.630,3186.854,98.52217
2015-01-11 22:08:32.461,3772.743,216.0336
2015-01-11 22:08:48.273,3814.539,148.101
2015-01-11 22:09:04.054,2469.177,212.5736
2015-01-11 22:09:20.190,6452.994,1167.038
2015-01-11 22:09:36.098,854.7744,37.7184
2015-01-11 22:09:51.918,2446.4,363.3286
2015-01-11 22:10:12.319,13008.99,495.0687
2015-01-11 22:10:28.032,9262.024,307.0044
2015-01-11 22:10:45.439,4980.988,936.8285
2015-01-11 22:11:01.723,718.9997,0
2015-01-11 22:11:17.558,2016.775,347.9707
2015-01-11 22:11:33.296,13302.38,701.6101
2015-01-11 22:11:49.035,8331.645,1651.865
2015-01-11 22:12:05.303,6838.775,510.1152
2015-01-11 22:12:21.228,8731.762,263.7323
2015-01-11 22:12:37.104,10075.18,257.6741
2015-01-11 22:12:52.860,27981.43,1674.231
2015-01-11 22:13:09.403,13486.89,2866.597
2015-01-11 22:13:25.652,3177.123,28.95041
2015-01-11 22:13:41.484,9369.957,331.7788
2015-01-11 22:13:57.266,7659.551,402.3138
2015-01-11 22:14:13.622,619.6024,73.36914
2015-01-11 22:14:29.665,43603.66,406.4081
2015-01-11 22:14:45.446,29360.3,709.5421
2015-01-11 22:15:01.275,5420.805,255.6733
2015-01-11 22:15:17.328,605.8515,553.9374
2015-01-11 22:15:33.107,1022.708,0
2015-01-11 22:15:50.004,4604.793,90.19536
2015-01-11 22:16:05.905,46279.9,20.41288
2015-01-11 22:16:22.093,3496.802,1086.603
2015-01-11 22:16:37.896,5729.973,1852.483
2015-01-11 22:16:53.642,9224.053,1450.27
2015-01-11 22:17:09.980,32255.6,637.4751
2015-01-11 22:17:25.986,31408.14,316.9858
2015-01-11 22:17:41.862,73311.92,532.9385
2015-01-11 22:17:58.090,10262.61,36.97452
2015-01-11 22:18:13.929,8128.829,113.6385
2015-01-11 22:18:29.628,16814.99,1058.631
2015-01-11 22:18:45.492,20422.69,124.8065
2015-01-11 22:19:01.221,24443.45,305.1817
2015-01-11 22:19:17.024,39314.09,375.5213
2015-01-11 22:19:32.911,899.324,793.2723
2015-01-11 22:19:49.033,13866.7,347.302
2015-01-11 22:20:04.838,1689.369,580.7634
2015-01-11 22:20:21.035,24745.67,622.7386
2015-01-11 22:20:41.976,2204.485,0
2015-01-11 22:20:57.657,7135.667,1042.098
2015-01-11 22:21:13.525,795.5127,0
2015-01-11 22:21:30.278,6412.026,39.79133
2015-01-11 22:21:46.091,5875.444,1164.935
2015-01-11 22:22:01.957,3060.92,671.6078
2015-01-11 22:22:19.249,1682.752,597.674
2015-01-11 22:22:35.119,2769.669,267.6398
2015-01-11 22:22:50.856,3823.422,381.2822
2015-01-11 22:23:47.860,27402.5,20.53527
2015-01-11 22:24:03.896,950.3456,14.62991
2015-01-11 22:24:20.113,1228.251,41.8432
2015-01-11 22:24:36.023,8450.011,395.746
2015-01-11 22:24:51.871,36494.09,1713.145
2015-01-11 22:25:08.900,879.9665,800.3699
2015-01-11 22:25:24.708,97.69464,62.13136
2015-01-11 22:25:40.888,825.8892,89.63109
