name,color,logoSize,logox,logoy,eventsx,y2scale
Denver Broncos,#DE6226,100,2015-01-11 22:10:00.000,0.35,15,1.0
Indianapolis Colts,#023A79,100,2015-01-12 00:15:00.000,0.68,0,1.0
