date,Denver Broncos,Indianapolis Colts
2015-01-11 22:01:09.572,85.44314,15.1092
2015-01-11 22:01:25.249,86.95652,12.66312
2015-01-11 22:01:41.102,86.9669,12.66312
2015-01-11 22:01:56.875,86.97762,12.91234
2015-01-11 22:02:12.682,86.9996,13.15789
2015-01-11 22:02:58.312,87.21279,12.85354
2015-01-11 22:03:14.066,87.6494,12.5
2015-01-11 22:03:29.977,87.82967,12.01926
2015-01-11 22:03:45.708,89.06582,12.01926
2015-01-11 22:04:01.560,89.61008,12.01926
2015-01-11 22:04:17.605,89.06049,11.62791
2015-01-11 22:04:33.505,88.49558,11.62791
2015-01-11 22:04:49.295,87.7193,12.61492
2015-01-11 22:05:05.107,87.55578,12.66592
2015-01-11 22:05:20.846,87.39391,12.75735
2015-01-11 22:05:36.672,86.95419,13.1701
2015-01-11 22:05:52.885,85.53521,13.51351
2015-01-11 22:06:08.976,85.32357,15.06456
2015-01-11 22:06:24.674,84.62942,15.625
2015-01-11 22:06:41.017,85.46478,14.70588
2015-01-11 22:06:56.856,84.925,14.66948
2015-01-11 22:07:12.624,84.73412,15.15152
2015-01-11 22:07:29.040,84.57673,15.15152
2015-01-11 22:07:44.904,84.55709,15.33293
2015-01-11 22:08:00.674,84.74576,15.625
2015-01-11 22:08:16.630,83.99567,16.08151
2015-01-11 22:08:32.461,84.01588,16.1748
2015-01-11 22:08:48.273,84.53027,16.66667
2015-01-11 22:09:04.054,84.74576,15.625
2015-01-11 22:09:20.190,83.38094,16.60667
2015-01-11 22:09:36.098,82.6086,16.60667
2015-01-11 22:09:51.918,82.47912,17.72277
2015-01-11 22:10:12.319,82.9979,16.69419
2015-01-11 22:10:28.032,80.97726,18.18182
2015-01-11 22:10:45.439,80.15047,20
2015-01-11 22:11:01.723,80.07314,20
2015-01-11 22:11:17.558,81.42674,18.74464
2015-01-11 22:11:33.296,81.82771,18.30821
2015-01-11 22:11:49.035,80.79933,18.90646
2015-01-11 22:12:05.303,79.16072,20.83333
2015-01-11 22:12:21.228,79.50526,20.81234
2015-01-11 22:12:37.104,79.37472,20.51983
2015-01-11 22:12:52.860,78.7621,21.2766
2015-01-11 22:13:09.403,78.17408,21.98786
2015-01-11 22:13:25.652,78.54278,22.22222
2015-01-11 22:13:41.484,78.15167,21.35767
2015-01-11 22:13:57.266,78.13712,21.73913
2015-01-11 22:14:13.622,78.33508,21.2766
2015-01-11 22:14:29.665,78.70869,22.22222
2015-01-11 22:14:45.446,78.18015,21.80097
2015-01-11 22:15:01.275,78.02693,22.72727
2015-01-11 22:15:17.328,78.125,22.22222
2015-01-11 22:15:33.107,78.26108,22.22222
2015-01-11 22:15:50.004,77.83531,22.22222
2015-01-11 22:16:05.905,76.97303,22.72727
2015-01-11 22:16:22.093,77.43123,22.25786
2015-01-11 22:16:37.896,76.27741,23.88655
2015-01-11 22:16:53.642,75.60126,24.48225
2015-01-11 22:17:09.980,76.08612,24.61013
2015-01-11 22:17:25.986,75.16499,24.92403
2015-01-11 22:17:41.862,74.48483,25.47888
2015-01-11 22:17:58.090,73.85526,26.31579
2015-01-11 22:18:13.929,73.98792,26.04167
2015-01-11 22:18:29.628,74.08655,26.17951
2015-01-11 22:18:45.492,74.36331,26.25298
2015-01-11 22:19:01.221,74.08435,25.64103
2015-01-11 22:19:17.024,73.55727,25.94544
2015-01-11 22:19:32.911,74.07407,25.89397
2015-01-11 22:19:49.033,74.057,25.97403
2015-01-11 22:20:04.838,73.53549,26.24356
2015-01-11 22:20:21.035,74.03463,26.2474
2015-01-11 22:20:41.976,73.65178,26.2474
2015-01-11 22:20:57.657,73.52941,26.31579
2015-01-11 22:21:13.525,73.23249,26.31579
2015-01-11 22:21:30.278,73.36523,26.66667
2015-01-11 22:21:46.091,73.52941,26.28694
2015-01-11 22:22:01.957,73.61001,26.4797
2015-01-11 22:22:19.249,72.70632,26.14043
2015-01-11 22:22:35.119,72.53012,27.9158
2015-01-11 22:22:50.856,73.9648,26.31579
2015-01-11 22:23:47.860,74.01421,25.54033
2015-01-11 22:24:03.896,75.37316,25
2015-01-11 22:24:20.113,76.81165,22.59108
2015-01-11 22:24:36.023,77.34053,22.62925
2015-01-11 22:24:51.871,77.02004,22.72727
2015-01-11 22:25:08.900,76.31316,23.25581
2015-01-11 22:25:24.708,75.75758,24.05443
2015-01-11 22:25:40.888,75.54301,25.18456
2015-01-11 22:25:57.093,74.13273,25.18456
2015-01-11 22:26:12.837,72.67956,27.02703
2015-01-11 22:26:28.644,72.4045,27.84049
2015-01-11 22:26:44.520,64.10256,27.84049
2015-01-11 22:27:01.200,63.86943,35.94721
2015-01-11 22:27:17.078,62.788,36.87601
2015-01-11 22:27:32.904,62.9217,37.47736
2015-01-11 22:27:48.732,63.25521,37.46887
2015-01-11 22:28:04.548,63.23315,36.85019
2015-01-11 22:28:20.316,61.91024,36.85019
2015-01-11 22:28:36.746,61.00069,39.74438
2015-01-11 22:28:53.988,61.78956,39.50065
2015-01-11 22:29:10.109,62.31714,38.00951
2015-01-11 22:29:25.954,63.93127,37.07506
2015-01-11 22:29:42.094,63.00463,36.81842
2015-01-11 22:29:57.864,63.58938,36.88468
2015-01-11 22:30:14.193,63.10597,38.47347
2015-01-11 22:30:30.073,59.64539,39.97815
2015-01-11 22:30:45.969,77.88053,25.79327
2015-01-11 22:31:01.633,59.31969,40.08736
2015-01-11 22:31:22.654,60.50779,41.50486
2015-01-11 22:31:38.485,59.91512,40.84171
2015-01-11 22:31:54.360,59.53953,40.82601
2015-01-11 22:32:10.023,59.78348,39.5878
2015-01-11 22:32:25.927,61.10142,39.0625
2015-01-11 22:32:42.098,60.85794,39.91382
2015-01-11 22:32:58.294,58.94471,41.83775
2015-01-11 22:33:14.090,57.49057,42.41733
2015-01-11 22:33:29.846,56.97568,42.80009
2015-01-11 22:33:45.908,57.25028,42.78162
2015-01-11 22:34:02.930,57.37299,42.70013
2015-01-11 22:34:18.840,58.23748,41.66667
2015-01-11 22:34:34.681,57.0572,43.55134
2015-01-11 22:34:50.493,55.55556,44.64286
2015-01-11 22:35:07.789,56.08474,44.08374
2015-01-11 22:35:23.739,56.37615,43.83454
2015-01-11 22:35:44.824,57.10805,43.32493
2015-01-11 22:36:00.645,57.17078,43.08163
2015-01-11 22:36:16.442,57.46145,42.39382
2015-01-11 22:36:32.265,57.67764,42.31062
2015-01-11 22:36:48.051,58.13733,41.69868
2015-01-11 22:37:03.862,58.03454,42.00477
2015-01-11 22:37:20.112,57.8482,42.32554
2015-01-11 22:37:36.325,57.80516,42.38043
2015-01-11 22:37:52.158,57.8811,42.04875
2015-01-11 22:38:07.862,57.89656,42.24993
2015-01-11 22:38:23.663,57.60908,42.88474
2015-01-11 22:38:39.505,56.37197,43.47826
