date,Draw,Ireland,Scotland
2015-03-21 14:49:16.317,0,115.0947,0
2015-03-21 14:49:31.898,8.587681,1140.082,52.3733
2015-03-21 14:49:47.638,4.574358,1289.74,83.29144
2015-03-21 14:50:03.301,15.32206,1174.321,0
2015-03-21 14:50:18.896,15.39029,87.72464,0
2015-03-21 14:50:34.484,0,619.457,0
2015-03-21 14:50:51.373,54.28426,365.0687,42.91582
2015-03-21 14:51:07.053,44.53979,1984.546,114.9463
2015-03-21 14:51:22.979,6.480221,12102.64,37.6757
2015-03-21 14:51:38.697,15.53591,1144.771,77.56502
2015-03-21 14:51:54.320,46.39482,9503.679,34.94974
2015-03-21 14:52:09.897,20.1832,8963.422,74.80111
2015-03-21 14:52:25.487,19.66629,3011.674,179.4212
2015-03-21 14:52:41.074,1.424261,8039.261,608.6214
2015-03-21 14:52:56.897,8.001234,27.41655,2.540676
2015-03-21 14:53:12.466,2.350756,506.4144,18.61336
2015-03-21 14:53:28.282,21.88896,5510.023,43.62617
2015-03-21 14:53:43.950,8.654815,21239.99,93.9392
2015-03-21 14:53:59.707,31.37551,977.8956,19.80008
2015-03-21 14:54:15.296,0.6928008,45.41694,243.5195
2015-03-21 14:54:31.497,14.18421,990.0433,74.10603
2015-03-21 14:54:47.476,25.15866,4708.499,164.6578
2015-03-21 14:55:03.570,2.087663,225.3184,11.18391
2015-03-21 14:55:19.318,27.58539,1455.053,2.057474
2015-03-21 14:55:35.926,7.22562,404.1651,0.5419215
2015-03-21 14:55:52.556,97.91533,622.0546,53.7921
2015-03-21 14:56:08.350,53.18687,9430.943,1.899531
2015-03-21 14:56:24.115,0,439.0031,0
2015-03-21 14:56:39.934,66.79285,7708.108,222.5291
2015-03-21 14:56:55.557,5.990955,520.7523,27.15132
2015-03-21 14:57:11.390,13.37753,15294.76,55.25338
2015-03-21 14:57:27.089,13.75858,3728.385,34.39646
2015-03-21 14:57:43.306,8.176946,1575.524,25.89983
2015-03-21 14:57:59.060,2.361317,12512.65,7.61715
2015-03-21 14:58:14.711,0,3768.825,0
2015-03-21 14:58:30.322,8.301662,1263.89,26.90353
2015-03-21 14:58:46.017,0,10910.95,0
2015-03-21 14:59:01.892,0.1889854,27172.92,0.4157678
2015-03-21 14:59:17.743,2.384725,2915.346,7.570557
2015-03-21 14:59:46.386,13.25954,7596.357,74.92794
2015-03-21 15:00:02.120,5.033614,38.59104,0
2015-03-21 15:00:17.781,11.07213,12963.28,76.62373
2015-03-21 15:00:33.562,1.064616,280.5643,7.604398
2015-03-21 15:00:49.278,0,0,53.44628
2015-03-21 15:01:04.965,0,7852.601,0
2015-03-21 15:01:20.770,0,23441.23,0
2015-03-21 15:01:36.765,0,97.52478,30.00763
2015-03-21 15:01:52.505,53.36941,0,15.2484
2015-03-21 15:02:08.313,0,167.0062,22.77358
2015-03-21 15:02:23.908,0,15.38877,0
2015-03-21 15:02:39.572,1.570505,5351.515,9.57625
2015-03-21 15:02:55.353,3.193654,776.286,19.00984
2015-03-21 15:03:11.145,34.27233,1067.458,27.47106
2015-03-21 15:03:27.551,14.62833,2886.864,0
2015-03-21 15:03:43.379,137.3401,106.1419,30.32626
2015-03-21 15:03:59.095,37.71915,60740.85,219.2139
2015-03-21 15:04:15.010,121.13,1225.814,30.98937
2015-03-21 15:04:30.891,14.09241,336.7443,7.55625
2015-03-21 15:04:47.010,9.008022,625.3503,0
2015-03-21 15:05:02.889,0,4807.746,0
2015-03-21 15:05:18.646,0,0,0
2015-03-21 15:05:34.556,24.51231,359.9915,18.85562
2015-03-21 15:05:51.621,3.832579,5534.841,17.58064
2015-03-21 15:06:07.400,0,6698.089,0
2015-03-21 15:06:23.346,25.9621,3066.236,0
2015-03-21 15:06:39.223,0.1889566,9965.156,37.14887
2015-03-21 15:06:55.053,0,6882.051,54.80595
2015-03-21 15:07:11.009,0,0,37.60466
2015-03-21 15:07:26.727,0,2572.928,15.26938
2015-03-21 15:07:42.323,46.62659,5500.207,114.9892
2015-03-21 15:07:57.979,0,421.5951,61.31735
2015-03-21 15:08:13.918,2.597405,7021.238,11.29307
2015-03-21 15:08:29.507,2.501755,211.8024,10.04551
2015-03-21 15:08:45.174,4.86364,11947.7,12.17825
2015-03-21 15:09:00.994,7.585534,388432.9,18.96383
2015-03-21 15:09:16.725,0,13333.66,0
2015-03-21 15:09:32.303,33.85443,3166.911,93.09006
2015-03-21 15:09:47.902,0,7529.307,0
