date,end,title,fill,description
2015-03-21 14:30:00.000,2015-03-21 14:30:00.000,Kick-off,gray,The referee blows his whistle and Scotland kick-off
2015-03-21 14:35:00.000,2015-03-21 14:35:00.000,Try!,#006946,There are 11 phases of relentless pressure before OConnell makes the decisive break to the right of the posts.
2015-03-21 14:58:00.000,2015-03-21 14:58:00.000,Try!,#006946,From the lineout Toner takes it down and hands it off to OBrien. The flanker spots a gap and races to the line past a poor tackle.
2015-03-21 15:06:00.000,2015-03-21 15:06:00.000,Try!,#0d3a63,Ashe feeds Russell a couple of metres out and he is over for the try.
2015-03-21 15:16:00.000,2015-03-21 15:29:00.000,Half-time,gray,Ireland have put themselves in a good position to overtake Wales here, even though a try has kept Scotland in it
2015-03-21 15:40:00.000,2015-03-21 15:40:00.000,Try!,#006946,Payne breaks the Scottish line and scores his first try in his sixth international appearance right under the posts.
2015-03-21 16:05:00.000,2015-03-21 16:05:00.000,Try!,#006946,OBrien throws a dummy to fool Fife and darts across the line. 
2015-03-21 16:15:00.000,2015-03-21 16:15:00.000,Full-time,gray,A record equalling win for Ireland over Scotland but is it enough for the championship?  England need to win by 26.
