date,Draw,England,France
2015-03-21 17:19:17.899,182.9802,29351.54,2401.445
2015-03-21 17:19:33.809,8.975569,3846.635,147.7198
2015-03-21 17:19:49.893,9.62446,1808.242,131.497
2015-03-21 17:20:05.949,10.53763,1497.54,288.9629
2015-03-21 17:20:21.850,62.22506,21008.68,941.489
2015-03-21 17:20:37.761,93.78462,10601.17,2829.678
2015-03-21 17:20:58.583,63.30686,12694.77,1465.221
2015-03-21 17:21:15.810,0,4403.513,0
2015-03-21 17:21:31.822,83.1137,11136.97,161.1312
2015-03-21 17:21:47.738,222.3003,6863.715,43.69104
2015-03-21 17:22:03.471,80.08602,8650.32,1188.286
2015-03-21 17:22:19.569,199.0699,13877.75,4419.978
2015-03-21 17:22:45.260,43.06476,13527.68,3136.698
2015-03-21 17:23:00.960,63.74627,4202.018,345.2541
2015-03-21 17:23:17.075,122.5678,7733.798,1111.115
2015-03-21 17:23:32.883,56.82191,7769.342,112.2774
2015-03-21 17:23:48.657,50.96825,2749.699,430.5295
2015-03-21 17:24:04.474,103.4108,4901.846,3840.994
2015-03-21 17:24:20.783,22.95573,3799.615,1234.754
2015-03-21 17:24:42.897,211.2495,11564.79,3288.965
2015-03-21 17:24:59.134,141.9736,6496.311,3482.863
2015-03-21 17:25:15.213,140.3072,6109.149,7452.068
2015-03-21 17:25:31.149,113.5178,4376.817,5119.332
2015-03-21 17:25:46.995,415.7484,1534.407,1204.61
2015-03-21 17:26:03.154,190.7481,12223.33,1706.893
2015-03-21 17:26:19.355,77.80936,5263.112,3308.027
2015-03-21 17:26:35.338,179.5497,18304.76,2952.903
2015-03-21 17:26:50.999,330.4391,13767.15,8839.563
2015-03-21 17:27:06.862,164.0834,8449.461,11531.91
2015-03-21 17:27:22.727,493.8791,19643.37,38858.67
2015-03-21 17:27:38.889,104.3518,29260.91,9748.34
2015-03-21 17:27:54.675,77.72902,10240.66,4620.182
2015-03-21 17:28:10.416,42.88148,17822.91,2303.021
2015-03-21 17:28:26.313,141.1585,6511.218,2428.832
2015-03-21 17:28:42.014,201.7284,6239.94,2342.862
2015-03-21 17:28:58.119,209.8603,15949.83,5956.784
2015-03-21 17:29:13.982,16.03778,1120.716,10038.44
2015-03-21 17:29:41.841,78.28723,3512.502,3211.93
2015-03-21 17:29:57.763,158.006,3792.557,2554.662
2015-03-21 17:30:13.764,138.2579,15568.29,615.7671
2015-03-21 17:30:29.743,0,66.31132,127.6662
2015-03-21 17:30:45.911,116.5224,6221.667,1569.379
2015-03-21 17:31:01.607,9.289442,1741.178,383.5813
2015-03-21 17:31:22.859,13.86171,1671.027,314.1046
2015-03-21 17:31:38.639,75.39977,990.9195,2217.316
2015-03-21 17:31:54.463,13.30891,5306.159,136.5016
2015-03-21 17:32:10.327,31.95895,650.6388,247.3509
2015-03-21 17:32:26.462,35.40284,1319.388,2064.633
2015-03-21 17:32:42.166,119.4316,4126.234,2102.889
2015-03-21 17:32:57.935,54.03041,6843.712,1797.348
2015-03-21 17:33:13.619,7.421317,229.0662,598.3341
2015-03-21 17:33:29.411,0.4559489,366.6589,38.14772
2015-03-21 17:33:45.198,0.8741007,61.37707,154.2598
2015-03-21 17:34:01.346,49.15922,849.3435,718.1036
2015-03-21 17:34:16.942,38.12393,3375.295,95.25213
2015-03-21 17:34:32.598,79.17781,9583.85,811.975
2015-03-21 17:34:50.054,147.1856,3792.11,679.5219
2015-03-21 17:35:05.772,69.43728,3268.858,888.1024
2015-03-21 17:35:23.466,44.14993,1657.08,308.9138
2015-03-21 17:35:39.202,111.9837,3949.514,96.54165
2015-03-21 17:35:54.938,33.70697,1966.901,328.5286
2015-03-21 17:36:10.590,134.2791,4726.565,3151.976
2015-03-21 17:36:26.890,66.11016,949.5422,666.9912
2015-03-21 17:36:42.638,149.3554,2297.635,421.1289
2015-03-21 17:36:58.443,61.30775,843.4656,1001.347
2015-03-21 17:37:14.166,139.25,7998.764,1270.041
2015-03-21 17:37:29.964,26.4339,731.0719,2194.089
2015-03-21 17:37:45.745,87.97704,5217.183,662.147
2015-03-21 17:38:01.311,16.922,1895.496,43.48068
2015-03-21 17:38:17.376,43.62345,2431.634,83.62405
2015-03-21 17:38:33.131,474.9268,4053.73,622.8012
2015-03-21 17:38:48.713,107.2405,6700.549,159.6863
2015-03-21 17:39:04.385,11.98273,9027.321,127.1394
2015-03-21 17:39:20.159,24.6872,2322.727,379.3613
2015-03-21 17:39:47.578,48.40405,5089.405,580.6516
2015-03-21 17:40:13.535,13.54528,1955.19,261.0125
2015-03-21 17:40:29.663,33.89258,11438.43,392.1643
2015-03-21 17:40:45.834,37.10174,962.345,628.6148
2015-03-21 17:41:01.752,230.2044,785.1149,254.9324
2015-03-21 17:41:18.047,25.88455,3769.535,177.2153
2015-03-21 17:41:33.734,167.4546,9196.271,1300.125
2015-03-21 17:41:49.417,186.1603,4934.932,38.25736
2015-03-21 17:42:05.110,33.95053,27920.56,617.9532
2015-03-21 17:42:20.781,206.4499,14193.85,925.0807
2015-03-21 17:42:36.649,101.3332,5404.502,520.4671
2015-03-21 17:42:57.561,41.71826,698.0206,149.6865
2015-03-21 17:43:13.310,41.22212,1161.686,101.0742
2015-03-21 17:43:28.927,72.999,608.9654,0
2015-03-21 17:43:44.567,86.08646,1377.729,121.6489
2015-03-21 17:44:00.492,63.89936,158.2413,16.9921
2015-03-21 17:44:16.192,43.91093,1039.837,266.5229
2015-03-21 17:44:32.666,72.62204,2335.705,518.4063
2015-03-21 17:44:49.054,21.96727,2307.698,73.22422
2015-03-21 17:45:04.726,1.990798,176.4919,17.91718
2015-03-21 17:45:20.411,66.63722,467.2256,103.7429
2015-03-21 17:45:36.527,9.605655,5056.968,95.42362
2015-03-21 17:45:52.106,55.84291,1255.387,427.2945
2015-03-21 17:46:08.172,15.79774,2315.508,122.3111
2015-03-21 17:46:24.026,338.4781,45968.15,270.6235
2015-03-21 17:46:39.801,86.10961,6735.567,140.1183
2015-03-21 17:46:55.574,210.1752,14403.1,642.7746
2015-03-21 17:47:11.879,13.06308,3999.547,273.5151
2015-03-21 17:47:27.551,44.8342,37132.63,284.2052
2015-03-21 17:47:43.591,13.50367,5366.944,111.4708
2015-03-21 17:47:59.351,93.80477,15429.32,355.7652
2015-03-21 17:48:15.443,19.31382,4254.038,26.73361
2015-03-21 17:48:31.410,21.38208,7502.931,88.12123
2015-03-21 17:48:47.205,48.5464,14447.61,356.3868
2015-03-21 17:49:03.193,40.07981,20076.83,259.5806
2015-03-21 17:49:18.924,10.527,24511.77,175.4499
2015-03-21 17:49:34.739,0,9585.91,24.28042
2015-03-21 17:49:51.237,4.364185,3092.752,190.2785
2015-03-21 17:50:10.628,22.95875,1373.75,271.792
2015-03-21 17:50:26.363,44.76807,26614.84,91.36651
2015-03-21 17:50:42.395,44.16256,6294.437,327.252
2015-03-21 17:50:58.857,124.2063,3109.932,298.1972
2015-03-21 17:51:19.810,42.95383,240.8278,168.1499
2015-03-21 17:51:35.606,0.531783,20823.86,105.6349
2015-03-21 17:51:51.415,0,2293.719,0
2015-03-21 17:52:07.531,30.56472,6464.755,74.01055
2015-03-21 17:52:24.095,120.3753,650.3816,88.24382
2015-03-21 17:52:40.534,36.42428,79.45457,53.97947
2015-03-21 17:52:56.306,26.05882,54.81862,1.940146
2015-03-21 17:53:12.162,17.97439,8072.849,38.67333
2015-03-21 17:53:28.009,1.968776,16294.16,24.42039
2015-03-21 17:53:44.134,13.28413,8876.775,156.5816
2015-03-21 17:53:59.814,45.11392,16697.2,192.5855
2015-03-21 17:54:15.706,2.378606,6809.42,11.32669
2015-03-21 17:54:31.638,8.699502,5383.26,83.90689
2015-03-21 17:54:47.654,8.279249,9511.621,84.14115
2015-03-21 17:55:06.802,9.086985,3784.071,22.65479
2015-03-21 17:55:23.454,0,71218.05,28.10396
2015-03-21 17:55:39.801,8.662214,9147.371,109.8193
2015-03-21 17:55:55.864,0,1803.817,10.83284
2015-03-21 17:56:11.694,0,1775.967,198.8667
2015-03-21 17:56:27.466,0,42044.07,43.90013
2015-03-21 17:56:48.677,0,24368.19,9.391725
2015-03-21 17:57:04.817,0,14069.16,75.76179
2015-03-21 17:57:20.746,29.86908,17839.49,108.5155
2015-03-21 17:57:36.811,0,6985.936,131.5818
2015-03-21 17:57:52.859,12.86097,9232.117,123.899
2015-03-21 17:58:08.666,20.68748,23139.54,394.6944
2015-03-21 17:58:24.510,0,0,466.7038
2015-03-21 17:58:40.415,16.37234,23138.71,341.1783
2015-03-21 17:58:56.615,9.555484,3548.825,78.66608
2015-03-21 17:59:12.523,52.80298,1869.905,15.04885
2015-03-21 17:59:33.394,0,1782.358,148.9994
2015-03-21 17:59:49.835,0,364.9485,331.8112
2015-03-21 18:00:05.675,0,144.3941,189.3941
2015-03-21 18:00:25.691,0,599.5264,29.97632
2015-03-21 18:00:41.447,0,0,0
2015-03-21 18:00:57.610,0,16333.58,504.5219
2015-03-21 18:01:13.651,38.30245,374.0474,97.25232
2015-03-21 18:01:29.563,0,15837.51,37.70836
2015-03-21 18:01:45.647,0,827.3732,14.92107
2015-03-21 18:02:01.572,0,45.21319,75.35531
2015-03-21 18:02:18.091,0,58.11491,0
2015-03-21 18:02:34.282,7.411272,42985.38,10.74634
2015-03-21 18:02:50.733,0,1596.546,21.7376
2015-03-21 18:03:06.575,0,1430.687,431.7742
2015-03-21 18:03:27.202,11.63512,3754.711,17.45268
2015-03-21 18:03:43.196,10.87909,0,0
2015-03-21 18:03:58.969,0,22.82309,54.16679
2015-03-21 18:04:14.817,0,0,107.8265
2015-03-21 18:04:30.563,4.267672,557.3885,27.54935
2015-03-21 18:04:46.642,0,0,45.97438
2015-03-21 18:05:02.544,0,1844.165,30.18521
2015-03-21 18:05:18.278,76.26738,44402.34,3.813369
2015-03-21 18:05:34.320,12.19283,382.9895,822.9412
2015-03-21 18:05:49.979,0,38.31783,4.559822
2015-03-21 18:06:05.761,20.68077,1178.5,57.32831
2015-03-21 18:06:22.032,0,8697.42,82.97306
2015-03-21 18:06:37.931,0,1056.654,150.9506
2015-03-21 18:06:54.159,0,18486.63,81.34117
2015-03-21 18:07:10.063,0,3549.06,378.2057
2015-03-21 18:07:26.047,27.81601,1638.254,287.7699
2015-03-21 18:07:42.394,0,162.2629,14.6811
2015-03-21 18:07:58.223,0,9366.664,44.69143
2015-03-21 18:08:14.040,2.807108,13388.58,288.8666
2015-03-21 18:08:29.808,0,281.1156,17.16068
2015-03-21 18:08:45.861,5.681157,1352.34,119.0427
2015-03-21 18:09:01.573,17.52832,2250.117,13.21307
2015-03-21 18:09:17.831,20.33415,589.2107,53.87997
2015-03-21 18:09:38.899,122.9487,1511.497,30.87245
2015-03-21 18:09:54.727,34.19229,59.02151,53.07008
2015-03-21 18:10:10.579,1.854623,964.3282,82.01975
2015-03-21 18:10:31.207,169.0825,1465.663,362.598
2015-03-21 18:10:47.435,62.03868,2114.122,428.5032
2015-03-21 18:11:03.179,19.55126,5658.279,610.548
2015-03-21 18:11:19.007,41.84941,730.545,207.0863
2015-03-21 18:11:34.848,0.7575305,0,530.8016
2015-03-21 18:11:50.675,26.08105,1108.976,796.9127
2015-03-21 18:12:06.958,47.2029,390.8518,154.6899
2015-03-21 18:12:22.944,2.89007,3817.52,265.436
2015-03-21 18:12:38.580,37.64507,81.39163,849.9496
2015-03-21 18:12:54.415,55.46995,227.3358,42.5118
2015-03-21 18:13:10.147,129.6708,0,0
2015-03-21 18:13:26.019,219.3024,635.754,63.92698
2015-03-21 18:13:42.204,196.4039,7479.066,397.9978
2015-03-21 18:13:58.377,18.40031,5035.268,8.384014
