date,Aston Villa,The Draw,West Brom
2014-12-13 15:24:03.721,11.64138,28.62512,59.81759
2014-12-13 15:24:24.435,10.78243,28.57143,60.35428
2014-12-13 15:24:45.326,11.11111,28.19319,60.60355
2014-12-13 15:25:06.349,11.11111,28.16901,60.59866
2014-12-13 15:25:26.926,11.11111,28.16901,60.97663
2014-12-13 15:25:47.845,11.29983,28.16901,62.14487
2014-12-13 15:26:08.545,11.05264,26.71848,62.30015
2014-12-13 15:26:29.149,11.35839,26.2312,62.45784
2014-12-13 15:26:49.914,11.34895,26.9899,61.81188
2014-12-13 15:27:10.641,11.08783,26.47257,62.25268
2014-12-13 15:27:31.501,11.23471,27.39726,61.34969
2014-12-13 15:27:52.150,11.19951,26.67597,61.07075
2014-12-13 15:28:12.882,11.11111,26.66667,61.13316
2014-12-13 15:28:33.762,11.26603,26.66667,61.82796
2014-12-13 15:28:55.122,11.11111,27.02703,61.63422
2014-12-13 15:29:41.818,11.12862,27.69213,60.89038
2014-12-13 15:30:03.448,11.12862,27.69213,60.97854
2014-12-13 15:30:24.115,11.38718,28.05904,60.67954
2014-12-13 15:30:44.760,11.26927,28.05904,61.34969
2014-12-13 15:31:06.250,11.90476,27.77778,60.2842
2014-12-13 15:31:27.074,11.8214,28.1642,60.85381
2014-12-13 15:31:47.847,11.43996,28.15985,60.59561
2014-12-13 15:32:08.518,11.43996,28.57143,60.60049
2014-12-13 15:32:29.388,11.61009,28.57836,59.64221
2014-12-13 15:32:50.018,11.36364,28.98551,59.42193
2014-12-13 15:33:10.538,11.62791,29.02584,59.20877
2014-12-13 15:33:31.121,11.62791,29.02584,59.33271
2014-12-13 15:33:51.708,11.62791,29.02584,58.82353
2014-12-13 15:34:12.371,11.58938,29.88113,58.84243
2014-12-13 15:34:32.912,11.33386,30.47316,58.13953
2014-12-13 15:34:53.548,11.36364,30.30643,58.13953
2014-12-13 15:35:14.129,11.15548,30.44342,58.13277
2014-12-13 15:35:34.721,11.52116,30.30303,58.13953
2014-12-13 15:35:55.461,11.10799,30.30361,58.13953
2014-12-13 15:36:16.166,11.11111,30.76558,58.13713
2014-12-13 15:36:36.786,11.11111,30.76923,57.8862
2014-12-13 15:36:57.355,11.0562,30.76923,59.11248
2014-12-13 15:37:17.928,11.37725,30.30303,58.01321
2014-12-13 15:37:38.578,11.36364,30.30303,57.99835
2014-12-13 15:37:59.133,11.62791,30.99761,57.14286
2014-12-13 15:38:19.775,11.62791,31.25,56.49718
2014-12-13 15:38:40.361,11.39795,31.96508,56.49718
2014-12-13 15:39:00.932,11.65977,32.69909,55.55556
2014-12-13 15:39:21.590,11.90476,32.69909,55.55556
2014-12-13 15:39:42.154,11.8499,32.78689,55.55556
2014-12-13 15:40:03.123,11.13071,32.9861,55.55556
2014-12-13 15:40:23.746,11.89403,32.25806,55.83381
2014-12-13 15:40:44.526,11.36364,32.96909,55.58672
2014-12-13 15:41:05.231,10.88621,32.96909,56.49718
2014-12-13 15:41:26.199,10.85207,32.96909,55.66351
2014-12-13 15:41:46.724,10.85207,32.96909,55.76687
2014-12-13 15:42:07.353,10.6383,33.33333,55.66379
2014-12-13 15:42:27.934,10.86957,33.33333,56.17978
2014-12-13 15:42:48.517,10.86957,32.78689,56.19299
2014-12-13 15:43:09.440,10.86957,33.10941,56.41694
2014-12-13 15:43:30.167,10.83591,33.33333,55.85803
2014-12-13 15:43:50.746,10.6383,32.78689,55.8096
2014-12-13 15:44:12.092,10.90881,32.78689,56.64436
2014-12-13 15:44:32.746,10.80851,32.78689,56.7368
2014-12-13 15:44:53.428,11.04252,33.08699,55.55556
2014-12-13 15:45:14.475,11.09931,33.33348,55.55556
2014-12-13 15:45:35.215,10.84989,33.10873,55.75598
2014-12-13 15:45:55.833,11.0789,33.33333,56.17978
2014-12-13 15:46:17.428,10.92667,33.33333,55.49888
2014-12-13 15:46:38.262,11.11111,33.33333,55.55556
2014-12-13 15:46:59.277,11.11111,34.01361,55.65659
2014-12-13 15:47:20.142,11.08843,34.01361,54.66812
2014-12-13 15:47:40.794,11.08843,34.68398,54.63327
2014-12-13 15:48:01.580,10.54554,34.72222,54.64493
2014-12-13 15:48:22.526,10.75637,34.72222,54.34783
2014-12-13 15:48:43.471,10.6383,34.72222,54.28212
2014-12-13 15:49:04.982,10.41935,34.96503,54.29327
2014-12-13 15:49:25.822,10.54685,35.08369,54.13366
2014-12-13 15:49:55.499,10.51497,34.57377,55.41639
2014-12-13 15:50:17.215,10.6383,34.01361,54.87338
2014-12-13 15:50:37.763,10.6383,34.01361,55.55556
2014-12-13 15:50:58.414,10.41384,34.01361,55.31092
