date,Gael Monfils,Roger Federer
2014-11-21 16:00:11.590,31.74603,68.38483
2014-11-21 16:00:27.348,31.74603,68.49315
2014-11-21 16:00:43.259,31.72601,69.48193
2014-11-21 16:00:59.324,32.24684,68.02721
2014-11-21 16:01:15.382,32.25806,68.02721
2014-11-21 16:01:31.167,32.25806,68.13989
2014-11-21 16:01:47.270,32.25806,68.43131
2014-11-21 16:02:03.104,32.19948,68.49315
2014-11-21 16:02:18.746,31.74603,68.02721
2014-11-21 16:02:34.635,32.56647,67.97924
2014-11-21 16:02:50.465,32.56647,68.02721
2014-11-21 16:03:06.230,32.25806,68.02721
2014-11-21 16:03:21.987,32.25806,68.02721
2014-11-21 16:03:37.752,32.25806,68.02721
2014-11-21 16:03:55.227,32.25806,68.02721
2014-11-21 16:04:10.939,32.25806,68.49315
2014-11-21 16:04:26.675,32.25806,68.48857
2014-11-21 16:04:42.527,32.25806,68.02994
2014-11-21 16:04:58.197,32.14387,68.02721
2014-11-21 16:05:13.951,32.25806,68.02721
2014-11-21 16:05:29.532,31.74603,67.91353
2014-11-21 16:05:45.363,31.25,68.49288
2014-11-21 16:06:00.935,31.74603,68.49849
2014-11-21 16:06:16.737,31.32168,68.51621
2014-11-21 16:06:32.477,31.32168,68.96552
2014-11-21 16:06:48.755,31.74603,68.96552
2014-11-21 16:07:04.380,31.74603,68.49315
2014-11-21 16:07:20.597,31.74603,68.49315
2014-11-21 16:07:36.304,31.74603,68.49315
2014-11-21 16:07:51.993,31.74603,68.69207
2014-11-21 16:08:07.994,31.74603,68.49137
2014-11-21 16:08:24.088,31.74603,68.49315
2014-11-21 16:08:39.901,32.25806,68.49315
2014-11-21 16:08:56.710,32.25806,68.49315
2014-11-21 16:09:12.515,32.25806,68.49315
2014-11-21 16:09:28.213,32.25806,68.49315
2014-11-21 16:09:43.925,31.74603,68.02721
2014-11-21 16:09:59.680,31.73922,68.79686
2014-11-21 16:10:20.609,30.86469,69.40559
2014-11-21 16:10:38.316,30.30723,69.66529
2014-11-21 16:10:53.940,30.76923,69.48502
2014-11-21 16:11:09.552,30.30303,69.91824
2014-11-21 16:11:25.423,30.30303,69.92917
2014-11-21 16:11:41.404,30.30303,69.47898
2014-11-21 16:11:57.164,31.74603,68.96404
2014-11-21 16:12:12.706,31.34138,68.08172
2014-11-21 16:12:28.317,31.71885,68.57403
2014-11-21 16:12:43.903,31.54864,68.67503
2014-11-21 16:12:59.577,32.55084,68.16203
2014-11-21 16:13:15.316,32.78689,67.61845
2014-11-21 16:13:30.908,32.88616,67.27832
2014-11-21 16:13:47.248,32.74071,67.61875
2014-11-21 16:14:03.002,32.96421,67.4994
2014-11-21 16:14:18.733,32.51703,68.40366
2014-11-21 16:14:34.397,31.70524,68.56392
2014-11-21 16:14:50.293,30.76923,69.39074
2014-11-21 16:15:06.035,30.84094,69.318
2014-11-21 16:15:21.777,31.67262,68.66012
2014-11-21 16:15:37.588,31.67262,68.47926
2014-11-21 16:15:53.427,31.56978,68.63182
2014-11-21 16:16:09.169,30.99963,69.37066
2014-11-21 16:16:24.837,30.76923,69.81218
