date,Sunderland,The Draw,Tottenham
2015-01-17 15:26:17.670,5.445935,13.52184,81.1716
2015-01-17 15:26:35.640,5.072411,14.28571,81.1716
2015-01-17 15:26:52.089,4.931935,13.51351,80.64516
2015-01-17 15:27:08.547,5,13.51351,81.26782
2015-01-17 15:27:27.146,5,13.59468,80.66609
2015-01-17 15:28:04.838,4.843087,13.89822,81.19667
2015-01-17 15:28:20.785,4.843087,13.89822,81.26981
2015-01-17 15:28:36.554,4.843087,14.28571,80.84342
2015-01-17 15:28:52.332,5.070688,14.28571,81.18735
2015-01-17 15:29:08.204,5.077753,14.28571,81.04338
2015-01-17 15:29:23.918,5.376471,14.33587,80.12569
2015-01-17 15:29:39.765,5.376344,14.70588,80
2015-01-17 15:29:55.933,5.405405,14.70588,80
2015-01-17 15:30:11.777,5.405405,14.70588,80.23317
2015-01-17 15:30:27.582,5.405405,14.28571,80
2015-01-17 15:30:43.233,5.405405,14.28571,80
2015-01-17 15:30:59.076,16.66667,24.2475,61.03035
2015-01-17 15:31:15.876,16.46669,24.2475,57.47126
2015-01-17 15:31:32.664,16.32764,24.2475,57.47126
2015-01-17 15:31:48.529,16.1721,28.5706,55.34746
2015-01-17 15:32:05.605,16.56123,28.57852,55.27008
2015-01-17 15:32:21.746,16.26623,28.64275,55.48256
2015-01-17 15:32:38.413,16.37988,28.75221,55.32356
2015-01-17 15:32:54.083,15.625,28.32198,55.55556
2015-01-17 15:33:11.691,16.18075,28.16901,55.60343
2015-01-17 15:33:27.901,15.77475,28.16901,55.49869
2015-01-17 15:33:43.883,16,28.32288,55.60002
2015-01-17 15:33:59.663,16.12903,27.77778,56.17978
2015-01-17 15:34:15.432,16.12903,27.77778,56.32133
2015-01-17 15:34:31.419,15.625,27.77778,56.03283
2015-01-17 15:34:47.259,15.625,27.77778,56.17978
2015-01-17 15:35:03.073,15.15152,27.77778,56.25812
2015-01-17 15:35:19.322,15.625,27.77778,56.30718
2015-01-17 15:35:35.148,15.43491,27.92318,56.19203
2015-01-17 15:35:51.001,15.15152,28.5713,56.17789
2015-01-17 15:36:06.972,15.37093,28.7526,56.07344
2015-01-17 15:36:23.052,15.61459,28.77921,56.09264
2015-01-17 15:36:38.928,15.625,28.57143,55.75783
2015-01-17 15:36:54.936,16.12903,28.98551,55.55401
2015-01-17 15:37:11.534,15.64644,28.65249,55.32402
2015-01-17 15:37:27.384,15.76021,29.2499,55.26811
2015-01-17 15:37:43.059,15.76021,29.41176,55.48503
2015-01-17 15:37:58.908,15.76021,29.11021,55.26653
2015-01-17 15:38:18.550,15.625,29.40531,55.26474
2015-01-17 15:38:34.710,15.43977,29.40717,55.11457
2015-01-17 15:38:50.426,15.37486,29.41176,54.96614
2015-01-17 15:39:06.547,15.16192,29.85075,55.27094
2015-01-17 15:39:22.584,15.625,29.41176,55.38107
2015-01-17 15:39:38.244,15.15152,29.04407,55.54037
2015-01-17 15:39:54.141,15.625,28.89881,55.37025
2015-01-17 15:40:10.083,15.15152,29.47541,55.78059
2015-01-17 15:40:26.066,15.63617,29.47424,55.54163
2015-01-17 15:40:42.376,15.625,29.36409,55.475
2015-01-17 15:40:58.610,15.625,29.74054,54.7051
2015-01-17 15:41:14.722,15.4006,30.30303,54.42268
2015-01-17 15:41:30.541,15.4006,30.30303,54.6492
2015-01-17 15:41:46.283,15.20712,29.8212,54.94078
2015-01-17 15:42:02.065,15.24955,30.2811,54.74678
2015-01-17 15:42:18.545,15.53791,30.30303,54.98988
2015-01-17 15:42:34.837,15.53791,30.30303,54.95298
2015-01-17 15:42:50.786,14.37797,30.30303,54.88143
