date,Sunderland,The Draw,Tottenham
2015-01-17 15:30:59.076,113.6125,3703.767,669.897
2015-01-17 15:31:15.876,18.82072,31.35597,258.4546
2015-01-17 15:31:32.664,286.4279,228.4204,47893.04
2015-01-17 15:31:48.529,1796.014,3232.144,23947.99
2015-01-17 15:32:05.605,457.7288,809.0982,90958.59
2015-01-17 15:32:21.746,341.2145,59.29154,7944.992
2015-01-17 15:32:38.413,71.96169,737.2564,18150.22
2015-01-17 15:32:54.083,22.97322,362.058,443.2301
2015-01-17 15:33:11.691,99.40036,338.1384,5046.758
2015-01-17 15:33:27.901,109.7834,50.04286,2706.719
2015-01-17 15:33:43.883,60.0682,567.269,21759.78
2015-01-17 15:33:59.663,83.64808,137.7912,578.9968
2015-01-17 15:34:15.432,0,127.8109,3475.78
2015-01-17 15:34:31.419,30.02469,299.8341,17129.99
2015-01-17 15:34:47.259,0,20.03784,14095.31
2015-01-17 15:35:03.073,558.0439,1954.975,12604.4
2015-01-17 15:35:19.322,103.4627,28.06268,3217.054
2015-01-17 15:35:35.148,50.12115,1028.545,33484.91
2015-01-17 15:35:51.001,536.5472,247.2878,13393.43
2015-01-17 15:36:06.972,595.984,119.2419,4280.235
2015-01-17 15:36:23.052,487.8865,1444.219,4111.419
2015-01-17 15:36:38.928,994.0441,1814.283,16411.72
2015-01-17 15:36:54.936,2625.842,130.9585,6101.603
2015-01-17 15:37:11.534,138.5256,188.1953,6381.396
2015-01-17 15:37:27.384,42.05489,36.41476,16708.66
2015-01-17 15:37:43.059,0,20.24943,7797.369
2015-01-17 15:37:58.908,0,62.50209,50559.08
2015-01-17 15:38:18.550,11.76073,22.5134,75151.6
2015-01-17 15:38:34.710,340.4279,328.3984,70601.71
2015-01-17 15:38:50.426,95.33117,672.1286,5939.395
2015-01-17 15:39:06.547,1271.896,3193.456,24087.13
2015-01-17 15:39:22.584,7.482873,234.8874,39877.5
2015-01-17 15:39:38.244,76.62939,9822.049,85658.25
2015-01-17 15:39:54.141,2432.317,2551.657,32467.54
2015-01-17 15:40:10.083,55.25002,562.0974,29794.02
2015-01-17 15:40:26.066,328.5075,1417.564,19724.23
2015-01-17 15:40:42.376,667.4799,2359.356,48470.8
2015-01-17 15:40:58.610,16.92758,123.4087,2840.692
2015-01-17 15:41:14.722,76.18916,37.83391,15213.11
2015-01-17 15:41:30.541,0,147.4316,5017.301
2015-01-17 15:41:46.283,183.8312,196.3712,44176.2
2015-01-17 15:42:02.065,250.8763,1053.954,1441.465
2015-01-17 15:42:18.545,31.05609,11.10446,3871.088
2015-01-17 15:42:34.837,0,81.24154,857.345
2015-01-17 15:42:50.786,313.6131,15.42483,1073.53
2015-01-17 15:43:06.579,15.19596,911.7573,1880.31
2015-01-17 15:43:25.211,0,66.85434,3565.919
2015-01-17 15:43:44.177,0,0,5439.192
2015-01-17 15:44:00.147,481.4266,81.90338,2685.679
2015-01-17 15:44:17.007,0,0,1576.935
2015-01-17 15:44:34.324,0,0,1269.943
2015-01-17 15:44:50.051,716.5444,52.76226,1692.856
2015-01-17 15:45:06.202,2067.782,602.4545,4438.89
2015-01-17 15:45:21.936,83.66393,15.25322,657.2233
2015-01-17 15:45:37.718,616.6783,235.7071,746.6214
2015-01-17 15:45:53.785,477.9694,14.93771,1743.156
2015-01-17 15:46:09.952,16.70035,0,3267.257
2015-01-17 15:46:26.080,191.7861,0,871.3897
2015-01-17 15:46:42.142,29.88434,123.2729,486.1808
2015-01-17 15:46:58.188,1068.603,1518.622,1808.115
2015-01-17 15:47:15.711,13.69643,40.19902,607.8818
2015-01-17 15:47:31.764,339.8921,345.5358,24775.72
2015-01-17 15:47:49.778,25.98021,300.138,18307.22
2015-01-17 15:48:16.296,446.7279,176.5734,27917.19
2015-01-17 15:48:37.944,189.2977,61.63954,1396.036
2015-01-17 15:48:54.349,89.42564,1817.151,308.5093
2015-01-17 15:49:10.477,182.661,393.7442,1222.527
2015-01-17 15:49:26.379,90.55808,64.22077,1502.019
2015-01-17 15:49:42.300,0,114.9761,541.1901
2015-01-17 15:49:58.359,184.0145,1681.35,4669.521
2015-01-17 15:50:14.287,82.86899,7.006197,178.545
2015-01-17 15:50:30.684,0,3.659252,2524.591
2015-01-17 15:50:46.534,1988.135,31.15391,1173.817
2015-01-17 15:51:06.134,48.30801,153.0672,404.8321
2015-01-17 15:51:23.137,340.2048,0,1201.674
2015-01-17 15:51:39.146,215.1974,28.63303,1390.126
2015-01-17 15:51:55.125,159.0644,0,4221.591
2015-01-17 15:52:10.964,597.3143,165.163,3709.197
2015-01-17 15:52:26.700,0,78.31448,489.0652
2015-01-17 15:52:42.876,1093.002,343.7101,3527.758
2015-01-17 15:53:05.113,74.8473,83.13069,4132.224
2015-01-17 15:53:21.097,1712.124,124.9652,5772.985
2015-01-17 15:53:40.176,456.9683,237.8084,555.2113
2015-01-17 15:53:55.982,177.958,15.18413,394.8253
