name,color,logoSize,logox,logoy,eventsx,y2scale
HeatherWatson,#E68A95,80,2015-07-03 18:48:00.000,0.2,25,1.0
SerenaWilliams,#8A86D8,150,2015-07-03 17:45:00.000,0.60,0,1.0
