date,SerenaWilliams,HeatherWatson
2015-07-03 17:00:08.503,94.78673,5.479452
2015-07-03 17:00:21.228,94.78673,5.479452
2015-07-03 17:00:34.099,94.78673,5.479452
2015-07-03 17:00:46.985,94.78673,5.479452
2015-07-03 17:01:00.068,94.78673,5.479452
2015-07-03 17:01:12.796,94.78673,5.479452
2015-07-03 17:01:25.584,94.78673,5.479452
2015-07-03 17:01:38.495,94.78673,5.633803
2015-07-03 17:01:51.182,94.78673,5.633803
2015-07-03 17:02:03.993,94.78673,5.633803
2015-07-03 17:02:17.078,94.78673,5.479452
2015-07-03 17:02:29.748,94.78673,5.479452
2015-07-03 17:02:42.372,94.78673,5.479452
2015-07-03 17:02:55.179,94.78673,5.479452
2015-07-03 17:03:07.987,94.78673,5.479452
2015-07-03 17:03:21.011,94.78673,5.479452
2015-07-03 17:03:33.745,94.78673,5.479452
2015-07-03 17:03:46.444,94.78673,5.479452
2015-07-03 17:03:59.521,94.78673,5.479452
2015-07-03 17:04:12.391,94.78673,5.479452
2015-07-03 17:04:25.381,94.78673,5.333333
2015-07-03 17:04:38.391,94.78673,5.333333
2015-07-03 17:04:51.399,94.78673,5.479452
2015-07-03 17:05:04.163,94.78673,5.263158
2015-07-03 17:05:16.991,94.78673,5.263158
2015-07-03 17:05:29.975,94.78673,5.263158
2015-07-03 17:05:42.784,94.78673,5.063291
2015-07-03 17:05:55.556,94.78673,5.063291
2015-07-03 17:06:08.222,94.78673,5.063291
2015-07-03 17:06:21.224,94.78673,5.194805
2015-07-03 17:06:33.993,94.78673,5.128205
2015-07-03 17:06:46.744,94.78673,5.194805
2015-07-03 17:06:59.587,94.78673,5.194805
2015-07-03 17:07:12.536,94.78673,5.194805
2015-07-03 17:07:25.350,94.78673,5.063291
2015-07-03 17:07:38.205,94.78673,5.063291
2015-07-03 17:07:51.185,94.78673,5.063291
2015-07-03 17:08:04.189,94.78673,5.194805
2015-07-03 17:08:16.997,94.78673,5.063291
2015-07-03 17:08:29.945,94.78673,5.063291
2015-07-03 17:08:42.796,94.78673,4.878049
2015-07-03 17:08:55.792,94.78673,4.878049
2015-07-03 17:09:08.584,94.78673,5.063291
2015-07-03 17:09:21.801,94.78673,5.063291
2015-07-03 17:09:34.772,94.78673,5.063291
2015-07-03 17:09:47.562,94.78673,5.063291
2015-07-03 17:10:00.187,94.78673,5.063291
2015-07-03 17:10:12.975,94.78673,5.063291
2015-07-03 17:10:25.764,94.78673,5.063291
2015-07-03 17:10:38.344,94.78673,5.063291
2015-07-03 17:10:50.993,94.78673,5.063291
2015-07-03 17:11:03.999,94.78673,5.063291
2015-07-03 17:11:16.890,94.78673,5.063291
2015-07-03 17:11:29.738,94.78673,5.063291
2015-07-03 17:11:42.322,94.78673,4.878049
2015-07-03 17:11:55.176,94.78673,4.878049
2015-07-03 17:12:08.050,94.78673,4.761905
2015-07-03 17:12:20.953,94.78673,4.761905
2015-07-03 17:12:33.549,94.78673,4.878049
2015-07-03 17:12:46.167,94.78673,4.878049
2015-07-03 17:12:58.996,94.78673,4.878049
