date,SerenaWilliams,HeatherWatson
2015-07-03 18:54:53.760,142441.1,3849.23
2015-07-03 18:55:55.608,104443.3,16789.13
2015-07-03 18:56:57.549,93081.11,11454.76
2015-07-03 18:57:59.765,54072.92,21078.54
2015-07-03 18:58:49.189,82798.42,11981.41
2015-07-03 18:59:51.756,113044.5,7377.83
2015-07-03 19:00:54.372,124375.3,2483.79
2015-07-03 19:01:56.555,215217.2,4798.19
2015-07-03 19:02:58.545,106664.2,2312.71
2015-07-03 19:03:59.992,119843.6,5093.01
2015-07-03 19:04:50.153,140137.8,7097.71
2015-07-03 19:05:52.358,142393.6,4157.77
2015-07-03 19:06:54.366,184586.9,1180.21
2015-07-03 19:07:55.982,95120.37,3623.06
2015-07-03 19:08:57.399,143183.7,4009.94
2015-07-03 19:09:59.170,119314.8,1106.64
2015-07-03 19:10:59.164,41080.31,2512.74
2015-07-03 19:11:59.386,100294.2,2283.98
2015-07-03 19:12:59.394,65074.91,3706.05
2015-07-03 19:13:59.767,71418.86,21612.47
2015-07-03 19:14:48.186,8747.33,182049.4
2015-07-03 19:15:49.383,22166.51,280637.5
2015-07-03 19:16:49.386,11708.35,128464.1
2015-07-03 19:17:49.963,62535.93,53319.64
2015-07-03 19:18:50.365,119906.3,7429.91
2015-07-03 19:19:50.153,45939.95,97196.58
2015-07-03 19:20:50.780,69835.98,66902.92
2015-07-03 19:21:51.163,161266.2,5108.77
2015-07-03 19:22:51.180,208798.1,3991.91
2015-07-03 19:23:51.245,199894.7,10208.1
2015-07-03 19:24:51.394,113362.5,5657.76
2015-07-03 19:25:51.370,106501.2,2700.79
2015-07-03 19:26:51.814,212214.6,4178.27
2015-07-03 19:27:51.970,172485,2634.2
2015-07-03 19:28:52.144,60837.56,3115
2015-07-03 19:29:40.155,152901,1004.15
